"Six-Year Graduation Rates, Trend"
"All Districts, All Schools, Race/Ethnicity"

"",,,"Non-Graduates",,,,,
"",,,"Six-Year Still Enrolled Rate by Year",,,"Six-Year Other Rate by Year",,
"District","School","Race/Ethnicity","2010-11","2011-12","2012-13","2010-11","2011-12","2012-13"
"Amistad Academy District","Amistad Academy","Black","*","*","*","*","*","*"
"Amistad Academy District","Amistad Academy","Hispanic","*","*","*","*","*","*"
"Ansonia School District","Ansonia High School","Black",18.4,26.3,20.5,"*","*","*"
"Ansonia School District","Ansonia High School","Hispanic",25.6,25.0,18.8,"*","*","*"
"Ansonia School District","Ansonia High School","Asian","*","*","*","*","*","*"
"Ansonia School District","Ansonia High School","Indian or Alaska Native","*","N/A","N/A","*","N/A","N/A"
"Ansonia School District","Ansonia High School","White",17.0,9.6,7.3,"*","*","*"
"Ansonia School District","Ansonia High School","Hawaiian or Pacific Islander","N/A","*","*","N/A","*","*"
"Avon School District","Avon High School","Black","*","*","*","*","*","*"
"Avon School District","Avon High School","Hispanic","*","*","*","*","*","*"
"Avon School District","Avon High School","Asian","*","*","*","*","*","*"
"Avon School District","Avon High School","Indian or Alaska Native","*","N/A","N/A","*","N/A","N/A"
"Avon School District","Avon High School","White","*","*","*","*","*","*"
"Avon School District","Avon High School","Hawaiian or Pacific Islander","N/A","*","*","N/A","*","*"
"Avon School District","Avon High School","Two or More Races","N/A","*","*","N/A","*","*"
"Berlin School District","Berlin High School","Black","*","*","*","*","*","*"
"Berlin School District","Berlin High School","Hispanic","*","*","*","*","*","*"
"Berlin School District","Berlin High School","Asian","*","*","*","*","*","*"
"Berlin School District","Berlin High School","Indian or Alaska Native","*","N/A","N/A","*","N/A","N/A"
"Berlin School District","Berlin High School","White",4.9,"*","*","*","*","*"
"Berlin School District","Berlin High School","Two or More Races","N/A","*","*","N/A","*","*"
"Bethel School District","Bethel High School","Black","*","*","*","*","*","*"
"Bethel School District","Bethel High School","Hispanic","*","*","*","*","*","*"
"Bethel School District","Bethel High School","Asian","*","*","*","*","*","*"
"Bethel School District","Bethel High School","Indian or Alaska Native","N/A","N/A","*","N/A","N/A","*"
"Bethel School District","Bethel High School","White",3.0,"*","*","*","*","*"
"Bethel School District","Bethel High School","Two or More Races","N/A","*","*","N/A","*","*"
"Bloomfield School District","Bloomfield High School","Black",13.6,5.5,"*","*","*","*"
"Bloomfield School District","Bloomfield High School","Hispanic","*","*","*","*","*","*"
"Bloomfield School District","Bloomfield High School","Asian","*","N/A","*","*","N/A","*"
"Bloomfield School District","Bloomfield High School","White","*","*","*","*","*","*"
"Bloomfield School District","Bloomfield High School","Two or More Races","N/A","N/A","*","N/A","N/A","*"
"Bloomfield School District","Global Experience Magnet School","Black","N/A","N/A","*","N/A","N/A","*"
"Bloomfield School District","Global Experience Magnet School","Hispanic","N/A","N/A","*","N/A","N/A","*"
"Bloomfield School District","Global Experience Magnet School","White","N/A","N/A","*","N/A","N/A","*"
"Bloomfield School District","Global Experience Magnet School","Two or More Races","N/A","N/A","*","N/A","N/A","*"
"Bloomfield School District","Learning Academy at Bloomfield","Black","N/A","N/A","*","N/A","N/A","*"
"Bloomfield School District","Learning Academy at Bloomfield","Hispanic","N/A","N/A","*","N/A","N/A","*"
"Bloomfield School District","The Big Picture High School","Black","*","*","N/A","*","*","N/A"
"Bloomfield School District","The Big Picture High School","Hispanic","*","*","N/A","*","*","N/A"
"Bloomfield School District","The Big Picture High School","Asian","*","N/A","N/A","*","N/A","N/A"
"Bolton School District","Bolton High School","Black","*","*","N/A","*","*","N/A"
"Bolton School District","Bolton High School","Hispanic","*","N/A","*","*","N/A","*"
"Bolton School District","Bolton High School","Asian","N/A","N/A","*","N/A","N/A","*"
"Bolton School District","Bolton High School","Indian or Alaska Native","*","N/A","N/A","*","N/A","N/A"
"Bolton School District","Bolton High School","White","*","*","*","*","*","*"
"Bolton School District","Bolton High School","Two or More Races","N/A","*","*","N/A","*","*"
"Branford School District","Branford High School","Black","*","*","*","*","*","*"
"Branford School District","Branford High School","Hispanic","*","*","*","*","*","*"
"Branford School District","Branford High School","Asian","*","*","*","*","*","*"
"Branford School District","Branford High School","Indian or Alaska Native","*","N/A","*","*","N/A","*"
"Branford School District","Branford High School","White","*",3.9,5.5,"*","*","*"
"Branford School District","Branford High School","Two or More Races","N/A","*","*","N/A","*","*"
"Bridgeport School District","Bassick High School","Black",29.0,32.5,25.2,"*","*","*"
"Bridgeport School District","Bassick High School","Hispanic",36.8,50.3,37.3,"*","*","*"
"Bridgeport School District","Bassick High School","Asian","*","*","*","*","*","*"
"Bridgeport School District","Bassick High School","Indian or Alaska Native","N/A","N/A","*","N/A","N/A","*"
"Bridgeport School District","Bassick High School","White","*",68.4,50.0,"*","*","*"
"Bridgeport School District","Central High School","Black",13.8,14.4,16.6,"*","*","*"
"Bridgeport School District","Central High School","Hispanic",25.1,19.0,18.3,"*","*","*"
"Bridgeport School District","Central High School","Asian","*","*","*","*","*","*"
