"Smarter Balanced Assessments, 2014-15"
"All Districts, ELA and Math, All Grades, Special Education Status (SWD)"

"",,,,,,,,,"Level 1Not Met",,"Level 2Approaching",,"Level 3Met",,"Level 4Exceeded",,"Level 3&4Met or Exceeded",,""
"District","District Code","Grade","Subject","Special Education","Total Numberof Students","Total NumberTested","Smarter BalancedParticipationRate","Total Number with Scored Tests","Level 1 Not Met  Count","%","Level 2 Approaching  Count","%","Level 3 Met  Count","%","Level 4 Exceeded  Count","%","Level 3&4 Met or Exceeded Count","%","AverageVSS"
"Achievement First Hartford Academy Inc. District","=""2880013""",03,"ELA","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Achievement First Hartford Academy Inc. District","=""2880013""",03,"ELA","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Achievement First Hartford Academy Inc. District","=""2880013""",03,"Math","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Achievement First Hartford Academy Inc. District","=""2880013""",03,"Math","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Achievement First Hartford Academy Inc. District","=""2880013""",04,"ELA","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Achievement First Hartford Academy Inc. District","=""2880013""",04,"ELA","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Achievement First Hartford Academy Inc. District","=""2880013""",04,"Math","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Achievement First Hartford Academy Inc. District","=""2880013""",04,"Math","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Achievement First Hartford Academy Inc. District","=""2880013""",05,"ELA","N",130,130,100.0,130,"*","*","*","*","*","*","*","*","*","*",2474
"Achievement First Hartford Academy Inc. District","=""2880013""",05,"ELA","Y",16,16,"*",16,"*","*","*","*","*","*","*","*","*","*","*"
"Achievement First Hartford Academy Inc. District","=""2880013""",05,"Math","N",130,130,100.0,130,"*","*","*","*","*","*","*","*","*","*",2443
"Achievement First Hartford Academy Inc. District","=""2880013""",05,"Math","Y",16,16,"*",16,"*","*","*","*","*","*","*","*","*","*","*"
"Achievement First Hartford Academy Inc. District","=""2880013""",06,"ELA","N",73,73,100.0,73,"*","*","*","*","*","*","*","*","*","*",2502
"Achievement First Hartford Academy Inc. District","=""2880013""",06,"ELA","Y",6,6,"*",6,"*","*","*","*","*","*","*","*","*","*","*"
"Achievement First Hartford Academy Inc. District","=""2880013""",06,"Math","N",73,73,100.0,73,"*","*","*","*","*","*","*","*","*","*",2448
"Achievement First Hartford Academy Inc. District","=""2880013""",06,"Math","Y",6,6,"*",6,"*","*","*","*","*","*","*","*","*","*","*"
"Achievement First Hartford Academy Inc. District","=""2880013""",07,"ELA","N",69,66,95.7,66,"*","*","*","*","*","*","*","*","*","*",2537
"Achievement First Hartford Academy Inc. District","=""2880013""",07,"ELA","Y",8,8,"*",8,"*","*","*","*","*","*","*","*","*","*","*"
"Achievement First Hartford Academy Inc. District","=""2880013""",07,"Math","N",69,66,95.7,66,"*","*","*","*","*","*","*","*","*","*",2505
"Achievement First Hartford Academy Inc. District","=""2880013""",07,"Math","Y",8,8,"*",8,"*","*","*","*","*","*","*","*","*","*","*"
"Achievement First Hartford Academy Inc. District","=""2880013""",08,"ELA","N",48,48,100.0,47,"*","*","*","*","*","*","*","*","*","*",2542
"Achievement First Hartford Academy Inc. District","=""2880013""",08,"ELA","Y",11,11,"*",11,"*","*","*","*","*","*","*","*","*","*","*"
"Achievement First Hartford Academy Inc. District","=""2880013""",08,"Math","N",48,48,100.0,47,"*","*","*","*","*","*","*","*","*","*",2466
"Achievement First Hartford Academy Inc. District","=""2880013""",08,"Math","Y",11,11,"*",11,"*","*","*","*","*","*","*","*","*","*","*"
"Achievement First Hartford Academy Inc. District","=""2880013""",11,"ELA","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Achievement First Hartford Academy Inc. District","=""2880013""",11,"ELA","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Achievement First Hartford Academy Inc. District","=""2880013""",11,"Math","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Achievement First Hartford Academy Inc. District","=""2880013""",11,"Math","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Amistad Academy District","=""2790013""",03,"ELA","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Amistad Academy District","=""2790013""",03,"ELA","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Amistad Academy District","=""2790013""",03,"Math","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Amistad Academy District","=""2790013""",03,"Math","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Amistad Academy District","=""2790013""",04,"ELA","N",70,70,100.0,70,"*","*","*","*","*","*","*","*","*","*",2482
"Amistad Academy District","=""2790013""",04,"ELA","Y",6,6,"*",6,"*","*","*","*","*","*","*","*","*","*","*"
"Amistad Academy District","=""2790013""",04,"Math","N",70,70,100.0,70,"*","*","*","*","*","*","*","*","*","*",2490
"Amistad Academy District","=""2790013""",04,"Math","Y",6,6,"*",6,"*","*","*","*","*","*","*","*","*","*","*"
