"Smarter Balanced Assessments, 2015-16"
"All Districts, Math, All Grades, All Students"

"",,,,,,,"Level 1Not Met",,"Level 2Approaching",,"Level 3Met",,"Level 4Exceeded",,"Level 3&4Met or Exceeded",,""
"District","District Code","Grade","Total Numberof Students","Total NumberTested","Smarter BalancedParticipationRate","Total Number with Scored Tests","Level 1 Not Met  Count","%","Level 2 Approaching  Count","%","Level 3 Met  Count","%","Level 4 Exceeded  Count","%","Level 3&4 Met or Exceeded Count","%","AverageVSS"
"Achievement First Hartford Academy Inc. District","=""2880013""",03,90,88,97.8,88,14,15.9,24,27.3,24,27.3,26,29.5,50,56.8,2453
"Achievement First Hartford Academy Inc. District","=""2880013""",04,91,90,98.9,90,18,20.0,32,35.6,19,21.1,21,23.3,40,44.4,2479
"Achievement First Hartford Academy Inc. District","=""2880013""",05,144,143,99.3,142,70,49.3,49,34.5,14,9.9,9,6.3,23,16.2,2453
"Achievement First Hartford Academy Inc. District","=""2880013""",06,145,143,98.6,143,69,48.3,45,31.5,18,12.6,11,7.7,29,20.3,2473
"Achievement First Hartford Academy Inc. District","=""2880013""",07,57,57,100.0,57,29,50.9,18,31.6,"*","*","*","*",10,17.5,2469
"Achievement First Hartford Academy Inc. District","=""2880013""",08,65,65,100.0,65,22,33.8,21,32.3,"*","*","*","*",22,33.8,2534
"Amistad Academy District","=""2790013""",03,91,90,98.9,90,13,14.4,20,22.2,34,37.8,23,25.6,57,63.3,2457
"Amistad Academy District","=""2790013""",04,92,90,97.8,90,13,14.4,28,31.1,26,28.9,23,25.6,49,54.4,2498
"Amistad Academy District","=""2790013""",05,94,93,98.9,93,34,36.6,27,29.0,14,15.1,18,19.4,32,34.4,2496
"Amistad Academy District","=""2790013""",06,90,90,100.0,90,17,18.9,37,41.1,19,21.1,17,18.9,36,40.0,2532
"Amistad Academy District","=""2790013""",07,89,89,100.0,89,24,27.0,24,27.0,23,25.8,18,20.2,41,46.1,2538
"Amistad Academy District","=""2790013""",08,82,81,98.8,81,18,22.2,25,30.9,23,28.4,15,18.5,38,46.9,2568
"Andover School District","=""0010011""",03,29,28,96.6,28,"*","*","*","*",13,46.4,7,25.0,20,71.4,2464
"Andover School District","=""0010011""",04,38,38,100.0,38,0,0.0,13,34.2,15,39.5,10,26.3,25,65.8,2512
"Andover School District","=""0010011""",05,44,42,95.5,42,"*","*","*","*",14,33.3,20,47.6,34,81.0,2573
"Andover School District","=""0010011""",06,48,48,100.0,48,"*","*","*","*",12,25.0,22,45.8,34,70.8,2589
"Ansonia School District","=""0020011""",03,172,169,98.3,169,47,27.8,62,36.7,49,29.0,11,6.5,60,35.5,2410
"Ansonia School District","=""0020011""",04,166,165,99.4,165,47,28.5,69,41.8,39,23.6,10,6.1,49,29.7,2452
"Ansonia School District","=""0020011""",05,184,184,100.0,184,101,54.9,53,28.8,19,10.3,11,6.0,30,16.3,2445
"Ansonia School District","=""0020011""",06,176,172,97.7,172,60,34.9,62,36.0,31,18.0,19,11.0,50,29.1,2497
"Ansonia School District","=""0020011""",07,171,163,95.3,163,78,47.9,58,35.6,15,9.2,12,7.4,27,16.6,2483
"Ansonia School District","=""0020011""",08,185,183,98.9,182,85,46.7,63,34.6,22,12.1,12,6.6,34,18.7,2509
"Area Cooperative Educational Services","=""2440014""",03,89,85,95.5,85,44,51.8,21,24.7,"*","*","*","*",20,23.5,2373
"Area Cooperative Educational Services","=""2440014""",04,103,100,97.1,100,57,57.0,29,29.0,"*","*","*","*","*","*",2396
"Area Cooperative Educational Services","=""2440014""",05,97,95,97.9,95,71,74.7,21,22.1,"*","*","*","*","*","*",2411
"Area Cooperative Educational Services","=""2440014""",06,350,350,100.0,350,167,47.7,120,34.3,44,12.6,19,5.4,63,18.0,2470
"Area Cooperative Educational Services","=""2440014""",07,331,323,97.6,323,126,39.0,99,30.7,67,20.7,31,9.6,98,30.3,2508
"Area Cooperative Educational Services","=""2440014""",08,317,315,99.4,315,173,54.9,71,22.5,49,15.6,22,7.0,71,22.5,2498
"Ashford School District","=""0030011""",03,30,30,100.0,30,"*","*","*","*",12,40.0,8,26.7,20,66.7,2464
"Ashford School District","=""0030011""",04,42,42,100.0,42,6,14.3,8,19.0,18,42.9,10,23.8,28,66.7,2503
"Ashford School District","=""0030011""",05,38,37,97.4,37,11,29.7,11,29.7,"*","*","*","*",15,40.5,2503
"Ashford School District","=""0030011""",06,36,36,100.0,36,17,47.2,10,27.8,"*","*","*","*",9,25.0,2479
"Ashford School District","=""0030011""",07,51,51,100.0,51,6,11.8,23,45.1,15,29.4,7,13.7,22,43.1,2562
"Ashford School District","=""0030011""",08,36,36,100.0,36,"*","*",11,30.6,13,36.1,"*","*","*","*",2578
"Avon School District","=""0040011""",03,236,236,100.0,236,16,6.8,40,16.9,69,29.2,111,47.0,180,76.3,2489
"Avon School District","=""0040011""",04,220,218,99.1,218,10,4.6,40,18.3,83,38.1,85,39.0,168,77.1,2535
"Avon School District","=""0040011""",05,273,273,100.0,273,35,12.8,66,24.2,77,28.2,95,34.8,172,63.0,2545
"Avon School District","=""0040011""",06,277,275,99.3,275,19,6.9,47,17.1,83,30.2,126,45.8,209,76.0,2602
"Avon School District","=""0040011""",07,269,268,99.6,268,10,3.7,36,13.4,69,25.7,153,57.1,222,82.8,2639
