"Smarter Balanced Assessments, 2015-16"
"State of Connecticut, Math, All Grades, Special Education Status (SWD)"

"",,,,,,,"Level 1Not Met",,"Level 2Approaching",,"Level 3Met",,"Level 4Exceeded",,"Level 3&4Met or Exceeded",,""
"District","Grade","Special Education","Total Numberof Students","Total NumberTested","Smarter BalancedParticipationRate","Total Number with Scored Tests","Level 1 Not Met  Count","%","Level 2 Approaching  Count","%","Level 3 Met  Count","%","Level 4 Exceeded  Count","%","Level 3&4 Met or Exceeded Count","%","AverageVSS"
"State of Connecticut",03,"N",34755,34478,99.2,34468,6456,18.7,8273,24.0,11123,32.3,8616,25.0,19739,57.3,2448
"State of Connecticut",03,"Y",4541,4406,97.0,4399,2691,61.2,929,21.1,559,12.7,220,5.0,779,17.7,2360
"State of Connecticut",04,"N",33676,33405,99.2,33392,5300,15.9,10338,31.0,10111,30.3,7643,22.9,17754,53.2,2490
"State of Connecticut",04,"Y",5166,4997,96.7,4992,2938,58.9,1407,28.2,465,9.3,182,3.6,647,13.0,2400
"State of Connecticut",05,"N",34098,33822,99.2,33813,8348,24.7,10018,29.6,7402,21.9,8045,23.8,15447,45.7,2514
"State of Connecticut",05,"Y",5283,5129,97.1,5125,3721,72.6,945,18.4,301,5.9,158,3.1,459,9.0,2415
"State of Connecticut",06,"N",34175,33791,98.9,33783,7732,22.9,10628,31.5,7908,23.4,7515,22.2,15423,45.7,2538
"State of Connecticut",06,"Y",5398,5185,96.1,5179,3807,73.5,994,19.2,257,5.0,121,2.3,378,7.3,2411
"State of Connecticut",07,"N",35301,34756,98.5,34744,7827,22.5,10660,30.7,8860,25.5,7397,21.3,16257,46.8,2555
"State of Connecticut",07,"Y",5428,5215,96.1,5210,3799,72.9,958,18.4,318,6.1,135,2.6,453,8.7,2427
"State of Connecticut",08,"N",34723,34032,98.0,34019,9621,28.3,8964,26.3,7385,21.7,8049,23.7,15434,45.4,2569
"State of Connecticut",08,"Y",5416,5168,95.4,5160,4016,77.8,779,15.1,246,4.8,119,2.3,365,7.1,2437

