"Smarter Balanced Growth Report, 2015-16"
"All Districts, Special Education"

"",,,,,,"Average Vertical Scale Score (VSS)",,,"",
"District Code","District","Grade","Subject","Special Education Status (SWD)","Number ofMatched Students","2014-15","2015-16","Gain","Growth Rate","Average Percentageof Target Achieved"
"=""2880013""","Achievement First Hartford Academy Inc. District",4,"ELA","Special Education",7,"*","*","*","*","*"
"=""2880013""","Achievement First Hartford Academy Inc. District",4,"ELA","Non-Special Education",80,2416,2492,76,"60.0%","84.8%"
"=""2880013""","Achievement First Hartford Academy Inc. District",4,"Math","Special Education",7,"*","*","*","*","*"
"=""2880013""","Achievement First Hartford Academy Inc. District",4,"Math","Non-Special Education",78,2434,2492,58,"47.4%","82.2%"
"=""2880013""","Achievement First Hartford Academy Inc. District",5,"ELA","Special Education",13,"*","*","*","*","*"
"=""2880013""","Achievement First Hartford Academy Inc. District",5,"ELA","Non-Special Education",118,2428,2476,48,"38.1%","62.3%"
"=""2880013""","Achievement First Hartford Academy Inc. District",5,"Math","Special Education",13,"*","*","*","*","*"
"=""2880013""","Achievement First Hartford Academy Inc. District",5,"Math","Non-Special Education",117,2444,2466,22,"35.0%","52.4%"
"=""2880013""","Achievement First Hartford Academy Inc. District",6,"ELA","Special Education",16,"*","*","*","*","*"
"=""2880013""","Achievement First Hartford Academy Inc. District",6,"ELA","Non-Special Education",115,2470,2527,56,"50.4%","75.9%"
"=""2880013""","Achievement First Hartford Academy Inc. District",6,"Math","Special Education",16,"*","*","*","*","*"
"=""2880013""","Achievement First Hartford Academy Inc. District",6,"Math","Non-Special Education",114,2435,2488,53,"56.1%","79.1%"
"=""2880013""","Achievement First Hartford Academy Inc. District",7,"ELA","Special Education","*","*","*","*","*","*"
"=""2880013""","Achievement First Hartford Academy Inc. District",7,"ELA","Non-Special Education","*",2505,2544,39,"46.0%","65.5%"
"=""2880013""","Achievement First Hartford Academy Inc. District",7,"Math","Special Education","*","*","*","*","*","*"
"=""2880013""","Achievement First Hartford Academy Inc. District",7,"Math","Non-Special Education","*",2470,2484,13,"26.0%","45.6%"
"=""2880013""","Achievement First Hartford Academy Inc. District",8,"ELA","Special Education",6,"*","*","*","*","*"
"=""2880013""","Achievement First Hartford Academy Inc. District",8,"ELA","Non-Special Education",55,2533,2591,58,"61.8%","77.7%"
"=""2880013""","Achievement First Hartford Academy Inc. District",8,"Math","Special Education",7,"*","*","*","*","*"
"=""2880013""","Achievement First Hartford Academy Inc. District",8,"Math","Non-Special Education",55,2514,2558,43,"56.4%","70.8%"
"=""2790013""","Amistad Academy District",4,"ELA","Special Education",7,"*","*","*","*","*"
"=""2790013""","Amistad Academy District",4,"ELA","Non-Special Education",78,2433,2496,63,"53.8%","76.8%"
"=""2790013""","Amistad Academy District",4,"Math","Special Education",6,"*","*","*","*","*"
"=""2790013""","Amistad Academy District",4,"Math","Non-Special Education",78,2446,2506,61,"59.0%","86.6%"
"=""2790013""","Amistad Academy District",5,"ELA","Special Education",8,"*","*","*","*","*"
"=""2790013""","Amistad Academy District",5,"ELA","Non-Special Education",77,2470,2521,51,"46.8%","68.1%"
"=""2790013""","Amistad Academy District",5,"Math","Special Education",8,"*","*","*","*","*"
"=""2790013""","Amistad Academy District",5,"Math","Non-Special Education",77,2484,2510,26,"36.4%","60.7%"
"=""2790013""","Amistad Academy District",6,"ELA","Special Education","*","*","*","*","*","*"
"=""2790013""","Amistad Academy District",6,"ELA","Non-Special Education","*",2476,2517,41,"46.2%","67.5%"
"=""2790013""","Amistad Academy District",6,"Math","Special Education","*","*","*","*","*","*"
"=""2790013""","Amistad Academy District",6,"Math","Non-Special Education","*",2463,2540,77,"75.6%","92.0%"
"=""2790013""","Amistad Academy District",7,"ELA","Special Education",8,"*","*","*","*","*"
"=""2790013""","Amistad Academy District",7,"ELA","Non-Special Education",77,2534,2563,29,"31.2%","54.9%"
"=""2790013""","Amistad Academy District",7,"Math","Special Education",8,"*","*","*","*","*"
"=""2790013""","Amistad Academy District",7,"Math","Non-Special Education",77,2532,2563,31,"40.3%","63.5%"
"=""2790013""","Amistad Academy District",8,"ELA","Special Education","*","*","*","*","*","*"
"=""2790013""","Amistad Academy District",8,"ELA","Non-Special Education","*",2539,2582,43,"47.2%","70.2%"
"=""2790013""","Amistad Academy District",8,"Math","Special Education","*","*","*","*","*","*"
"=""2790013""","Amistad Academy District",8,"Math","Non-Special Education","*",2517,2579,62,"70.4%","84.9%"
"=""0010011""","Andover School District",4,"ELA","Non-Special Education",38,2486,2528,42,"44.7%","67.5%"
"=""0010011""","Andover School District",4,"Math","Non-Special Education",38,2464,2512,48,"34.2%","71.2%"
"=""0010011""","Andover School District",5,"ELA","Non-Special Education",42,2540,2580,40,"52.4%","70.5%"
"=""0010011""","Andover School District",5,"Math","Non-Special Education",42,2533,2573,40,"52.4%","76.1%"
"=""0010011""","Andover School District",6,"ELA","Special Education","*","*","*","*","*","*"
"=""0010011""","Andover School District",6,"ELA","Non-Special Education","*",2595,2612,17,"52.5%","65.5%"
"=""0010011""","Andover School District",6,"Math","Special Education","*","*","*","*","*","*"
"=""0010011""","Andover School District",6,"Math","Non-Special Education","*",2566,2609,43,"61.9%","82.4%"
"=""0020011""","Ansonia School District",4,"ELA","Special Education",25,2332,2373,41,"24.0%","56.5%"
"=""0020011""","Ansonia School District",4,"ELA","Non-Special Education",130,2425,2468,44,"33.8%","60.1%"
"=""0020011""","Ansonia School District",4,"Math","Special Education",25,2356,2386,31,"12.0%","51.4%"
"=""0020011""","Ansonia School District",4,"Math","Non-Special Education",130,2425,2466,41,"27.7%","64.2%"
"=""0020011""","Ansonia School District",5,"ELA","Special Education",20,2360,2386,26,"15.0%","45.3%"
"=""0020011""","Ansonia School District",5,"ELA","Non-Special Education",150,2446,2470,23,"21.3%","48.7%"
"=""0020011""","Ansonia School District",5,"Math","Special Education",20,2390,2391,1,"20.0%","35.3%"
"=""0020011""","Ansonia School District",5,"Math","Non-Special Education",151,2446,2454,7,"23.2%","41.3%"
"=""0020011""","Ansonia School District",6,"ELA","Special Education",27,2383,2424,40,"33.3%","62.7%"
"=""0020011""","Ansonia School District",6,"ELA","Non-Special Education",133,2486,2521,35,"43.6%","63.3%"
"=""0020011""","Ansonia School District",6,"Math","Special Education",27,2393,2420,27,"44.4%","61.8%"
"=""0020011""","Ansonia School District",6,"Math","Non-Special Education",133,2462,2516,54,"64.7%","85.0%"
"=""0020011""","Ansonia School District",7,"ELA","Special Education",34,2412,2416,3,"8.8%","31.4%"
"=""0020011""","Ansonia School District",7,"ELA","Non-Special Education",114,2488,2498,11,"21.9%","43.4%"
"=""0020011""","Ansonia School District",7,"Math","Special Education",34,2409,2416,8,"20.6%","37.7%"
"=""0020011""","Ansonia School District",7,"Math","Non-Special Education",114,2494,2510,16,"29.8%","52.6%"
"=""0020011""","Ansonia School District",8,"ELA","Special Education",24,2430,2453,23,"25.0%","49.1%"
"=""0020011""","Ansonia School District",8,"ELA","Non-Special Education",146,2523,2539,16,"31.5%","47.8%"
"=""0020011""","Ansonia School District",8,"Math","Special Education",24,2450,2454,4,"20.8%","43.7%"
"=""0020011""","Ansonia School District",8,"Math","Non-Special Education",145,2507,2522,15,"40.0%","56.0%"
"=""2440014""","Area Cooperative Educational Services",4,"ELA","Special Education",28,2292,2329,37,"21.4%","48.0%"
"=""2440014""","Area Cooperative Educational Services",4,"ELA","Non-Special Education",66,2406,2441,34,"31.8%","53.2%"
"=""2440014""","Area Cooperative Educational Services",4,"Math","Special Education",28,2290,2320,29,"10.7%","45.8%"
"=""2440014""","Area Cooperative Educational Services",4,"Math","Non-Special Education",66,2395,2433,38,"22.7%","56.6%"
"=""2440014""","Area Cooperative Educational Services",5,"ELA","Special Education",24,2332,2358,26,"12.5%","40.5%"
"=""2440014""","Area Cooperative Educational Services",5,"ELA","Non-Special Education",65,2433,2479,46,"27.7%","61.5%"
"=""2440014""","Area Cooperative Educational Services",5,"Math","Special Education",23,2324,2360,36,"39.1%","60.5%"
"=""2440014""","Area Cooperative Educational Services",5,"Math","Non-Special Education",65,2421,2430,9,"24.6%","44.8%"
"=""2440014""","Area Cooperative Educational Services",6,"ELA","Special Education",47,2404,2407,2,"17.0%","35.4%"
"=""2440014""","Area Cooperative Educational Services",6,"ELA","Non-Special Education",275,2506,2514,8,"28.0%","46.2%"
"=""2440014""","Area Cooperative Educational Services",6,"Math","Special Education",47,2384,2368,-16,"21.3%","33.2%"
"=""2440014""","Area Cooperative Educational Services",6,"Math","Non-Special Education",277,2475,2490,15,"29.2%","48.3%"
"=""2440014""","Area Cooperative Educational Services",7,"ELA","Special Education",56,2394,2437,43,"33.9%","56.5%"
