"Smarter Balanced Growth Report, 2015-16"
"All Districts, Free/Reduced Price Meal Eligibility (2-level)"

"",,,,,"Average Vertical Scale Score (VSS)",,,"",
"District Code","District","Grade","Free/Reduced Price Meal Eligibility (2-level)","Number ofMatched Students","2014-15","2015-16","Gain","Growth Rate","Average Percentageof Target Achieved"
"=""2880013""","Achievement First Hartford Academy Inc. District",4,"Eligible For Lunch",87,2407,2481,73,"56.3%","82.1%"
"=""2880013""","Achievement First Hartford Academy Inc. District",5,"Eligible For Lunch",131,2418,2467,49,"37.4%","61.7%"
"=""2880013""","Achievement First Hartford Academy Inc. District",6,"Eligible For Lunch",131,2461,2515,55,"48.9%","74.0%"
"=""2880013""","Achievement First Hartford Academy Inc. District",7,"Eligible For Lunch",55,2491,2535,44,"47.3%","67.7%"
"=""2880013""","Achievement First Hartford Academy Inc. District",8,"Eligible For Lunch",61,2521,2580,59,"59.0%","77.1%"
"=""2790013""","Amistad Academy District",4,"Eligible For Lunch",79,2420,2485,64,"50.6%","74.8%"
"=""2790013""","Amistad Academy District",4,"Not Eligible For Lunch",6,"*","*","*","*","*"
"=""2790013""","Amistad Academy District",5,"Eligible For Lunch",73,2454,2504,50,"43.8%","67.0%"
"=""2790013""","Amistad Academy District",5,"Not Eligible For Lunch",12,"*","*","*","*","*"
"=""2790013""","Amistad Academy District",6,"Eligible For Lunch",71,2463,2508,45,"46.5%","69.0%"
"=""2790013""","Amistad Academy District",6,"Not Eligible For Lunch",11,"*","*","*","*","*"
"=""2790013""","Amistad Academy District",7,"Eligible For Lunch",67,2514,2542,28,"32.8%","54.3%"
"=""2790013""","Amistad Academy District",7,"Not Eligible For Lunch",18,"*","*","*","*","*"
"=""2790013""","Amistad Academy District",8,"Eligible For Lunch",58,2518,2555,36,"39.7%","63.7%"
"=""2790013""","Amistad Academy District",8,"Not Eligible For Lunch",18,"*","*","*","*","*"
"=""0010011""","Andover School District",4,"Eligible For Lunch",7,"*","*","*","*","*"
"=""0010011""","Andover School District",4,"Not Eligible For Lunch",31,2486,2537,52,"51.6%","78.0%"
"=""0010011""","Andover School District",5,"Eligible For Lunch","*","*","*","*","*","*"
"=""0010011""","Andover School District",5,"Not Eligible For Lunch","*",2538,2581,43,"55.3%","74.1%"
"=""0010011""","Andover School District",6,"Eligible For Lunch",6,"*","*","*","*","*"
"=""0010011""","Andover School District",6,"Not Eligible For Lunch",39,2580,2601,20,"51.3%","66.2%"
"=""0020011""","Ansonia School District",4,"Eligible For Lunch",110,2397,2441,44,"31.8%","60.4%"
"=""0020011""","Ansonia School District",4,"Not Eligible For Lunch",45,2440,2480,40,"33.3%","57.3%"
"=""0020011""","Ansonia School District",5,"Eligible For Lunch",118,2425,2445,21,"16.1%","43.4%"
"=""0020011""","Ansonia School District",5,"Not Eligible For Lunch",52,2463,2494,31,"30.8%","59.5%"
"=""0020011""","Ansonia School District",6,"Eligible For Lunch",111,2453,2491,38,"43.2%","64.4%"
"=""0020011""","Ansonia School District",6,"Not Eligible For Lunch",49,2504,2536,33,"38.8%","60.5%"
"=""0020011""","Ansonia School District",7,"Eligible For Lunch",103,2463,2471,8,"14.6%","37.6%"
"=""0020011""","Ansonia School District",7,"Not Eligible For Lunch",45,2487,2500,12,"28.9%","47.6%"
"=""0020011""","Ansonia School District",8,"Eligible For Lunch",130,2500,2514,14,"28.5%","45.1%"
"=""0020011""","Ansonia School District",8,"Not Eligible For Lunch",40,2540,2567,27,"37.5%","57.3%"
"=""2440014""","Area Cooperative Educational Services",4,"Eligible For Lunch",67,2354,2386,32,"22.4%","47.2%"
"=""2440014""","Area Cooperative Educational Services",4,"Not Eligible For Lunch",27,2417,2460,43,"44.4%","62.7%"
"=""2440014""","Area Cooperative Educational Services",5,"Eligible For Lunch",60,2387,2420,32,"15.0%","46.7%"
"=""2440014""","Area Cooperative Educational Services",5,"Not Eligible For Lunch",29,2443,2501,57,"41.4%","74.7%"
"=""2440014""","Area Cooperative Educational Services",6,"Eligible For Lunch",206,2465,2474,9,"24.3%","42.5%"
"=""2440014""","Area Cooperative Educational Services",6,"Not Eligible For Lunch",116,2537,2541,4,"30.2%","48.4%"
"=""2440014""","Area Cooperative Educational Services",7,"Eligible For Lunch",213,2473,2501,27,"33.3%","54.0%"
"=""2440014""","Area Cooperative Educational Services",7,"Not Eligible For Lunch",106,2537,2568,31,"38.7%","61.6%"
"=""2440014""","Area Cooperative Educational Services",8,"Eligible For Lunch",185,2498,2517,19,"29.7%","49.5%"
"=""2440014""","Area Cooperative Educational Services",8,"Not Eligible For Lunch",114,2556,2583,26,"38.6%","56.7%"
"=""0030011""","Ashford School District",4,"Eligible For Lunch",15,"*","*","*","*","*"
"=""0030011""","Ashford School District",4,"Not Eligible For Lunch",26,2492,2524,32,"34.6%","57.2%"
"=""0030011""","Ashford School District",5,"Eligible For Lunch",9,"*","*","*","*","*"
"=""0030011""","Ashford School District",5,"Not Eligible For Lunch",28,2552,2568,16,"42.9%","61.9%"
"=""0030011""","Ashford School District",6,"Eligible For Lunch",12,"*","*","*","*","*"
"=""0030011""","Ashford School District",6,"Not Eligible For Lunch",24,2510,2535,25,"37.5%","59.2%"
"=""0030011""","Ashford School District",7,"Eligible For Lunch",14,"*","*","*","*","*"
"=""0030011""","Ashford School District",7,"Not Eligible For Lunch",33,2540,2586,46,"48.5%","70.3%"
"=""0030011""","Ashford School District",8,"Eligible For Lunch",17,"*","*","*","*","*"
"=""0030011""","Ashford School District",8,"Not Eligible For Lunch",17,"*","*","*","*","*"
"=""0040011""","Avon School District",4,"Eligible For Lunch",10,"*","*","*","*","*"
"=""0040011""","Avon School District",4,"Not Eligible For Lunch",191,2506,2553,46,"56.0%","73.6%"
"=""0040011""","Avon School District",5,"Eligible For Lunch",17,"*","*","*","*","*"
"=""0040011""","Avon School District",5,"Not Eligible For Lunch",239,2533,2577,44,"55.2%","74.8%"
"=""0040011""","Avon School District",6,"Eligible For Lunch",8,"*","*","*","*","*"
"=""0040011""","Avon School District",6,"Not Eligible For Lunch",250,2574,2614,40,"64.0%","80.8%"
"=""0040011""","Avon School District",7,"Eligible For Lunch",13,"*","*","*","*","*"
"=""0040011""","Avon School District",7,"Not Eligible For Lunch",243,2601,2639,38,"59.7%","75.7%"
"=""0040011""","Avon School District",8,"Eligible For Lunch",14,"*","*","*","*","*"
"=""0040011""","Avon School District",8,"Not Eligible For Lunch",248,2614,2639,25,"50.4%","65.5%"
"=""0050011""","Barkhamsted School District",4,"Eligible For Lunch",9,"*","*","*","*","*"
"=""0050011""","Barkhamsted School District",4,"Not Eligible For Lunch",36,2439,2492,53,"58.3%","75.9%"
"=""0050011""","Barkhamsted School District",5,"Eligible For Lunch","*","*","*","*","*","*"
"=""0050011""","Barkhamsted School District",5,"Not Eligible For Lunch","*",2527,2556,30,"39.0%","66.3%"
"=""0050011""","Barkhamsted School District",6,"Eligible For Lunch","*","*","*","*","*","*"
