"Smarter Balanced Growth Report, 2015-16"
"State of Connecticut, Free/Reduced Price Meal Eligibility (3-level)"

"",,,,,"Average Vertical Scale Score (VSS)",,,"",
"District Code","District","Grade","Free/Reduced Price Meal Eligibility (3-level)","Number ofMatched Students","2014-15","2015-16","Gain","Growth Rate","Average Percentageof Target Achieved"
"=""0000000""","State of Connecticut",4,"Eligible for Reduced Lunch",1669,2416,2467,51,"42.2%","67.8%"
"=""0000000""","State of Connecticut",4,"Eligible for Free Lunch",13236,2380,2428,48,"33.9%","61.2%"
"=""0000000""","State of Connecticut",4,"Not Eligible for Free/Reduced Lunch",21411,2463,2518,55,"53.2%","75.9%"
"=""0000000""","State of Connecticut",5,"Eligible for Reduced Lunch",1742,2457,2503,46,"39.2%","64.2%"
"=""0000000""","State of Connecticut",5,"Eligible for Free Lunch",12763,2418,2464,46,"35.3%","61.8%"
"=""0000000""","State of Connecticut",5,"Not Eligible for Free/Reduced Lunch",22455,2509,2553,45,"49.2%","70.7%"
"=""0000000""","State of Connecticut",6,"Eligible for Reduced Lunch",1832,2491,2522,30,"39.2%","59.4%"
"=""0000000""","State of Connecticut",6,"Eligible for Free Lunch",12266,2453,2482,29,"34.7%","55.8%"
"=""0000000""","State of Connecticut",6,"Not Eligible for Free/Reduced Lunch",22833,2543,2571,28,"46.4%","63.9%"
"=""0000000""","State of Connecticut",7,"Eligible for Reduced Lunch",1974,2508,2539,32,"38.7%","58.6%"
"=""0000000""","State of Connecticut",7,"Eligible for Free Lunch",12175,2475,2505,30,"34.2%","54.9%"
"=""0000000""","State of Connecticut",7,"Not Eligible for Free/Reduced Lunch",23852,2561,2593,32,"46.3%","64.0%"
"=""0000000""","State of Connecticut",8,"Eligible for Reduced Lunch",1860,2530,2556,26,"37.5%","57.6%"
"=""0000000""","State of Connecticut",8,"Eligible for Free Lunch",11837,2494,2520,26,"34.9%","54.6%"
"=""0000000""","State of Connecticut",8,"Not Eligible for Free/Reduced Lunch",23440,2581,2608,26,"45.8%","62.6%"

