"Smarter Balanced Growth Report, 2015-16"
"All Districts, Gender"

"",,,,,"Average Vertical Scale Score (VSS)",,,"",
"District Code","District","Grade","Gender","Number ofMatched Students","2014-15","2015-16","Gain","Growth Rate","Average Percentageof Target Achieved"
"=""2880013""","Achievement First Hartford Academy Inc. District",4,"Female",39,2419,2501,82,"64.1%","87.3%"
"=""2880013""","Achievement First Hartford Academy Inc. District",4,"Male",48,2398,2465,66,"50.0%","77.9%"
"=""2880013""","Achievement First Hartford Academy Inc. District",5,"Female",74,2426,2473,47,"35.1%","61.4%"
"=""2880013""","Achievement First Hartford Academy Inc. District",5,"Male",57,2408,2459,51,"40.4%","62.0%"
"=""2880013""","Achievement First Hartford Academy Inc. District",6,"Female",61,2474,2533,59,"52.5%","78.3%"
"=""2880013""","Achievement First Hartford Academy Inc. District",6,"Male",70,2449,2500,51,"45.7%","70.3%"
"=""2880013""","Achievement First Hartford Academy Inc. District",7,"Female",32,2513,2558,45,"56.3%","70.0%"
"=""2880013""","Achievement First Hartford Academy Inc. District",7,"Male",23,2461,2504,43,"34.8%","64.6%"
"=""2880013""","Achievement First Hartford Academy Inc. District",8,"Female",29,2512,2576,65,"62.1%","79.7%"
"=""2880013""","Achievement First Hartford Academy Inc. District",8,"Male",32,2529,2583,53,"56.3%","74.7%"
"=""2790013""","Amistad Academy District",4,"Female",39,2422,2491,69,"56.4%","77.9%"
"=""2790013""","Amistad Academy District",4,"Male",46,2421,2481,60,"47.8%","73.5%"
"=""2790013""","Amistad Academy District",5,"Female",44,2460,2525,65,"56.8%","79.1%"
"=""2790013""","Amistad Academy District",5,"Male",41,2458,2498,40,"34.1%","59.8%"
"=""2790013""","Amistad Academy District",6,"Female",38,2499,2544,45,"47.4%","70.1%"
"=""2790013""","Amistad Academy District",6,"Male",44,2447,2489,43,"45.5%","67.0%"
"=""2790013""","Amistad Academy District",7,"Female",44,2520,2553,33,"38.6%","59.9%"
"=""2790013""","Amistad Academy District",7,"Male",41,2513,2531,18,"22.0%","46.1%"
"=""2790013""","Amistad Academy District",8,"Female",37,2530,2576,46,"45.9%","69.9%"
"=""2790013""","Amistad Academy District",8,"Male",39,2532,2571,39,"46.2%","68.4%"
"=""0010011""","Andover School District",4,"Female",18,"*","*","*","*","*"
"=""0010011""","Andover School District",4,"Male",20,2474,2515,40,"40.0%","63.2%"
"=""0010011""","Andover School District",5,"Female",15,"*","*","*","*","*"
"=""0010011""","Andover School District",5,"Male",27,2543,2573,30,"40.7%","62.7%"
"=""0010011""","Andover School District",6,"Female",25,2579,2606,27,"56.0%","70.3%"
"=""0010011""","Andover School District",6,"Male",20,2580,2585,5,"40.0%","55.0%"
"=""0020011""","Ansonia School District",4,"Female",72,2431,2473,43,"37.5%","63.9%"
"=""0020011""","Ansonia School District",4,"Male",83,2391,2435,44,"27.7%","55.8%"
"=""0020011""","Ansonia School District",5,"Female",90,2448,2462,14,"15.6%","42.3%"
"=""0020011""","Ansonia School District",5,"Male",80,2423,2458,35,"26.3%","55.2%"
"=""0020011""","Ansonia School District",6,"Female",86,2489,2520,32,"37.2%","60.4%"
"=""0020011""","Ansonia School District",6,"Male",74,2445,2487,41,"47.3%","66.5%"
"=""0020011""","Ansonia School District",7,"Female",61,2483,2487,3,"16.4%","34.9%"
"=""0020011""","Ansonia School District",7,"Male",87,2461,2475,13,"20.7%","44.7%"
"=""0020011""","Ansonia School District",8,"Female",91,2516,2537,21,"31.9%","50.4%"
"=""0020011""","Ansonia School District",8,"Male",79,2502,2515,12,"29.1%","45.1%"
"=""2440014""","Area Cooperative Educational Services",4,"Female",39,2403,2446,43,"33.3%","61.7%"
"=""2440014""","Area Cooperative Educational Services",4,"Male",55,2351,2380,30,"25.5%","44.5%"
"=""2440014""","Area Cooperative Educational Services",5,"Female",30,2434,2487,53,"33.3%","70.7%"
"=""2440014""","Area Cooperative Educational Services",5,"Male",59,2391,2425,34,"18.6%","48.3%"
"=""2440014""","Area Cooperative Educational Services",6,"Female",148,2498,2504,6,"27.0%","44.2%"
"=""2440014""","Area Cooperative Educational Services",6,"Male",174,2485,2494,9,"25.9%","45.0%"
"=""2440014""","Area Cooperative Educational Services",7,"Female",164,2512,2546,33,"40.2%","62.6%"
"=""2440014""","Area Cooperative Educational Services",7,"Male",155,2476,2500,24,"29.7%","50.1%"
"=""2440014""","Area Cooperative Educational Services",8,"Female",131,2532,2550,18,"34.4%","53.2%"
"=""2440014""","Area Cooperative Educational Services",8,"Male",168,2511,2536,25,"32.1%","51.5%"
"=""0030011""","Ashford School District",4,"Female",21,2484,2517,33,"33.3%","54.2%"
"=""0030011""","Ashford School District",4,"Male",20,2434,2482,47,"45.0%","67.8%"
"=""0030011""","Ashford School District",5,"Female",26,2554,2577,23,"46.2%","64.3%"
"=""0030011""","Ashford School District",5,"Male",11,"*","*","*","*","*"
"=""0030011""","Ashford School District",6,"Female",15,"*","*","*","*","*"
"=""0030011""","Ashford School District",6,"Male",21,2488,2519,31,"38.1%","54.5%"
"=""0030011""","Ashford School District",7,"Female",23,2568,2619,51,"52.2%","77.9%"
"=""0030011""","Ashford School District",7,"Male",24,2496,2516,19,"33.3%","49.9%"
"=""0030011""","Ashford School District",8,"Female",12,"*","*","*","*","*"
"=""0030011""","Ashford School District",8,"Male",22,2535,2573,38,"40.9%","65.7%"
"=""0040011""","Avon School District",4,"Female",101,2511,2551,40,"54.5%","71.9%"
"=""0040011""","Avon School District",4,"Male",100,2495,2546,51,"52.0%","73.2%"
"=""0040011""","Avon School District",5,"Female",135,2532,2574,41,"53.3%","74.2%"
"=""0040011""","Avon School District",5,"Male",121,2521,2564,43,"53.7%","71.9%"
"=""0040011""","Avon School District",6,"Female",122,2586,2629,43,"72.1%","84.9%"
"=""0040011""","Avon School District",6,"Male",136,2557,2594,37,"55.1%","75.9%"
"=""0040011""","Avon School District",7,"Female",107,2599,2635,36,"58.9%","73.4%"
"=""0040011""","Avon School District",7,"Male",149,2594,2634,40,"59.1%","76.9%"
"=""0040011""","Avon School District",8,"Female",134,2621,2646,26,"56.0%","67.3%"
"=""0040011""","Avon School District",8,"Male",128,2604,2625,21,"43.8%","62.1%"
"=""0050011""","Barkhamsted School District",4,"Female",23,2467,2520,52,"52.2%","75.0%"
"=""0050011""","Barkhamsted School District",4,"Male",22,2403,2463,60,"59.1%","77.5%"
"=""0050011""","Barkhamsted School District",5,"Female",21,2524,2552,28,"38.1%","69.2%"
"=""0050011""","Barkhamsted School District",5,"Male",23,2513,2550,36,"43.5%","67.9%"
"=""0050011""","Barkhamsted School District",6,"Female",23,2547,2591,43,"47.8%","72.9%"
"=""0050011""","Barkhamsted School District",6,"Male",21,2538,2564,25,"28.6%","55.9%"
"=""0070011""","Berlin School District",4,"Female",84,2449,2512,63,"59.5%","82.4%"
"=""0070011""","Berlin School District",4,"Male",100,2419,2484,65,"47.0%","75.5%"
"=""0070011""","Berlin School District",5,"Female",111,2502,2561,59,"56.8%","76.8%"
"=""0070011""","Berlin School District",5,"Male",132,2490,2545,55,"47.0%","73.7%"
"=""0070011""","Berlin School District",6,"Female",94,2534,2577,43,"59.6%","77.4%"
"=""0070011""","Berlin School District",6,"Male",114,2518,2548,30,"43.9%","63.6%"
"=""0070011""","Berlin School District",7,"Female",117,2561,2597,36,"41.9%","65.0%"
"=""0070011""","Berlin School District",7,"Male",125,2537,2580,43,"56.0%","72.3%"
"=""0070011""","Berlin School District",8,"Female",83,2577,2620,43,"57.8%","77.7%"
"=""0070011""","Berlin School District",8,"Male",127,2556,2594,38,"53.5%","70.0%"
"=""0080011""","Bethany School District",4,"Female",23,2472,2544,72,"60.9%","82.6%"
"=""0080011""","Bethany School District",4,"Male",27,2396,2467,71,"55.6%","87.2%"
"=""0080011""","Bethany School District",5,"Female",24,2533,2585,52,"62.5%","84.7%"
"=""0080011""","Bethany School District",5,"Male",32,2514,2558,44,"46.9%","65.6%"
"=""0080011""","Bethany School District",6,"Female",29,2562,2576,14,"41.4%","50.9%"
"=""0080011""","Bethany School District",6,"Male",32,2512,2529,17,"37.5%","55.5%"
"=""0090011""","Bethel School District",4,"Female",103,2464,2508,44,"40.8%","68.3%"
"=""0090011""","Bethel School District",4,"Male",94,2446,2493,47,"48.9%","69.0%"
"=""0090011""","Bethel School District",5,"Female",88,2506,2552,46,"52.3%","74.2%"
"=""0090011""","Bethel School District",5,"Male",111,2490,2530,40,"44.1%","62.9%"
"=""0090011""","Bethel School District",6,"Female",89,2564,2604,40,"64.0%","80.6%"
"=""0090011""","Bethel School District",6,"Male",87,2536,2570,34,"50.6%","68.7%"
"=""0090011""","Bethel School District",7,"Female",110,2575,2610,35,"52.7%","72.0%"
"=""0090011""","Bethel School District",7,"Male",121,2554,2593,39,"52.1%","71.0%"
"=""0090011""","Bethel School District",8,"Female",103,2601,2642,40,"57.3%","72.7%"
"=""0090011""","Bethel School District",8,"Male",103,2572,2608,35,"51.5%","70.9%"
"=""0110011""","Bloomfield School District",4,"Female",46,2418,2463,45,"37.0%","60.2%"
"=""0110011""","Bloomfield School District",4,"Male",53,2405,2454,48,"28.3%","63.8%"
"=""0110011""","Bloomfield School District",5,"Female",54,2478,2521,44,"33.3%","61.4%"
"=""0110011""","Bloomfield School District",5,"Male",59,2461,2488,27,"16.9%","52.5%"
"=""0110011""","Bloomfield School District",6,"Female",53,2503,2540,36,"45.3%","67.8%"
"=""0110011""","Bloomfield School District",6,"Male",60,2479,2517,38,"46.7%","68.9%"
"=""0110011""","Bloomfield School District",7,"Female",60,2524,2558,34,"45.0%","58.0%"
"=""0110011""","Bloomfield School District",7,"Male",55,2499,2509,9,"16.4%","32.3%"
"=""0110011""","Bloomfield School District",8,"Female",65,2538,2577,39,"50.8%","71.1%"
"=""0110011""","Bloomfield School District",8,"Male",58,2507,2544,37,"41.4%","64.6%"
"=""0120011""","Bolton School District",4,"Female",25,2497,2560,63,"64.0%","90.5%"
"=""0120011""","Bolton School District",4,"Male",28,2450,2525,75,"60.7%","88.0%"
"=""0120011""","Bolton School District",5,"Female",37,2515,2565,50,"59.5%","78.4%"
"=""0120011""","Bolton School District",5,"Male",29,2502,2539,37,"44.8%","63.5%"
"=""0120011""","Bolton School District",6,"Female",35,2581,2605,23,"57.1%","71.2%"
"=""0120011""","Bolton School District",6,"Male",26,2544,2586,42,"53.8%","69.8%"
"=""0120011""","Bolton School District",7,"Female",24,2560,2590,30,"41.7%","63.0%"
"=""0120011""","Bolton School District",7,"Male",36,2557,2605,48,"61.1%","81.9%"
"=""0120011""","Bolton School District",8,"Female",23,2589,2638,49,"65.2%","78.6%"
"=""0120011""","Bolton School District",8,"Male",26,2550,2591,41,"46.2%","66.1%"
"=""0130011""","Bozrah School District",4,"Female",15,"*","*","*","*","*"
"=""0130011""","Bozrah School District",4,"Male",6,"*","*","*","*","*"
"=""0130011""","Bozrah School District",5,"Female",15,"*","*","*","*","*"
"=""0130011""","Bozrah School District",5,"Male",14,"*","*","*","*","*"
"=""0130011""","Bozrah School District",6,"Female",10,"*","*","*","*","*"
"=""0130011""","Bozrah School District",6,"Male",11,"*","*","*","*","*"
"=""0130011""","Bozrah School District",7,"Female",7,"*","*","*","*","*"
"=""0130011""","Bozrah School District",7,"Male",9,"*","*","*","*","*"
"=""0130011""","Bozrah School District",8,"Female",9,"*","*","*","*","*"
"=""0130011""","Bozrah School District",8,"Male",11,"*","*","*","*","*"
"=""0140011""","Branford School District",4,"Female",94,2460,2515,55,"58.5%","79.1%"
"=""0140011""","Branford School District",4,"Male",111,2441,2498,58,"53.2%","75.8%"
"=""0140011""","Branford School District",5,"Female",107,2511,2554,43,"40.2%","64.9%"
"=""0140011""","Branford School District",5,"Male",107,2488,2535,47,"45.8%","69.4%"
"=""0140011""","Branford School District",6,"Female",106,2525,2548,23,"39.6%","55.7%"
"=""0140011""","Branford School District",6,"Male",98,2499,2522,23,"38.8%","53.2%"
"=""0140011""","Branford School District",7,"Female",98,2571,2607,36,"56.1%","70.2%"
"=""0140011""","Branford School District",7,"Male",104,2527,2568,42,"42.3%","64.0%"
"=""0140011""","Branford School District",8,"Female",118,2591,2607,16,"37.3%","53.5%"
"=""0140011""","Branford School District",8,"Male",104,2561,2567,6,"28.8%","45.2%"
