"Smarter Balanced Growth Report, 2015-16"
"State of Connecticut, ELL"

"",,,,,"Average Vertical Scale Score (VSS)",,,"",
"District Code","District","Grade","English Learner Status (EL)","Number ofMatched Students","2014-15","2015-16","Gain","Growth Rate","Average Percentageof Target Achieved"
"=""0000000""","State of Connecticut",4,"ELL",2569,2353,2407,54,"37.9%","69.9%"
"=""0000000""","State of Connecticut",4,"Non-ELL",33912,2434,2485,51,"44.1%","73.6%"
"=""0000000""","State of Connecticut",5,"ELL",2308,2386,2417,30,"38.5%","60.4%"
"=""0000000""","State of Connecticut",5,"Non-ELL",34802,2476,2509,33,"44.2%","66.3%"
"=""0000000""","State of Connecticut",6,"ELL",1757,2393,2405,12,"31.8%","48.6%"
"=""0000000""","State of Connecticut",6,"Non-ELL",35277,2499,2529,30,"44.0%","63.7%"
"=""0000000""","State of Connecticut",7,"ELL",1697,2387,2415,28,"39.2%","57.1%"
"=""0000000""","State of Connecticut",7,"Non-ELL",36346,2520,2546,26,"44.3%","63.1%"
"=""0000000""","State of Connecticut",8,"ELL",1444,2392,2419,27,"39.5%","55.6%"
"=""0000000""","State of Connecticut",8,"Non-ELL",35752,2537,2560,22,"44.5%","60.1%"

