"Smarter Balanced Growth Report, 2015-16"
"All Districts, Gender"

"",,,,,,,"Average Vertical Scale Score (VSS)",,,"",
"District Code","District","School Code","School","Grade","Gender","Number ofMatched Students","2014-15","2015-16","Gain","Growth Rate","Average Percentageof Target Achieved"
"=""2880013""","Achievement First Hartford Academy Inc. District","=""2880113""","Achievement First Hartford Academy Inc.",4,"Female",39,2419,2476,57,"43.6%","84.9%"
"=""2880013""","Achievement First Hartford Academy Inc. District","=""2880113""","Achievement First Hartford Academy Inc.",4,"Male",46,2433,2489,55,"45.7%","73.1%"
"=""2880013""","Achievement First Hartford Academy Inc. District","=""2880113""","Achievement First Hartford Academy Inc.",5,"Female",73,2436,2464,28,"34.2%","54.0%"
"=""2880013""","Achievement First Hartford Academy Inc. District","=""2880113""","Achievement First Hartford Academy Inc.",5,"Male",57,2434,2449,16,"35.1%","49.1%"
"=""2880013""","Achievement First Hartford Academy Inc. District","=""2880113""","Achievement First Hartford Academy Inc.",6,"Female",60,2433,2481,48,"55.0%","77.5%"
"=""2880013""","Achievement First Hartford Academy Inc. District","=""2880113""","Achievement First Hartford Academy Inc.",6,"Male",70,2426,2474,47,"52.9%","75.0%"
"=""2880013""","Achievement First Hartford Academy Inc. District","=""2880113""","Achievement First Hartford Academy Inc.",7,"Female",32,2470,2484,14,"18.8%","44.8%"
"=""2880013""","Achievement First Hartford Academy Inc. District","=""2880113""","Achievement First Hartford Academy Inc.",7,"Male",23,2444,2456,12,"34.8%","48.1%"
"=""2880013""","Achievement First Hartford Academy Inc. District","=""2880113""","Achievement First Hartford Academy Inc.",8,"Female",29,2498,2535,37,"48.3%","66.9%"
"=""2880013""","Achievement First Hartford Academy Inc. District","=""2880113""","Achievement First Hartford Academy Inc.",8,"Male",33,2502,2542,40,"57.6%","68.2%"
"=""2790013""","Amistad Academy District","=""2795113""","Amistad Academy",4,"Female",39,2427,2499,72,"69.2%","92.2%"
"=""2790013""","Amistad Academy District","=""2795113""","Amistad Academy",4,"Male",45,2444,2500,57,"51.1%","83.3%"
"=""2790013""","Amistad Academy District","=""2795113""","Amistad Academy",5,"Female",44,2478,2508,30,"38.6%","61.0%"
"=""2790013""","Amistad Academy District","=""2795113""","Amistad Academy",5,"Male",41,2471,2494,23,"34.1%","59.3%"
"=""2790013""","Amistad Academy District","=""2795113""","Amistad Academy",6,"Female",38,2473,2557,83,"81.6%","96.9%"
"=""2790013""","Amistad Academy District","=""2795113""","Amistad Academy",6,"Male",44,2446,2514,68,"68.2%","84.4%"
"=""2790013""","Amistad Academy District","=""2795113""","Amistad Academy",7,"Female",44,2517,2540,23,"31.8%","54.2%"
"=""2790013""","Amistad Academy District","=""2795113""","Amistad Academy",7,"Male",41,2505,2539,34,"46.3%","67.1%"
"=""2790013""","Amistad Academy District","=""2795113""","Amistad Academy",8,"Female",37,2504,2570,66,"75.7%","87.7%"
"=""2790013""","Amistad Academy District","=""2795113""","Amistad Academy",8,"Male",38,2509,2563,54,"63.2%","79.2%"
