"Smarter Balanced Assessments, 2014-15"
"All Districts, ELA, All Grades, Free/Reduced Price Meal Eligibility (3-level)"

"",,,,,,,,,,"Level 1Not Met",,"Level 2Approaching",,"Level 3Met",,"Level 4Exceeded",,"Level 3&4Met or Exceeded",,""
"District","District Code","School","School Code","Grade","Free/Reduced Price Meal Eligibility (3-level)","Total Numberof Students","Total NumberTested","Smarter BalancedParticipationRate","Total Number with Scored Tests","Level 1 Not Met  Count","%","Level 2 Approaching  Count","%","Level 3 Met  Count","%","Level 4 Exceeded  Count","%","Level 3&4 Met or Exceeded Count","%","AverageVSS"
"Achievement First Hartford Academy Inc. District","=""2880013""","Achievement First Hartford Academy Inc.","=""2880113""",03,"F",79,79,100.0,79,25,31.6,18,22.8,21,26.6,15,19.0,36,45.6,2419
"Achievement First Hartford Academy Inc. District","=""2880013""","Achievement First Hartford Academy Inc.","=""2880113""",04,"F",80,80,100.0,80,26,32.5,17,21.3,24,30.0,13,16.3,37,46.3,2458
"Achievement First Hartford Academy Inc. District","=""2880013""","Achievement First Hartford Academy Inc.","=""2880113""",05,"F",146,146,100.0,146,61,41.8,30,20.5,46,31.5,9,6.2,55,37.7,2465
"Achievement First Hartford Academy Inc. District","=""2880013""","Achievement First Hartford Academy Inc.","=""2880113""",06,"F",79,79,100.0,79,24,30.4,28,35.4,20,25.3,7,8.9,27,34.2,2492
"Achievement First Hartford Academy Inc. District","=""2880013""","Achievement First Hartford Academy Inc.","=""2880113""",07,"F",77,74,96.1,74,22,29.7,20,27.0,25,33.8,7,9.5,32,43.2,2527
"Achievement First Hartford Academy Inc. District","=""2880013""","Achievement First Hartford Academy Inc.","=""2880113""",08,"F",59,59,100.0,58,"*","*",19,32.8,18,31.0,"*","*","*","*",2525
"Achievement First Hartford Academy Inc. District","=""2880013""","Achievement First Hartford Academy Inc.","=""2880113""",11,"F",31,31,100.0,31,"*","*","*","*",12,38.7,8,25.8,20,64.5,2622
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""",03,"F",71,70,98.6,70,17,24.3,23,32.9,12,17.1,18,25.7,30,42.9,2426
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""",03,"N",7,7,"*",7,"*","*","*","*","*","*","*","*","*","*","*"
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""",03,"R",11,11,"*",11,"*","*","*","*","*","*","*","*","*","*","*"
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""",04,"F",57,57,100.0,57,17,29.8,10,17.5,14,24.6,16,28.1,30,52.6,2474
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""",04,"N",11,11,"*",11,"*","*","*","*","*","*","*","*","*","*","*"
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""",04,"R",8,8,"*",8,"*","*","*","*","*","*","*","*","*","*","*"
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""",05,"F",58,57,98.3,57,19,33.3,18,31.6,"*","*","*","*",20,35.1,2473
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""",05,"N","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""",05,"R","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""",06,"F",60,60,100.0,60,14,23.3,13,21.7,25,41.7,8,13.3,33,55.0,2521
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""",06,"N",28,28,100.0,28,"*","*","*","*","*","*","*","*","*","*",2524
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""",06,"R",11,11,"*",11,"*","*","*","*","*","*","*","*","*","*","*"
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""",07,"F",43,43,100.0,43,7,16.3,14,32.6,16,37.2,6,14.0,22,51.2,2548
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""",07,"N",26,26,100.0,26,"*","*","*","*","*","*","*","*","*","*",2551
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""",07,"R",9,9,"*",9,"*","*","*","*","*","*","*","*","*","*","*"
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""",08,"F",39,39,100.0,39,9,23.1,"*","*",16,41.0,"*","*","*","*",2563
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""",08,"N",29,29,100.0,29,"*","*",11,37.9,"*","*",7,24.1,"*","*",2595
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""",08,"R",11,11,"*",11,"*","*","*","*","*","*","*","*","*","*","*"
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""",11,"F",20,19,95.0,19,"*","*","*","*","*","*","*","*","*","*","*"
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""",11,"N",6,6,"*",6,"*","*","*","*","*","*","*","*","*","*","*"
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""",11,"R",7,7,"*",7,"*","*","*","*","*","*","*","*","*","*","*"
"Andover School District","=""0010011""","Andover Elementary School","=""0010111""",03,"F",6,6,"*",6,"*","*","*","*","*","*","*","*","*","*","*"
"Andover School District","=""0010011""","Andover Elementary School","=""0010111""",03,"N",29,29,100.0,29,"*","*","*","*","*","*","*","*","*","*",2495
"Andover School District","=""0010011""","Andover Elementary School","=""0010111""",04,"F","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Andover School District","=""0010011""","Andover Elementary School","=""0010111""",04,"N","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Andover School District","=""0010011""","Andover Elementary School","=""0010111""",05,"F","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Andover School District","=""0010011""","Andover Elementary School","=""0010111""",05,"N",41,39,95.1,39,"*","*","*","*",12,30.8,22,56.4,34,87.2,2589
"Andover School District","=""0010011""","Andover Elementary School","=""0010111""",05,"R","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Andover School District","=""0010011""","Andover Elementary School","=""0010111""",06,"F","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Andover School District","=""0010011""","Andover Elementary School","=""0010111""",06,"N",35,34,97.1,34,0,0.0,7,20.6,12,35.3,15,44.1,27,79.4,2598
"Andover School District","=""0010011""","Andover Elementary School","=""0010111""",06,"R","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Ansonia School District","=""0020011""","Ansonia High School","=""0026111""",11,"F",51,48,94.1,48,"*","*",17,35.4,19,39.6,"*","*","*","*",2586
"Ansonia School District","=""0020011""","Ansonia High School","=""0026111""",11,"N",50,45,90.0,45,"*","*","*","*","*","*",17,37.8,"*","*",2637
"Ansonia School District","=""0020011""","Ansonia High School","=""0026111""",11,"R",11,11,"*",11,"*","*","*","*","*","*","*","*","*","*","*"
"Ansonia School District","=""0020011""","Ansonia Middle School","=""0025111""",07,"F",112,108,96.4,108,41,38.0,37,34.3,"*","*","*","*",30,27.8,2505
"Ansonia School District","=""0020011""","Ansonia Middle School","=""0025111""",07,"N",49,49,100.0,49,"*","*",17,34.7,19,38.8,"*","*","*","*",2551
"Ansonia School District","=""0020011""","Ansonia Middle School","=""0025111""",07,"R",24,24,100.0,24,"*","*",9,37.5,8,33.3,"*","*","*","*",2532
"Ansonia School District","=""0020011""","Ansonia Middle School","=""0025111""",08,"F",117,114,97.4,114,56,49.1,35,30.7,"*","*","*","*",23,20.2,2501
"Ansonia School District","=""0020011""","Ansonia Middle School","=""0025111""",08,"N",64,63,98.4,63,"*","*",15,23.8,20,31.7,"*","*","*","*",2551
"Ansonia School District","=""0020011""","Ansonia Middle School","=""0025111""",08,"R",28,28,100.0,28,"*","*",8,28.6,13,46.4,"*","*","*","*",2582
"Ansonia School District","=""0020011""","Mead School","=""0020311""",03,"F",52,52,100.0,52,17,32.7,22,42.3,"*","*","*","*","*","*",2396
"Ansonia School District","=""0020011""","Mead School","=""0020311""",03,"N","*","*","*","*","*","*","*","*",7,21.9,10,31.3,17,53.1,"*"
"Ansonia School District","=""0020011""","Mead School","=""0020311""",03,"R","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Ansonia School District","=""0020011""","Mead School","=""0020311""",04,"F",57,57,100.0,57,25,43.9,15,26.3,"*","*","*","*",17,29.8,2434
"Ansonia School District","=""0020011""","Mead School","=""0020311""",04,"N",32,32,100.0,32,"*","*","*","*","*","*","*","*","*","*",2446
"Ansonia School District","=""0020011""","Mead School","=""0020311""",04,"R",6,6,"*",6,"*","*","*","*","*","*","*","*","*","*","*"
"Ansonia School District","=""0020011""","Mead School","=""0020311""",05,"F",49,49,100.0,49,19,38.8,17,34.7,"*","*","*","*","*","*",2450
"Ansonia School District","=""0020011""","Mead School","=""0020311""",05,"N",29,29,100.0,29,"*","*","*","*","*","*","*","*","*","*",2501
"Ansonia School District","=""0020011""","Mead School","=""0020311""",05,"R",11,11,"*",11,"*","*","*","*","*","*","*","*","*","*","*"
"Ansonia School District","=""0020011""","Mead School","=""0020311""",06,"F",52,52,100.0,52,22,42.3,18,34.6,"*","*","*","*",12,23.1,2465
"Ansonia School District","=""0020011""","Mead School","=""0020311""",06,"N",26,26,100.0,26,"*","*","*","*","*","*","*","*","*","*",2485
"Ansonia School District","=""0020011""","Mead School","=""0020311""",06,"R",10,10,"*",10,"*","*","*","*","*","*","*","*","*","*","*"
"Ansonia School District","=""0020011""","P.A.C.E. (Positive And Creative Education)","=""0020111""",11,"F","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Ansonia School District","=""0020011""","P.A.C.E. (Positive And Creative Education)","=""0020111""",11,"N","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Ansonia School District","=""0020011""","Prendergast School","=""0020811""",03,"F",51,51,100.0,51,18,35.3,16,31.4,"*","*","*","*","*","*",2397
"Ansonia School District","=""0020011""","Prendergast School","=""0020811""",03,"N",28,28,100.0,28,"*","*","*","*","*","*",9,32.1,"*","*",2455
"Ansonia School District","=""0020011""","Prendergast School","=""0020811""",03,"R",8,8,"*",8,"*","*","*","*","*","*","*","*","*","*","*"
"Ansonia School District","=""0020011""","Prendergast School","=""0020811""",04,"F",40,40,100.0,40,20,50.0,9,22.5,"*","*","*","*","*","*",2428
"Ansonia School District","=""0020011""","Prendergast School","=""0020811""",04,"N",37,35,94.6,35,"*","*","*","*",7,20.0,13,37.1,20,57.1,2474
"Ansonia School District","=""0020011""","Prendergast School","=""0020811""",04,"R",16,16,"*",16,"*","*","*","*","*","*","*","*","*","*","*"
"Ansonia School District","=""0020011""","Prendergast School","=""0020811""",05,"F",50,50,100.0,50,18,36.0,18,36.0,"*","*","*","*",14,28.0,2462
"Ansonia School District","=""0020011""","Prendergast School","=""0020811""",05,"N",24,23,95.8,23,"*","*","*","*","*","*","*","*","*","*",2501
"Ansonia School District","=""0020011""","Prendergast School","=""0020811""",05,"R",11,11,"*",11,"*","*","*","*","*","*","*","*","*","*","*"
"Ansonia School District","=""0020011""","Prendergast School","=""0020811""",06,"F",46,46,100.0,46,16,34.8,21,45.7,"*","*","*","*","*","*",2480
"Ansonia School District","=""0020011""","Prendergast School","=""0020811""",06,"N",29,29,100.0,29,"*","*","*","*",9,31.0,"*","*","*","*",2496
"Ansonia School District","=""0020011""","Prendergast School","=""0020811""",06,"R",9,9,"*",9,"*","*","*","*","*","*","*","*","*","*","*"
"Area Cooperative Educational Services","=""2440014""","Center for Autism Spectrum and Development Disorders","=""2449614""",07,"F","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Area Cooperative Educational Services","=""2440014""","Mill Road School","=""2449414""",03,"F",18,18,"*",18,"*","*","*","*","*","*","*","*","*","*","*"
"Area Cooperative Educational Services","=""2440014""","Mill Road School","=""2449414""",03,"N","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Area Cooperative Educational Services","=""2440014""","Mill Road School","=""2449414""",03,"R","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Area Cooperative Educational Services","=""2440014""","Mill Road School","=""2449414""",04,"F",18,16,"*",16,"*","*","*","*","*","*","*","*","*","*","*"
"Area Cooperative Educational Services","=""2440014""","Mill Road School","=""2449414""",04,"N","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Area Cooperative Educational Services","=""2440014""","Mill Road School","=""2449414""",04,"R","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Area Cooperative Educational Services","=""2440014""","Mill Road School","=""2449414""",05,"F",16,16,"*",15,"*","*","*","*","*","*","*","*","*","*","*"
"Area Cooperative Educational Services","=""2440014""","Mill Road School","=""2449414""",05,"N","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Area Cooperative Educational Services","=""2440014""","Mill Road School","=""2449414""",05,"R","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Area Cooperative Educational Services","=""2440014""","Mill Road School","=""2449414""",06,"F",18,15,"*",14,"*","*","*","*","*","*","*","*","*","*","*"
"Area Cooperative Educational Services","=""2440014""","Mill Road School","=""2449414""",06,"N","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Area Cooperative Educational Services","=""2440014""","Mill Road School","=""2449414""",06,"R","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Area Cooperative Educational Services","=""2440014""","Mill Road School","=""2449414""",07,"F",20,18,90.0,17,"*","*","*","*","*","*","*","*","*","*","*"
"Area Cooperative Educational Services","=""2440014""","Mill Road School","=""2449414""",07,"N","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Area Cooperative Educational Services","=""2440014""","Mill Road School","=""2449414""",07,"R","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Area Cooperative Educational Services","=""2440014""","Mill Road School","=""2449414""",08,"F",15,13,"*",10,"*","*","*","*","*","*","*","*","*","*","*"
"Area Cooperative Educational Services","=""2440014""","Mill Road School","=""2449414""",08,"N","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Area Cooperative Educational Services","=""2440014""","Mill Road School","=""2449414""",08,"R","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Area Cooperative Educational Services","=""2440014""","Thomas Edison Magnet Middle School","=""2445114""",06,"F",126,126,100.0,126,41,32.5,46,36.5,"*","*","*","*",39,31.0,2488
"Area Cooperative Educational Services","=""2440014""","Thomas Edison Magnet Middle School","=""2445114""",06,"N",98,98,100.0,98,13,13.3,"*","*",37,37.8,"*","*","*","*",2531
"Area Cooperative Educational Services","=""2440014""","Thomas Edison Magnet Middle School","=""2445114""",06,"R",22,22,100.0,22,"*","*","*","*",10,45.5,0,0.0,10,45.5,2499
"Area Cooperative Educational Services","=""2440014""","Thomas Edison Magnet Middle School","=""2445114""",07,"F",113,112,99.1,112,47,42.0,36,32.1,"*","*","*","*",29,25.9,2495
"Area Cooperative Educational Services","=""2440014""","Thomas Edison Magnet Middle School","=""2445114""",07,"N",99,99,100.0,98,"*","*",28,28.6,40,40.8,"*","*","*","*",2553
"Area Cooperative Educational Services","=""2440014""","Thomas Edison Magnet Middle School","=""2445114""",07,"R",21,21,100.0,21,"*","*",8,38.1,7,33.3,"*","*","*","*",2536
"Area Cooperative Educational Services","=""2440014""","Thomas Edison Magnet Middle School","=""2445114""",08,"F",99,99,100.0,98,35,35.7,37,37.8,"*","*","*","*","*","*",2517
"Area Cooperative Educational Services","=""2440014""","Thomas Edison Magnet Middle School","=""2445114""",08,"N",110,110,100.0,110,"*","*","*","*",47,42.7,23,20.9,70,63.6,2586
"Area Cooperative Educational Services","=""2440014""","Thomas Edison Magnet Middle School","=""2445114""",08,"R",18,18,"*",18,"*","*","*","*","*","*","*","*","*","*","*"
"Area Cooperative Educational Services","=""2440014""","Village School","=""2449514""",03,"N","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Area Cooperative Educational Services","=""2440014""","Whitney High School East","=""2449214""",11,"F","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Area Cooperative Educational Services","=""2440014""","Whitney High School East","=""2449214""",11,"N","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Area Cooperative Educational Services","=""2440014""","Whitney High School North","=""2449114""",11,"F",13,10,"*",10,"*","*","*","*","*","*","*","*","*","*","*"
"Area Cooperative Educational Services","=""2440014""","Whitney High School North","=""2449114""",11,"N","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Area Cooperative Educational Services","=""2440014""","Whitney High School North","=""2449114""",11,"R","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Area Cooperative Educational Services","=""2440014""","Wintergreen Interdistrict  Magnet School","=""2440314""",03,"F",31,31,100.0,31,14,45.2,"*","*","*","*","*","*","*","*",2381
"Area Cooperative Educational Services","=""2440014""","Wintergreen Interdistrict  Magnet School","=""2440314""",03,"N",36,35,97.2,35,"*","*",11,31.4,"*","*",8,22.9,"*","*",2419
"Area Cooperative Educational Services","=""2440014""","Wintergreen Interdistrict  Magnet School","=""2440314""",03,"R",7,7,"*",7,"*","*","*","*","*","*","*","*","*","*","*"
"Area Cooperative Educational Services","=""2440014""","Wintergreen Interdistrict  Magnet School","=""2440314""",04,"F",31,31,100.0,31,17,54.8,"*","*","*","*","*","*","*","*",2418
"Area Cooperative Educational Services","=""2440014""","Wintergreen Interdistrict  Magnet School","=""2440314""",04,"N",35,34,97.1,34,"*","*",13,38.2,7,20.6,"*","*","*","*",2446
"Area Cooperative Educational Services","=""2440014""","Wintergreen Interdistrict  Magnet School","=""2440314""",04,"R",8,8,"*",8,"*","*","*","*","*","*","*","*","*","*","*"
"Area Cooperative Educational Services","=""2440014""","Wintergreen Interdistrict  Magnet School","=""2440314""",05,"F",26,26,100.0,26,9,34.6,9,34.6,"*","*","*","*","*","*",2469
"Area Cooperative Educational Services","=""2440014""","Wintergreen Interdistrict  Magnet School","=""2440314""",05,"N",38,38,100.0,38,"*","*","*","*",17,44.7,9,23.7,26,68.4,2524
"Area Cooperative Educational Services","=""2440014""","Wintergreen Interdistrict  Magnet School","=""2440314""",05,"R",10,10,"*",10,"*","*","*","*","*","*","*","*","*","*","*"
"Area Cooperative Educational Services","=""2440014""","Wintergreen Interdistrict  Magnet School","=""2440314""",06,"F",28,28,100.0,28,8,28.6,"*","*","*","*","*","*","*","*",2496
"Area Cooperative Educational Services","=""2440014""","Wintergreen Interdistrict  Magnet School","=""2440314""",06,"N",37,37,100.0,37,"*","*",13,35.1,14,37.8,"*","*","*","*",2553
"Area Cooperative Educational Services","=""2440014""","Wintergreen Interdistrict  Magnet School","=""2440314""",06,"R",6,6,"*",6,"*","*","*","*","*","*","*","*","*","*","*"
"Area Cooperative Educational Services","=""2440014""","Wintergreen Interdistrict  Magnet School","=""2440314""",07,"F","*","*","*","*",11,34.4,"*","*","*","*","*","*","*","*","*"
"Area Cooperative Educational Services","=""2440014""","Wintergreen Interdistrict  Magnet School","=""2440314""",07,"N",33,33,100.0,33,"*","*",8,24.2,11,33.3,"*","*","*","*",2556
"Area Cooperative Educational Services","=""2440014""","Wintergreen Interdistrict  Magnet School","=""2440314""",07,"R","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Area Cooperative Educational Services","=""2440014""","Wintergreen Interdistrict  Magnet School","=""2440314""",08,"F",19,19,"*",19,"*","*","*","*","*","*","*","*","*","*","*"
"Area Cooperative Educational Services","=""2440014""","Wintergreen Interdistrict  Magnet School","=""2440314""",08,"N",36,36,100.0,36,7,19.4,9,25.0,13,36.1,7,19.4,20,55.6,2574
"Area Cooperative Educational Services","=""2440014""","Wintergreen Interdistrict  Magnet School","=""2440314""",08,"R",8,8,"*",8,"*","*","*","*","*","*","*","*","*","*","*"
"Ashford School District","=""0030011""","Ashford School","=""0030111""",03,"F","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Ashford School District","=""0030011""","Ashford School","=""0030111""",03,"N",28,28,100.0,28,"*","*","*","*",9,32.1,16,57.1,25,89.3,2492
