"Smarter Balanced Assessments, 2015-16"
"State of Connecticut, ELA and Math, All Grades, High Needs (F/R, EL or SWD)"

"",,,,,,,,"Level 1Not Met",,"Level 2Approaching",,"Level 3Met",,"Level 4Exceeded",,"Level 3&4Met or Exceeded",,""
"District","Grade","Subject","High Needs (F, R, ELL or SWD)","Total Numberof Students","Total NumberTested","Smarter BalancedParticipationRate","Total Number with Scored Tests","Level 1 Not Met  Count","%","Level 2 Approaching  Count","%","Level 3 Met  Count","%","Level 4 Exceeded  Count","%","Level 3&4 Met or Exceeded Count","%","AverageVSS"
"State of Connecticut",03,"ELA","N",19985,19797,99.1,19793,1327,6.7,3448,17.4,5396,27.3,9622,48.6,15018,75.9,2483
"State of Connecticut",03,"ELA","Y",19322,19158,99.2,19145,7557,39.5,5602,29.3,3676,19.2,2310,12.1,5986,31.3,2392
"State of Connecticut",03,"Math","N",19983,19782,99.0,19777,1341,6.8,3643,18.4,7450,37.7,7343,37.1,14793,74.8,2478
"State of Connecticut",03,"Math","Y",19313,19102,98.9,19090,7806,40.9,5559,29.1,4232,22.2,1493,7.8,5725,30.0,2397
"State of Connecticut",04,"ELA","N",19939,19749,99.0,19744,1601,8.1,2753,13.9,5336,27.0,10054,50.9,15390,77.9,2529
"State of Connecticut",04,"ELA","Y",18911,18715,99.0,18704,8639,46.2,4101,21.9,3641,19.5,2323,12.4,5964,31.9,2428
"State of Connecticut",04,"Math","N",19935,19732,99.0,19727,950,4.8,4842,24.5,7315,37.1,6620,33.6,13935,70.6,2520
"State of Connecticut",04,"Math","Y",18907,18670,98.7,18657,7288,39.1,6903,37.0,3261,17.5,1205,6.5,4466,23.9,2433
"State of Connecticut",05,"ELA","N",20888,20694,99.1,20690,1337,6.5,2785,13.5,7358,35.6,9210,44.5,16568,80.1,2565
"State of Connecticut",05,"ELA","Y",18505,18333,99.1,18317,7630,41.7,4355,23.8,4527,24.7,1805,9.9,6332,34.6,2463
"State of Connecticut",05,"Math","N",20888,20675,99.0,20673,2143,10.4,5742,27.8,5655,27.4,7133,34.5,12788,61.9,2547
"State of Connecticut",05,"Math","Y",18493,18276,98.8,18265,9926,54.3,5221,28.6,2048,11.2,1070,5.9,3118,17.1,2450
"State of Connecticut",06,"ELA","N",21490,21238,98.8,21232,1361,6.4,3854,18.2,8588,40.4,7429,35.0,16017,75.4,2582
"State of Connecticut",06,"ELA","Y",18092,17843,98.6,17834,7187,40.3,5174,29.0,4272,24.0,1201,6.7,5473,30.7,2481
"State of Connecticut",06,"Math","N",21488,21201,98.7,21197,2097,9.9,6233,29.4,6113,28.8,6754,31.9,12867,60.7,2572
"State of Connecticut",06,"Math","Y",18085,17775,98.3,17765,9442,53.1,5389,30.3,2052,11.6,882,5.0,2934,16.5,2459
"State of Connecticut",07,"ELA","N",22444,22068,98.3,22064,1533,6.9,3974,18.0,9673,43.8,6884,31.2,16557,75.0,2605
"State of Connecticut",07,"ELA","Y",18297,18024,98.5,18011,7496,41.6,4959,27.5,4417,24.5,1139,6.3,5556,30.8,2503
"State of Connecticut",07,"Math","N",22444,22030,98.2,22026,2264,10.3,6268,28.5,6843,31.1,6651,30.2,13494,61.3,2589
"State of Connecticut",07,"Math","Y",18285,17941,98.1,17928,9362,52.2,5350,29.8,2335,13.0,881,4.9,3216,17.9,2475
"State of Connecticut",08,"ELA","N",22267,21843,98.1,21837,1418,6.5,4108,18.8,10076,46.1,6235,28.6,16311,74.7,2619
"State of Connecticut",08,"ELA","Y",17880,17526,98.0,17513,6820,38.9,5184,29.6,4572,26.1,937,5.4,5509,31.5,2518
"State of Connecticut",08,"Math","N",22263,21775,97.8,21771,3324,15.3,5484,25.2,5766,26.5,7197,33.1,12963,59.5,2606
"State of Connecticut",08,"Math","Y",17876,17425,97.5,17408,10313,59.2,4259,24.5,1865,10.7,971,5.6,2836,16.3,2483

