"Smarter Balanced Assessments, 2015-16"
"All Districts, Math, All Grades Combined, All Students"

"",,,,,,,,"Level 1Not Met",,"Level 2Approaching",,"Level 3Met",,"Level 4Exceeded",,"Level 3&4Met or Exceeded",
"District","District Code","School","School Code","Total Numberof Students","Total NumberTested","Smarter BalancedParticipationRate","Total Number with Scored Tests","Level 1 Not Met  Count","%","Level 2 Approaching  Count","%","Level 3 Met  Count","%","Level 4 Exceeded  Count","%","Level 3&4 Met or Exceeded Count","%"
"Achievement First Hartford Academy Inc. District","=""2880013""","Achievement First Hartford Academy Inc.","=""2880113""",592,586,99.0,585,222,37.9,189,32.3,97,16.6,77,13.2,174,29.7
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""",538,533,99.1,533,119,22.3,161,30.2,139,26.1,114,21.4,253,47.5
"Andover School District","=""0010011""","Andover Elementary School","=""0010111""",159,156,98.1,156,8,5.1,35,22.4,54,34.6,59,37.8,113,72.4
"Ansonia School District","=""0020011""","Ansonia Middle School","=""0025111""",353,343,97.2,342,160,46.8,121,35.4,37,10.8,24,7.0,61,17.8
"Ansonia School District","=""0020011""","Mead School","=""0020311""",346,346,100.0,346,141,40.8,123,35.5,58,16.8,24,6.9,82,23.7
"Ansonia School District","=""0020011""","Prendergast School","=""0020811""",351,343,97.7,343,114,33.2,122,35.6,80,23.3,27,7.9,107,31.2
"Area Cooperative Educational Services","=""2440014""","Center for Autism Spectrum and Development Disorders","=""2449614""","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Area Cooperative Educational Services","=""2440014""","Mill Road School","=""2449414""",145,133,91.7,133,125,94.0,"*","*","*","*",0,0.0,"*","*"
"Area Cooperative Educational Services","=""2440014""","Thomas Edison Magnet Middle School","=""2445114""",724,724,100.0,724,321,44.3,219,30.2,123,17.0,61,8.4,184,25.4
"Area Cooperative Educational Services","=""2440014""","Village School","=""2449514""","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Area Cooperative Educational Services","=""2440014""","Wintergreen Interdistrict  Magnet School","=""2440314""",413,411,99.5,411,192,46.7,136,33.1,62,15.1,21,5.1,83,20.2
"Ashford School District","=""0030011""","Ashford School","=""0030111""",231,231,100.0,231,48,20.8,70,30.3,73,31.6,40,17.3,113,48.9
"Avon School District","=""0040011""","Avon Middle School","=""0045111""",542,539,99.4,539,35,6.5,73,13.5,128,23.7,303,56.2,431,80.0
"Avon School District","=""0040011""","Pine Grove School","=""0040411""",243,243,100.0,243,14,5.8,55,22.6,76,31.3,98,40.3,174,71.6
"Avon School District","=""0040011""","Roaring Brook School","=""0040311""",213,211,99.1,211,12,5.7,25,11.8,76,36.0,98,46.4,174,82.5
"Avon School District","=""0040011""","Thompson Brook School","=""0040511""",550,548,99.6,548,54,9.9,113,20.6,160,29.2,221,40.3,381,69.5
"Barkhamsted School District","=""0050011""","Barkhamsted Elementary School","=""0050111""","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Barkhamsted School District","=""0050011""","Bridges at Barkhamsted Elementary School","=""0050211""","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Berlin School District","=""0070011""","Catherine M. McGee Middle School","=""0075111""",675,674,99.9,673,148,22.0,213,31.6,166,24.7,146,21.7,312,46.4
"Berlin School District","=""0070011""","Emma Hart Willard School","=""0070411""",227,226,99.6,226,21,9.3,66,29.2,67,29.6,72,31.9,139,61.5
"Berlin School District","=""0070011""","Mary E. Griswold School","=""0070511""",284,281,98.9,280,40,14.3,76,27.1,94,33.6,70,25.0,164,58.6
"Berlin School District","=""0070011""","Richard D. Hubbard School","=""0070111""",130,128,98.5,128,15,11.7,30,23.4,50,39.1,33,25.8,83,64.8
"Bethany School District","=""0080011""","Bethany Community School","=""0080111""",232,224,96.6,224,24,10.7,58,25.9,67,29.9,75,33.5,142,63.4
"Bethel School District","=""0090011""","Anna H. Rockwell School","=""0090411""",126,125,99.2,125,11,8.8,30,24.0,47,37.6,37,29.6,84,67.2
"Bethel School District","=""0090011""","Bethel Middle School","=""0095111""",650,647,99.5,647,119,18.4,200,30.9,180,27.8,148,22.9,328,50.7
"Bethel School District","=""0090011""","Frank A. Berry School","=""0090111""",127,126,99.2,126,11,8.7,25,19.8,45,35.7,45,35.7,90,71.4
"Bethel School District","=""0090011""","Ralph M. T. Johnson School","=""0090511""",423,419,99.1,419,43,10.3,147,35.1,119,28.4,110,26.3,229,54.7
"Bloomfield School District","=""0110011""","Carmen Arace Intermediate School","=""0110711""",222,222,100.0,222,76,34.2,82,36.9,42,18.9,22,9.9,64,28.8
"Bloomfield School District","=""0110011""","Carmen Arace Middle School","=""0115211""",201,201,100.0,201,85,42.3,71,35.3,35,17.4,10,5.0,45,22.4
"Bloomfield School District","=""0110011""","Global Experience Magnet School","=""0116311""",87,84,96.6,84,41,48.8,28,33.3,"*","*","*","*",15,17.9
"Bloomfield School District","=""0110011""","Metacomet School","=""0110511""",254,253,99.6,253,84,33.2,97,38.3,53,20.9,19,7.5,72,28.5
"Bolton School District","=""0120011""","Bolton Center School","=""0120111""",354,345,97.5,345,42,12.2,77,22.3,109,31.6,117,33.9,226,65.5
"Bozrah School District","=""0130011""","Fields Memorial School","=""0130111""",134,133,99.3,132,31,23.5,53,40.2,35,26.5,13,9.8,48,36.4
"Branford School District","=""0140011""","Francis Walsh Intermediate School","=""0145111""",894,879,98.3,878,213,24.3,251,28.6,208,23.7,206,23.5,414,47.2
"Branford School District","=""0140011""","John B. Sliney School","=""0141611""",141,140,99.3,140,16,11.4,28,20.0,57,40.7,39,27.9,96,68.6
"Branford School District","=""0140011""","Mary R. Tisko School","=""0141511""",150,150,100.0,146,13,8.9,30,20.5,50,34.2,53,36.3,103,70.5
"Branford School District","=""0140011""","Mary T. Murphy School","=""0141411""",166,166,100.0,166,32,19.3,39,23.5,51,30.7,44,26.5,95,57.2
"Brass City Charter School District","=""2900013""","Brass City Charter School","=""2900113""",39,39,100.0,39,"*","*","*","*",15,38.5,17,43.6,32,82.1
"Bridgeport Achievement First District","=""2850013""","Achievement First Bridgeport Academy","=""2850113""",541,540,99.8,540,167,30.9,146,27.0,102,18.9,125,23.1,227,42.0
"Bridgeport School District","=""0150011""","Barnum School","=""0150111""",312,311,99.7,311,232,74.6,62,19.9,17,5.5,0,0.0,17,5.5
"Bridgeport School District","=""0150011""","Beardsley School","=""0150211""",174,174,100.0,174,116,66.7,43,24.7,15,8.6,0,0.0,15,8.6
"Bridgeport School District","=""0150011""","Black Rock School","=""0150311""",253,253,100.0,253,129,51.0,86,34.0,30,11.9,8,3.2,38,15.0
"Bridgeport School District","=""0150011""","Blackham School","=""0154011""",769,764,99.3,764,533,69.8,193,25.3,"*","*","*","*",38,5.0
"Bridgeport School District","=""0150011""","Bridgeport Learning Center","=""0159011""",41,39,95.1,39,"*","*","*","*",0,0.0,0,0.0,0,0.0
"Bridgeport School District","=""0150011""","Bryant School","=""0150411""",192,192,100.0,192,129,67.2,49,25.5,"*","*","*","*",14,7.3
"Bridgeport School District","=""0150011""","Cesar Batalla School","=""0151411""",800,799,99.9,799,643,80.5,124,15.5,"*","*","*","*",32,4.0
"Bridgeport School District","=""0150011""","Classical Studies Academy","=""0152111""",237,234,98.7,234,108,46.2,83,35.5,33,14.1,10,4.3,43,18.4
"Bridgeport School District","=""0150011""","Columbus School","=""0150511""",474,473,99.8,473,351,74.2,94,19.9,22,4.7,6,1.3,28,5.9
"Bridgeport School District","=""0150011""","Cross School","=""0153911""",222,221,99.5,221,175,79.2,37,16.7,"*","*","*","*",9,4.1
"Bridgeport School District","=""0150011""","Curiale School","=""0154211""",494,492,99.6,492,394,80.1,80,16.3,"*","*","*","*",18,3.7
"Bridgeport School District","=""0150011""","Dunbar School","=""0154111""",220,220,100.0,220,178,80.9,"*","*","*","*",0,0.0,"*","*"
"Bridgeport School District","=""0150011""","Edison School","=""0150711""",149,149,100.0,149,102,68.5,40,26.8,"*","*","*","*",7,4.7
"Bridgeport School District","=""0150011""","Geraldine Johnson School","=""0153211""",475,475,100.0,475,298,62.7,135,28.4,32,6.7,10,2.1,42,8.8
