"Total Expenditures Used for Special Education, 2005-06"
"All Districts"

"","_","_","_","_","_","_","_","_","_","_","_"
"Organization","Certified Personnel","Noncertified Personnel","Employee Benefits","Purchased Services","Tuition to Other Schools","Instructional Supplies","Property Services","Transportation","Equipment","Other Expenditures","Total Expenditures"
"Andover School District",183855,99164,38563,82238,52682,6103,1566,14102,555,0,478828
="Ansonia School District",1853062,700974,449968,264825,1505543,18764,1175,377545,6423,1000,5202731
="Ashford School District",628984,336865,247306,191328,511230,11373,0,112524,7588,20,2047218
="Avon School District",2599783,1197015,1014288,247595,1248783,22911,0,454225,18821,923,6805705
="Barkhamsted School District",47704,770,16031,479569,154791,1077,0,56506,554,0,757002
="Berlin School District",3207070,1107870,692894,281986,750024,45981,0,388848,67506,282,6544067
="Bethany School District",538119,232675,110088,191082,18060,10488,0,44113,4259,240,1150163
="Bethel School District",3261442,1508938,1109404,249674,952779,34677,1036,434151,8125,928,7574543
="Bloomfield School District",1728869,781102,635180,80864,1939034,15771,0,605223,12488,0,5798531
="Bolton School District",596380,419579,319988,305201,359186,3531,4180,100796,8963,5971,2128504
="Bozrah School District",319864,79476,52538,62038,412222,1308,0,75994,125,0,1008520
="Branford School District",3001227,1088355,863573,246842,2160077,42110,0,506435,18121,5858,7937766
="Bridgeport School District",19726070,6127280,4885036,1135916,12293227,148999,271757,5727605,16097,0,50409835
="Bristol School District",7503166,2364450,1937453,404143,3178702,138461,41378,2113562,34494,2694,17722369
="Brookfield School District",2198122,1101457,643904,252084,690453,27279,0,165349,9447,535,5088630
="Brooklyn School District",656503,335762,306460,33298,1000931,10890,2500,140743,3206,1260,2491553
="Canaan School District",116848,39474,53265,16417,275,299,303,9930,248,1245,238524
="Canterbury School District",648363,242258,171978,135689,844056,19140,3382,82034,22062,484,2174378
="Canton School District",1415938,635819,376935,230383,398174,18374,0,135741,8689,1330,3231311
="Chaplin School District",243956,71220,77325,56274,0,5729,125,0,0,89,454718
="Cheshire School District",5291000,2259038,1354859,656803,1285441,87573,55685,554207,31876,3189,11680029
="Chester School District",526476,34317,142926,24483,71731,12135,78,18745,1102,788,832781
="Clinton School District",2607584,585661,522576,227028,786248,31453,0,494141,9771,410,5273279
="Colchester School District",2923826,952136,802740,167638,1505332,43397,0,651761,31243,0,7084272
="Colebrook School District",41691,3865,16437,147963,55845,103,0,17212,0,27601,310717
="Columbia School District",673493,307256,277037,114199,462687,8663,0,112322,6225,441,1962323
="Cornwall School District",123588,60528,70467,15643,275,2947,377,12369,751,1551,289034
="Coventry School District",1719445,655445,557559,187442,605789,60404,16384,323166,8008,3314,4140676
="Cromwell School District",1263185,674126,436385,8769,502794,32468,0,158055,21966,595,3102201
="Danbury School District",10061807,2915561,1842424,624942,1654463,62599,8414,1560849,45676,0,18805897
="Darien School District",4687832,2727398,1877782,654506,718464,81745,0,571872,12255,602,11332456
="Deep River School District",610206,48603,117782,19728,57063,6292,84,19960,1163,1050,888245
="Derby School District",1288249,428156,479590,171792,1241231,9527,0,173878,7740,505,3815613
="East Granby School District",723901,463244,256723,194351,212773,32300,2321,99257,4604,46,1989520
="East Haddam School District",1260840,285308,325456,276295,993770,22941,0,204880,0,215,3369705
="East Hampton School District",1881313,608816,412402,519617,1560599,19804,0,650805,19851,65,5676955
="East Hartford School District",7382248,3303140,2061512,237615,2503181,71112,0,1832477,17014,0,17408299
="East Haven School District",2959131,554508,558589,155357,3879398,20100,163114,731270,10991,3054,9038120
="East Lyme School District",2309654,2077344,669347,366281,1289829,41093,0,369363,23548,525,7146984
="East Windsor School District",1056059,433156,292051,38225,961920,5647,0,251187,837,1409,3042787
="Eastford School District",165257,104302,17648,42810,314721,3863,5051,54838,2945,286,714716
="Easton School District",977573,473242,390589,263062,170451,7666,0,208240,1968,60,2495557
="Ellington School District",2097917,743902,750434,389158,529307,27318,0,269135,4539,1581,4813291
="Enfield School District",5836347,1328169,1589442,319171,1484946,69113,1360,1045409,15810,0,11689767
="Essex School District",672819,297216,223831,57209,780,9926,10813,30387,4369,934,1313869
="Fairfield School District",12465892,2749993,4301549,2603501,1929489,100069,32538,1484429,54037,611,25754266
="Farmington School District",2702710,1291552,784192,225183,1345247,24558,0,416402,8641,2072,6816306
="Franklin School District",268483,34484,47145,28811,253240,6630,0,70362,0,0,709155
="Glastonbury School District",5596764,2317285,939262,415674,3553925,68430,122525,103046,16683,0,13133800
="Granby School District",1579764,985632,426047,175670,474338,52805,5223,229257,8266,4052,3946266
="Greenwich School District",14991389,4730381,4371654,1232237,3494809,214159,83544,1664100,63635,6017,30884339
="Griswold School District",2464400,759480,595812,304276,697658,12956,41625,455364,15739,2215,5375006
="Groton School District",6062805,1590916,1489712,1285039,2480242,80690,0,1422986,47186,1156,14529784
="Guilford School District",3434273,1607986,1419327,247222,1429204,39924,0,811823,12620,0,9002379
="Hamden School District",7941679,1125371,2807057,631211,6632195,71278,3180,1897947,18199,2638,21130755
="Hampton School District",111225,58579,32443,92464,28084,3070,478,24497,3790,0,354630
="Hartford School District",30891379,6906177,9577221,943570,17525779,224329,667,6666204,39801,116994,72954200
="Hartland School District",68058,83745,30966,319457,163986,1492,0,44846,0,0,712550
="Hebron School District",986121,557018,256355,245398,67469,10549,0,118600,9313,0,2264819
="Kent School District",272938,134406,141144,28563,0,1550,818,26830,670,3364,610876
="Killingly School District",2491599,1135750,1139724,161656,1698847,19738,18315,7093,70889,452,6832594
="Lebanon School District",1019583,306377,422243,282171,512994,16517,6738,177776,17765,1045,2763209
="Ledyard School District",3110287,805809,785577,345706,1065910,193202,0,606750,24011,125,6940372
="Lisbon School District",702801,173485,191079,3349,296068,7049,0,106191,0,300,1482629
="Litchfield School District",1054233,439653,504760,145646,247753,17875,0,180407,5436,1807,2597570
="Madison School District",2629717,761086,806387,318643,1812849,40169,0,767229,4806,745,7144057
="Manchester School District",7240573,3448179,3592031,377689,4768428,120194,44302,1409941,16009,4199,21021545
="Mansfield School District",1566478,903670,569952,148899,463786,26754,3972,222419,2540,639,3931168
="Marlborough School District",611826,155161,126553,51415,89596,10963,1469,71299,1894,115,1120291
="Meriden School District",9294383,3476239,2784848,1233382,5613531,119260,73656,1646712,54030,49,24344807
="Middletown School District",4485088,2446194,1306213,501512,2705330,58084,0,1515669,32772,0,13051458
="Milford School District",7979353,3370767,2619897,415189,2044611,113525,6875,980945,71494,27897,17630553
="Monroe School District",3505682,822704,774739,177656,974364,21982,3928,559185,5653,8662,6890367
="Montville School District",3314679,1093030,957739,194965,437331,105100,11023,3403,34698,1297,6162412
="Naugatuck School District",4903665,1486014,1922383,60470,992676,48931,0,840532,7224,4179,10311931
="New Britain School District",13150893,4896798,4074377,682442,7484212,106927,0,2827637,86727,12949,33453979
="New Canaan School District",4660572,2709544,1599646,1006315,1417433,42266,1132,100546,49597,0,11594454
="New Fairfield School District",3097340,694916,1111744,87749,562483,36745,0,306974,10403,1046,5916245
="New Hartford School District",650087,251447,228276,43164,111559,4184,0,58597,740,430,1348754
="New Haven School District",20427940,3616975,7409552,2060206,11965106,255570,584224,3961563,56520,632316,50973988
="New London School District",4342221,1353066,1566197,1041216,1567945,72103,14115,789871,9541,0,10764422
="New Milford School District",4451411,1476854,1754745,845075,1647340,42253,0,914550,34961,1940,11177315
="Newington School District",3049649,358067,680070,1964508,1529285,377655,26392,1000,98833,2507,8183445
="Newtown School District",3910427,1609920,1307394,317407,1561463,121605,641,957491,47629,0,9900059
="Norfolk School District",40627,2618,7238,268807,59904,88,0,30886,0,350,410518
="North Branford School District",1899960,539491,424811,352021,935126,44412,3375,512355,17251,790,4732998
