"FTE Staffing Report for 2013-14"

"District","Assignment Category","Educator Type","FTE Count"
"Achievement First Hartford Academy Inc. District","General Education - Teachers and Instructors","Certified",76.0
="Amistad Academy District",="General Education - Teachers and Instructors",="Certified",89.3
="Andover School District",="General Education - Teachers and Instructors",="Certified",24.7
="Ansonia School District",="General Education - Teachers and Instructors",="Certified",145.0
="Area Cooperative Educational Services",="General Education - Teachers and Instructors",="Certified",114.8
="Ashford School District",="General Education - Teachers and Instructors",="Certified",38.0
="Avon School District",="General Education - Teachers and Instructors",="Certified",213.5
="Barkhamsted School District",="General Education - Teachers and Instructors",="Certified",20.5
="Berlin School District",="General Education - Teachers and Instructors",="Certified",208.5
="Bethany School District",="General Education - Teachers and Instructors",="Certified",36.0
="Bethel School District",="General Education - Teachers and Instructors",="Certified",201.1
="Bloomfield School District",="General Education - Teachers and Instructors",="Certified",183.4
="Bolton School District",="General Education - Teachers and Instructors",="Certified",59.0
="Bozrah School District",="General Education - Teachers and Instructors",="Certified",19.0
="Branford School District",="General Education - Teachers and Instructors",="Certified",237.5
="Brass City Charter School District",="General Education - Teachers and Instructors",="Certified",6.3
="Bridgeport Achievement First District",="General Education - Teachers and Instructors",="Certified",53.5
="Bridgeport School District",="General Education - Teachers and Instructors",="Certified",1107.3
="Bristol School District",="General Education - Teachers and Instructors",="Certified",457.4
="Brookfield School District",="General Education - Teachers and Instructors",="Certified",180.2
="Brooklyn School District",="General Education - Teachers and Instructors",="Certified",59.5
="Canaan School District",="General Education - Teachers and Instructors",="Certified",11.4
="Canterbury School District",="General Education - Teachers and Instructors",="Certified",37.1
="Canton School District",="General Education - Teachers and Instructors",="Certified",103.2
="Capitol Region Education Council",="General Education - Teachers and Instructors",="Certified",523.8
="Chaplin School District",="General Education - Teachers and Instructors",="Certified",15.4
="Cheshire School District",="General Education - Teachers and Instructors",="Certified",279.9
="Chester School District",="General Education - Teachers and Instructors",="Certified",19.5
="Clinton School District",="General Education - Teachers and Instructors",="Certified",143.9
="Colchester School District",="General Education - Teachers and Instructors",="Certified",183.9
="Colebrook School District",="General Education - Teachers and Instructors",="Certified",8.4
="Columbia School District",="General Education - Teachers and Instructors",="Certified",33.4
="Common Ground High School District",="General Education - Teachers and Instructors",="Certified",16.4
="Connecticut Technical High School System",="General Education - Teachers and Instructors",="Certified",958.1
="Cooperative Educational Services",="General Education - Teachers and Instructors",="Certified",46.6
="Cornwall School District",="General Education - Teachers and Instructors",="Certified",15.2
="Coventry School District",="General Education - Teachers and Instructors",="Certified",120.7
="Cromwell School District",="General Education - Teachers and Instructors",="Certified",131.4
="Danbury School District",="General Education - Teachers and Instructors",="Certified",616.3
="Darien School District",="General Education - Teachers and Instructors",="Certified",333.2
="Deep River School District",="General Education - Teachers and Instructors",="Certified",26.8
="Derby School District",="General Education - Teachers and Instructors",="Certified",87.9
="East Granby School District",="General Education - Teachers and Instructors",="Certified",64.7
