"FTE Staffing Report for 2015-16"

"District","Assignment Category","Educator Type","FTE Count"
"Achievement First Hartford Academy Inc. District","Administrators  Coordinators and Department Chairs - School Level","Certified",19.0
,="Counselors  Social Workers  and School Psychologists",="Certified",2.0
,="General Education - Teachers and Instructors",="Certified",80.4
,="Special Education - Teachers and Instructors",="Certified",9.6
="Amistad Academy District",="Administrators  Coordinators and Department Chairs - School Level",="Certified",13.4
,="Counselors  Social Workers  and School Psychologists",="Certified",3.0
,="General Education - Teachers and Instructors",="Certified",90.3
,="Special Education - Teachers and Instructors",="Certified",4.0
="Andover School District",="General Education - Teachers and Instructors",="Certified",22.8
,="Special Education - Teachers and Instructors",="Certified",3.0
,="Administrators  Coordinators and Department Chairs - District Central Office",="Certified",2.6
,="Instructional Specialists Who Support Teachers",="Certified",1.5
,="Library/Media - Specialists (Certified)",="Certified",1.0
="Ansonia School District",="Administrators  Coordinators and Department Chairs - School Level",="Certified",8.3
,="Counselors  Social Workers  and School Psychologists",="Certified",14.0
,="General Education - Teachers and Instructors",="Certified",146.2
,="Special Education - Teachers and Instructors",="Certified",23.5
,="Administrators  Coordinators and Department Chairs - District Central Office",="Certified",6.0
,="Instructional Specialists Who Support Teachers",="Certified",6.0
,="Library/Media - Specialists (Certified)",="Certified",1.0
="Area Cooperative Educational Services",="Administrators  Coordinators and Department Chairs - School Level",="Certified",14.0
,="Counselors  Social Workers  and School Psychologists",="Certified",28.0
,="General Education - Teachers and Instructors",="Certified",113.1
,="Special Education - Teachers and Instructors",="Certified",92.0
,="Administrators  Coordinators and Department Chairs - District Central Office",="Certified",14.0
,="Instructional Specialists Who Support Teachers",="Certified",14.6
,="Library/Media - Specialists (Certified)",="Certified",2.0
="Ashford School District",="Counselors  Social Workers  and School Psychologists",="Certified",2.0
,="General Education - Teachers and Instructors",="Certified",40.0
,="Special Education - Teachers and Instructors",="Certified",4.0
,="Administrators  Coordinators and Department Chairs - District Central Office",="Certified",3.7
,="Instructional Specialists Who Support Teachers",="Certified",1.0
="Avon School District",="Administrators  Coordinators and Department Chairs - School Level",="Certified",10.0
,="Counselors  Social Workers  and School Psychologists",="Certified",16.0
,="General Education - Teachers and Instructors",="Certified",211.4
,="Special Education - Teachers and Instructors",="Certified",33.6
,="Administrators  Coordinators and Department Chairs - District Central Office",="Certified",6.0
,="Instructional Specialists Who Support Teachers",="Certified",12.0
,="Library/Media - Specialists (Certified)",="Certified",5.0
="Barkhamsted School District",="Administrators  Coordinators and Department Chairs - School Level",="Certified",1.0
,="General Education - Teachers and Instructors",="Certified",19.9
,="Special Education - Teachers and Instructors",="Certified",1.0
,="Administrators  Coordinators and Department Chairs - District Central Office",="Certified",0.4
,="Instructional Specialists Who Support Teachers",="Certified",1.5
,="Library/Media - Specialists (Certified)",="Certified",1.0
="Berlin School District",="Administrators  Coordinators and Department Chairs - School Level",="Certified",15.8
,="Counselors  Social Workers  and School Psychologists",="Certified",16.0
,="General Education - Teachers and Instructors",="Certified",200.6
,="Special Education - Teachers and Instructors",="Certified",32.3
,="Administrators  Coordinators and Department Chairs - District Central Office",="Certified",7.0
,="Instructional Specialists Who Support Teachers",="Certified",10.2
,="Library/Media - Specialists (Certified)",="Certified",4.6
="Bethany School District",="Administrators  Coordinators and Department Chairs - School Level",="Certified",2.0
,="Counselors  Social Workers  and School Psychologists",="Certified",2.5
,="General Education - Teachers and Instructors",="Certified",30.0
,="Special Education - Teachers and Instructors",="Certified",7.0
,="Administrators  Coordinators and Department Chairs - District Central Office",="Certified",1.0
,="Instructional Specialists Who Support Teachers",="Certified",5.6
,="Library/Media - Specialists (Certified)",="Certified",1.0
="Bethel School District",="Administrators  Coordinators and Department Chairs - School Level",="Certified",9.6
,="Counselors  Social Workers  and School Psychologists",="Certified",15.0
,="General Education - Teachers and Instructors",="Certified",194.2
,="Special Education - Teachers and Instructors",="Certified",34.9
,="Administrators  Coordinators and Department Chairs - District Central Office",="Certified",5.1
,="Instructional Specialists Who Support Teachers",="Certified",14.0
,="Library/Media - Specialists (Certified)",="Certified",4.0
="Bloomfield School District",="Administrators  Coordinators and Department Chairs - School Level",="Certified",9.0
,="Counselors  Social Workers  and School Psychologists",="Certified",18.0
,="General Education - Teachers and Instructors",="Certified",164.5
,="Special Education - Teachers and Instructors",="Certified",20.0
,="Administrators  Coordinators and Department Chairs - District Central Office",="Certified",5.0
,="Instructional Specialists Who Support Teachers",="Certified",13.0
,="Library/Media - Specialists (Certified)",="Certified",1.0
="Bolton School District",="Administrators  Coordinators and Department Chairs - School Level",="Certified",3.8
,="Counselors  Social Workers  and School Psychologists",="Certified",6.7
,="General Education - Teachers and Instructors",="Certified",64.6
,="Special Education - Teachers and Instructors",="Certified",10.0
,="Administrators  Coordinators and Department Chairs - District Central Office",="Certified",4.0
,="Instructional Specialists Who Support Teachers",="Certified",2.0
,="Library/Media - Specialists (Certified)",="Certified",2.0
="Booker T. Washington Academy District",="General Education - Teachers and Instructors",="Certified",13.2
,="Administrators  Coordinators and Department Chairs - District Central Office",="Certified",1.0
,="Instructional Specialists Who Support Teachers",="Certified",0.8
="Bozrah School District",="Administrators  Coordinators and Department Chairs - School Level",="Certified",1.6
,="Counselors  Social Workers  and School Psychologists",="Certified",0.9
,="General Education - Teachers and Instructors",="Certified",17.5
,="Special Education - Teachers and Instructors",="Certified",3.5
,="Instructional Specialists Who Support Teachers",="Certified",1.0
="Branford School District",="Administrators  Coordinators and Department Chairs - School Level",="Certified",11.8
,="Counselors  Social Workers  and School Psychologists",="Certified",15.4
,="General Education - Teachers and Instructors",="Certified",225.5
,="Special Education - Teachers and Instructors",="Certified",28.0
,="Administrators  Coordinators and Department Chairs - District Central Office",="Certified",5.0
,="Instructional Specialists Who Support Teachers",="Certified",6.0
,="Library/Media - Specialists (Certified)",="Certified",5.0
="Brass City Charter School District",="Administrators  Coordinators and Department Chairs - School Level",="Certified",2.0
,="General Education - Teachers and Instructors",="Certified",16.3
,="Instructional Specialists Who Support Teachers",="Certified",0.5
="Bridgeport Achievement First District",="Administrators  Coordinators and Department Chairs - School Level",="Certified",8.0
,="Counselors  Social Workers  and School Psychologists",="Certified",2.0
,="General Education - Teachers and Instructors",="Certified",41.0
,="Special Education - Teachers and Instructors",="Certified",3.0
="Bridgeport School District",="Administrators  Coordinators and Department Chairs - School Level",="Certified",78.0
,="Counselors  Social Workers  and School Psychologists",="Certified",117.2
,="General Education - Teachers and Instructors",="Certified",1175.1
,="Special Education - Teachers and Instructors",="Certified",222.0
,="Administrators  Coordinators and Department Chairs - District Central Office",="Certified",22.0
,="Instructional Specialists Who Support Teachers",="Certified",64.2
,="Library/Media - Specialists (Certified)",="Certified",19.0
="Bristol School District",="Administrators  Coordinators and Department Chairs - School Level",="Certified",28.0
,="Counselors  Social Workers  and School Psychologists",="Certified",34.2
,="General Education - Teachers and Instructors",="Certified",474.9
,="Special Education - Teachers and Instructors",="Certified",83.2
,="Administrators  Coordinators and Department Chairs - District Central Office",="Certified",15.5
,="Instructional Specialists Who Support Teachers",="Certified",34.7
,="Library/Media - Specialists (Certified)",="Certified",7.0
="Brookfield School District",="Administrators  Coordinators and Department Chairs - School Level",="Certified",14.8
,="Counselors  Social Workers  and School Psychologists",="Certified",16.0
,="General Education - Teachers and Instructors",="Certified",171.3
,="Special Education - Teachers and Instructors",="Certified",23.0
,="Administrators  Coordinators and Department Chairs - District Central Office",="Certified",4.0
,="Instructional Specialists Who Support Teachers",="Certified",7.0
,="Library/Media - Specialists (Certified)",="Certified",5.0
="Brooklyn School District",="Administrators  Coordinators and Department Chairs - School Level",="Certified",3.0
,="Counselors  Social Workers  and School Psychologists",="Certified",2.0
,="General Education - Teachers and Instructors",="Certified",59.7
,="Special Education - Teachers and Instructors",="Certified",7.0
,="Administrators  Coordinators and Department Chairs - District Central Office",="Certified",1.4
,="Instructional Specialists Who Support Teachers",="Certified",1.0
,="Library/Media - Specialists (Certified)",="Certified",2.0
="Canaan School District",="Administrators  Coordinators and Department Chairs - School Level",="Certified",1.5
,="Counselors  Social Workers  and School Psychologists",="Certified",0.5
,="General Education - Teachers and Instructors",="Certified",10.6
,="Special Education - Teachers and Instructors",="Certified",1.0
,="Instructional Specialists Who Support Teachers",="Certified",0.5
="Canterbury School District",="Administrators  Coordinators and Department Chairs - School Level",="Certified",2.0
,="Counselors  Social Workers  and School Psychologists",="Certified",3.0
,="General Education - Teachers and Instructors",="Certified",35.5
,="Special Education - Teachers and Instructors",="Certified",4.5
,="Administrators  Coordinators and Department Chairs - District Central Office",="Certified",2.2
,="Instructional Specialists Who Support Teachers",="Certified",1.0
="Canton School District",="Administrators  Coordinators and Department Chairs - School Level",="Certified",8.6
,="Counselors  Social Workers  and School Psychologists",="Certified",10.2
,="General Education - Teachers and Instructors",="Certified",99.4
,="Special Education - Teachers and Instructors",="Certified",14.6
,="Administrators  Coordinators and Department Chairs - District Central Office",="Certified",4.0
,="Instructional Specialists Who Support Teachers",="Certified",7.5
,="Library/Media - Specialists (Certified)",="Certified",2.0
="Capital Preparatory Harbor School Inc. District",="Administrators  Coordinators and Department Chairs - School Level",="Certified",3.0
,="General Education - Teachers and Instructors",="Certified",10.0
,="Special Education - Teachers and Instructors",="Certified",1.0
="Capitol Region Education Council",="Administrators  Coordinators and Department Chairs - School Level",="Certified",57.8
,="Counselors  Social Workers  and School Psychologists",="Certified",67.0
,="General Education - Teachers and Instructors",="Certified",595.4
,="Special Education - Teachers and Instructors",="Certified",158.5
,="Administrators  Coordinators and Department Chairs - District Central Office",="Certified",23.7
,="Instructional Specialists Who Support Teachers",="Certified",54.2
,="Library/Media - Specialists (Certified)",="Certified",10.0
="Chaplin School District",="Administrators  Coordinators and Department Chairs - School Level",="Certified",1.0
,="Counselors  Social Workers  and School Psychologists",="Certified",1.0
,="General Education - Teachers and Instructors",="Certified",16.3
,="Special Education - Teachers and Instructors",="Certified",2.0
,="Instructional Specialists Who Support Teachers",="Certified",0.8
="Cheshire School District",="Administrators  Coordinators and Department Chairs - School Level",="Certified",19.3
,="Counselors  Social Workers  and School Psychologists",="Certified",20.6
,="General Education - Teachers and Instructors",="Certified",275.1
,="Special Education - Teachers and Instructors",="Certified",46.8
,="Administrators  Coordinators and Department Chairs - District Central Office",="Certified",4.1
,="Instructional Specialists Who Support Teachers",="Certified",14.7
,="Library/Media - Specialists (Certified)",="Certified",5.8
="Chester School District",="General Education - Teachers and Instructors",="Certified",3.1
,="Special Education - Teachers and Instructors",="Certified",0.8
="Clinton School District",="Administrators  Coordinators and Department Chairs - School Level",="Certified",7.8
,="Counselors  Social Workers  and School Psychologists",="Certified",12.0
,="General Education - Teachers and Instructors",="Certified",135.9
,="Special Education - Teachers and Instructors",="Certified",25.8
,="Administrators  Coordinators and Department Chairs - District Central Office",="Certified",6.0
,="Instructional Specialists Who Support Teachers",="Certified",9.2
,="Library/Media - Specialists (Certified)",="Certified",4.0
="Colchester School District",="Administrators  Coordinators and Department Chairs - School Level",="Certified",9.0
,="Counselors  Social Workers  and School Psychologists",="Certified",16.0
,="General Education - Teachers and Instructors",="Certified",171.1
,="Special Education - Teachers and Instructors",="Certified",25.0
,="Administrators  Coordinators and Department Chairs - District Central Office",="Certified",3.0
,="Instructional Specialists Who Support Teachers",="Certified",14.0
,="Library/Media - Specialists (Certified)",="Certified",2.6
="Colebrook School District",="Administrators  Coordinators and Department Chairs - School Level",="Certified",1.2
,="General Education - Teachers and Instructors",="Certified",7.4
,="Administrators  Coordinators and Department Chairs - District Central Office",="Certified",0.2
,="Instructional Specialists Who Support Teachers",="Certified",1.0
="Columbia School District",="Administrators  Coordinators and Department Chairs - School Level",="Certified",2.0
,="Counselors  Social Workers  and School Psychologists",="Certified",3.0
,="General Education - Teachers and Instructors",="Certified",33.7
,="Special Education - Teachers and Instructors",="Certified",6.0
,="Administrators  Coordinators and Department Chairs - District Central Office",="Certified",2.0
,="Instructional Specialists Who Support Teachers",="Certified",2.3
,="Library/Media - Specialists (Certified)",="Certified",1.0
="Common Ground High School District",="Administrators  Coordinators and Department Chairs - School Level",="Certified",2.0
,="Counselors  Social Workers  and School Psychologists",="Certified",0.8
,="General Education - Teachers and Instructors",="Certified",16.0
,="Special Education - Teachers and Instructors",="Certified",2.5
="Connecticut Technical High School System",="Administrators  Coordinators and Department Chairs - School Level",="Certified",143.3
,="Counselors  Social Workers  and School Psychologists",="Certified",94.8
,="General Education - Teachers and Instructors",="Certified",948.4
,="Special Education - Teachers and Instructors",="Certified",67.9
,="Administrators  Coordinators and Department Chairs - District Central Office",="Certified",19.0
,="Library/Media - Specialists (Certified)",="Certified",17.0
="Cooperative Educational Services",="Administrators  Coordinators and Department Chairs - School Level",="Certified",10.6
