"FTE Staffing Report for 2002-03"

"District","School","Assignment Category","Educator Type","FTE Count"
"Amistad Academy District","Amistad Academy","Other Staff Providing Non-Instructional Services/Support","Certified/Non-Certified",4.4
="Andover School District",="Andover Elementary School",="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",15.8
="Ansonia School District",="Ansonia High School",="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",26.5
,="Ansonia Middle School",="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",15.3
,="Mead School",="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",10.9
,="Prendergast School",="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",22.8
="Area Cooperative Educational Services",="A. C. E. S. Special Education Town Campus Learning Center",="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",1.6
,="Collaborative Alternative Magnet School",="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",3.8
,="Thomas Edison Magnet Middle School",="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",6.2
,="Wintergreen Interdistrict Magnet School",="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",8.3
="Ashford School District",="Ashford School",="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",11.0
="Avon School District",="Avon High School",="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",125.0
,="Avon Middle School",="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",11.5
,="Pine Grove School",="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",8.5
,="Roaring Brook School",="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",13.0
,="Thompson Brook School",="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",12.0
="Barkhamsted School District",="Barkhamsted Elementary School",="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",11.6
="Berlin School District",="Berlin High School",="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",26.1
,="Catherine M. McGee Middle School",="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",14.2
,="Emma Hart Willard School",="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",11.3
,="Mary E. Griswold School",="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",10.6
,="Richard D. Hubbard School",="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",7.3
="Bethany School District",="Bethany Community School",="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",9.9
