"FTE Staffing Report for 2005-06"

"District","School","Assignment Category","Educator Type","FTE Count"
"Amistad Academy District","Amistad Academy","Administrators  Coordinators and Department Chairs - School Level","Certified",1.0
,,="Counselors  Social Workers  and School Psychologists",="Certified",1.0
,,="General Education - Teachers and Instructors",="Certified",18.0
,,="Special Education - Teachers and Instructors",="Certified",2.0
="Andover School District",="Andover Elementary School",="Administrators  Coordinators and Department Chairs - School Level",="Certified",2.0
,,="General Education - Teachers and Instructors",="Certified",24.8
,,="Special Education - Teachers and Instructors",="Certified",2.5
,,="Instructional Specialists Who Support Teachers",="Certified",2.0
,,="Library/Media - Specialists (Certified)",="Certified",1.0
="Ansonia School District",="Ansonia High School",="Administrators  Coordinators and Department Chairs - School Level",="Certified",2.0
,,="Counselors  Social Workers  and School Psychologists",="Certified",4.0
,,="General Education - Teachers and Instructors",="Certified",40.0
,,="Special Education - Teachers and Instructors",="Certified",5.0
,,="Instructional Specialists Who Support Teachers",="Certified",0.1
,,="Library/Media - Specialists (Certified)",="Certified",1.0
,="Ansonia Middle School",="Administrators  Coordinators and Department Chairs - School Level",="Certified",1.0
,,="Counselors  Social Workers  and School Psychologists",="Certified",4.0
,,="General Education - Teachers and Instructors",="Certified",37.0
,,="Special Education - Teachers and Instructors",="Certified",5.0
,,="Instructional Specialists Who Support Teachers",="Certified",2.2
,="Mead School",="Administrators  Coordinators and Department Chairs - School Level",="Certified",2.0
,,="Counselors  Social Workers  and School Psychologists",="Certified",2.0
,,="General Education - Teachers and Instructors",="Certified",32.0
,,="Special Education - Teachers and Instructors",="Certified",5.0
,,="Instructional Specialists Who Support Teachers",="Certified",2.8
,="Prendergast School",="Administrators  Coordinators and Department Chairs - School Level",="Certified",2.0
,,="Counselors  Social Workers  and School Psychologists",="Certified",2.0
,,="General Education - Teachers and Instructors",="Certified",37.0
,,="Special Education - Teachers and Instructors",="Certified",7.8
,,="Instructional Specialists Who Support Teachers",="Certified",2.9
="Area Cooperative Educational Services",="A. C. E. S. Special Education Town Campus Learning Center",="Administrators  Coordinators and Department Chairs - School Level",="Certified",0.5
,,="General Education - Teachers and Instructors",="Certified",1.0
,,="Special Education - Teachers and Instructors",="Certified",2.0
,,="Instructional Specialists Who Support Teachers",="Certified",1.0
,="Collaborative Alternative Magnet School",="Administrators  Coordinators and Department Chairs - School Level",="Certified",1.0
,,="Counselors  Social Workers  and School Psychologists",="Certified",2.0
,,="General Education - Teachers and Instructors",="Certified",10.3
,,="Special Education - Teachers and Instructors",="Certified",0.5
,="Thomas Edison Magnet Middle School",="Administrators  Coordinators and Department Chairs - School Level",="Certified",2.0
,,="Counselors  Social Workers  and School Psychologists",="Certified",4.0
,,="General Education - Teachers and Instructors",="Certified",58.0
,,="Special Education - Teachers and Instructors",="Certified",5.0
,,="Library/Media - Specialists (Certified)",="Certified",1.0
,="Wintergreen Interdistrict Magnet School",="Administrators  Coordinators and Department Chairs - School Level",="Certified",2.0
,,="Counselors  Social Workers  and School Psychologists",="Certified",3.0
,,="General Education - Teachers and Instructors",="Certified",43.0
,,="Special Education - Teachers and Instructors",="Certified",4.0
,,="Instructional Specialists Who Support Teachers",="Certified",2.0
,,="Library/Media - Specialists (Certified)",="Certified",1.0
="Ashford School District",="Ashford School",="Administrators  Coordinators and Department Chairs - School Level",="Certified",2.0
,,="Counselors  Social Workers  and School Psychologists",="Certified",1.6
,,="General Education - Teachers and Instructors",="Certified",37.8
,,="Special Education - Teachers and Instructors",="Certified",5.0
,,="Instructional Specialists Who Support Teachers",="Certified",1.8
="Avon School District",="Avon High School",="Administrators  Coordinators and Department Chairs - School Level",="Certified",4.0
,,="Counselors  Social Workers  and School Psychologists",="Certified",7.8
,,="General Education - Teachers and Instructors",="Certified",59.0
,,="Special Education - Teachers and Instructors",="Certified",6.0
,,="Instructional Specialists Who Support Teachers",="Certified",0.5
,,="Library/Media - Specialists (Certified)",="Certified",1.0
,="Avon Middle School",="Administrators  Coordinators and Department Chairs - School Level",="Certified",2.0
,,="Counselors  Social Workers  and School Psychologists",="Certified",3.0
,,="General Education - Teachers and Instructors",="Certified",40.0
,,="Special Education - Teachers and Instructors",="Certified",3.0
,,="Instructional Specialists Who Support Teachers",="Certified",1.6
,,="Library/Media - Specialists (Certified)",="Certified",1.0
,="Pine Grove School",="Administrators  Coordinators and Department Chairs - School Level",="Certified",2.0
,,="Counselors  Social Workers  and School Psychologists",="Certified",1.5
,,="General Education - Teachers and Instructors",="Certified",33.0
,,="Special Education - Teachers and Instructors",="Certified",4.0
,,="Instructional Specialists Who Support Teachers",="Certified",2.6
,,="Library/Media - Specialists (Certified)",="Certified",1.0
,="Roaring Brook School",="Administrators  Coordinators and Department Chairs - School Level",="Certified",2.0
,,="Counselors  Social Workers  and School Psychologists",="Certified",1.5
,,="General Education - Teachers and Instructors",="Certified",40.0
,,="Special Education - Teachers and Instructors",="Certified",1.4
,,="Instructional Specialists Who Support Teachers",="Certified",3.1
,,="Library/Media - Specialists (Certified)",="Certified",1.0
,="Thompson Brook School",="Administrators  Coordinators and Department Chairs - School Level",="Certified",2.0
,,="Counselors  Social Workers  and School Psychologists",="Certified",2.0
,,="General Education - Teachers and Instructors",="Certified",33.4
,,="Special Education - Teachers and Instructors",="Certified",3.6
,,="Instructional Specialists Who Support Teachers",="Certified",1.5
,,="Library/Media - Specialists (Certified)",="Certified",1.0
="Barkhamsted School District",="Barkhamsted Elementary School",="Administrators  Coordinators and Department Chairs - School Level",="Certified",1.0
,,="Counselors  Social Workers  and School Psychologists",="Certified",1.2
,,="General Education - Teachers and Instructors",="Certified",19.7
,,="Special Education - Teachers and Instructors",="Certified",3.0
,,="Instructional Specialists Who Support Teachers",="Certified",1.4
,,="Library/Media - Specialists (Certified)",="Certified",1.0
="Berlin School District",="Berlin High School",="Administrators  Coordinators and Department Chairs - School Level",="Certified",4.4
,,="Counselors  Social Workers  and School Psychologists",="Certified",8.3
,,="General Education - Teachers and Instructors",="Certified",67.0
,,="Special Education - Teachers and Instructors",="Certified",14.0
,,="Instructional Specialists Who Support Teachers",="Certified",2.0
,,="Library/Media - Specialists (Certified)",="Certified",1.0
,="Catherine M. McGee Middle School",="Administrators  Coordinators and Department Chairs - School Level",="Certified",2.0
,,="Counselors  Social Workers  and School Psychologists",="Certified",6.0
,,="General Education - Teachers and Instructors",="Certified",53.0
,,="Special Education - Teachers and Instructors",="Certified",7.4
,,="Instructional Specialists Who Support Teachers",="Certified",2.0
,,="Library/Media - Specialists (Certified)",="Certified",1.0
,="Emma Hart Willard School",="Administrators  Coordinators and Department Chairs - School Level",="Certified",1.5
,,="Counselors  Social Workers  and School Psychologists",="Certified",1.5
,,="General Education - Teachers and Instructors",="Certified",32.9
,,="Special Education - Teachers and Instructors",="Certified",6.5
,,="Instructional Specialists Who Support Teachers",="Certified",3.0
,,="Library/Media - Specialists (Certified)",="Certified",1.0
,="Mary E. Griswold School",="Administrators  Coordinators and Department Chairs - School Level",="Certified",1.5
,,="Counselors  Social Workers  and School Psychologists",="Certified",1.4
,,="General Education - Teachers and Instructors",="Certified",35.1
