"FTE Staffing Report for 2008-09"

"District","School","Assignment Category","Educator Type","FTE Count"
"Achievement First Hartford Academy Inc. District","Achievement First Hartford Academy Inc.","General Education - Teachers and Instructors","Certified",20.0
="Amistad Academy District",="Amistad Academy",="General Education - Teachers and Instructors",="Certified",51.0
="Andover School District",="Andover Elementary School",="General Education - Teachers and Instructors",="Certified",25.3
="Ansonia School District",="Ansonia High School",="General Education - Teachers and Instructors",="Certified",43.0
,="Ansonia Middle School",="General Education - Teachers and Instructors",="Certified",37.0
,="Mead School",="General Education - Teachers and Instructors",="Certified",32.0
,="Pine Academy",="General Education - Teachers and Instructors",="Certified",3.0
,="Prendergast School",="General Education - Teachers and Instructors",="Certified",37.0
="Area Cooperative Educational Services",="A. C. E. S. Special Education Town Campus Learning Center",="General Education - Teachers and Instructors",="Certified",2.0
,="Collaborative Alternative Magnet School",="General Education - Teachers and Instructors",="Certified",11.0
,="Mill Road School",="General Education - Teachers and Instructors",="Certified",8.0
,="Thomas Edison Magnet Middle School",="General Education - Teachers and Instructors",="Certified",57.1
,="Village School",="General Education - Teachers and Instructors",="Certified",3.0
,="Whitney High School East",="General Education - Teachers and Instructors",="Certified",1.5
,="Whitney High School North",="General Education - Teachers and Instructors",="Certified",4.0
,="Whitney High School West",="General Education - Teachers and Instructors",="Certified",1.5
,="Wintergreen Interdistrict Magnet School",="General Education - Teachers and Instructors",="Certified",40.8
="Ashford School District",="Ashford School",="General Education - Teachers and Instructors",="Certified",39.6
="Avon School District",="Avon High School",="General Education - Teachers and Instructors",="Certified",67.3
,="Avon Middle School",="General Education - Teachers and Instructors",="Certified",42.0
,="Pine Grove School",="General Education - Teachers and Instructors",="Certified",32.7
,="Roaring Brook School",="General Education - Teachers and Instructors",="Certified",38.0
,="Thompson Brook School",="General Education - Teachers and Instructors",="Certified",36.7
="Barkhamsted School District",="Barkhamsted Elementary School",="General Education - Teachers and Instructors",="Certified",21.2
="Berlin School District",="Berlin High School",="General Education - Teachers and Instructors",="Certified",67.8
,="Catherine M. McGee Middle School",="General Education - Teachers and Instructors",="Certified",54.0
,="Emma Hart Willard School",="General Education - Teachers and Instructors",="Certified",31.1
,="Mary E. Griswold School",="General Education - Teachers and Instructors",="Certified",34.5
,="Richard D. Hubbard School",="General Education - Teachers and Instructors",="Certified",16.3
="Bethany School District",="Bethany Community School",="General Education - Teachers and Instructors",="Certified",38.9
="Bethel School District",="Anna H. Rockwell School",="General Education - Teachers and Instructors",="Certified",26.9
,="Bethel High School",="General Education - Teachers and Instructors",="Certified",77.2
,="Bethel Middle School",="General Education - Teachers and Instructors",="Certified",49.0
,="Frank A. Berry School",="General Education - Teachers and Instructors",="Certified",26.5
,="Ralph M. T. Johnson School",="General Education - Teachers and Instructors",="Certified",28.1
="Bloomfield School District",="Bloomfield High School",="General Education - Teachers and Instructors",="Certified",50.9
,="Carmen Arace Intermediate School",="General Education - Teachers and Instructors",="Certified",24.9
,="Carmen Arace Middle School",="General Education - Teachers and Instructors",="Certified",27.1
,="J. P. Vincent School",="General Education - Teachers and Instructors",="Certified",22.2
,="Laurel School",="General Education - Teachers and Instructors",="Certified",20.2
,="Metacomet School",="General Education - Teachers and Instructors",="Certified",19.5
,="The Big Picture High School",="General Education - Teachers and Instructors",="Certified",6.0
="Bolton School District",="Bolton Center School",="General Education - Teachers and Instructors",="Certified",40.8
,="Bolton High School",="General Education - Teachers and Instructors",="Certified",26.6
="Bozrah School District",="Fields Memorial School",="General Education - Teachers and Instructors",="Certified",18.5
="Branford School District",="Branford High School",="General Education - Teachers and Instructors",="Certified",84.5
,="Francis Walsh Intermediate School",="General Education - Teachers and Instructors",="Certified",74.5
,="John B. Sliney School",="General Education - Teachers and Instructors",="Certified",26.8
,="Mary R. Tisko School",="General Education - Teachers and Instructors",="Certified",30.3
,="Mary T. Murphy School",="General Education - Teachers and Instructors",="Certified",28.3
="Bridgeport Achievement First District",="Achievement First Bridgeport Academy",="General Education - Teachers and Instructors",="Certified",11.0
="Bridgeport School District",="Barnum School",="General Education - Teachers and Instructors",="Certified",38.1
,="Bassick High School",="General Education - Teachers and Instructors",="Certified",71.0
,="Beardsley School",="General Education - Teachers and Instructors",="Certified",23.2
,="Black Rock School",="General Education - Teachers and Instructors",="Certified",19.5
