"FTE Staffing Report for 2015-16"

"District","School","Assignment Category","Educator Type","FTE Count"
"Achievement First Hartford Academy Inc. District","Achievement First Hartford Academy Inc.","Counselors  Social Workers  and School Psychologists","Certified",2.0
="Amistad Academy District",="Amistad Academy",="Counselors  Social Workers  and School Psychologists",="Certified",3.0
="Ansonia School District",="Ansonia High School",="Counselors  Social Workers  and School Psychologists",="Certified",5.0
,="Ansonia Middle School",="Counselors  Social Workers  and School Psychologists",="Certified",3.0
,="Mead School",="Counselors  Social Workers  and School Psychologists",="Certified",2.5
,="P.A.C.E. (Positive And Creative Education)",="Counselors  Social Workers  and School Psychologists",="Certified",1.0
,="Prendergast School",="Counselors  Social Workers  and School Psychologists",="Certified",2.5
="Area Cooperative Educational Services",="A.C.E.S. Educational Center for the Arts - Part Time",="Counselors  Social Workers  and School Psychologists",="Certified",1.0
,="Center for Autism Spectrum and Development Disorders",="Counselors  Social Workers  and School Psychologists",="Certified",1.0
,="Mill Road School",="Counselors  Social Workers  and School Psychologists",="Certified",6.0
,="Thomas Edison Magnet Middle School",="Counselors  Social Workers  and School Psychologists",="Certified",5.0
,="Village School",="Counselors  Social Workers  and School Psychologists",="Certified",2.0
,="Whitney High School East",="Counselors  Social Workers  and School Psychologists",="Certified",4.0
,="Whitney High School North",="Counselors  Social Workers  and School Psychologists",="Certified",4.0
,="Whitney High School West",="Counselors  Social Workers  and School Psychologists",="Certified",1.0
,="Wintergreen Interdistrict Magnet School",="Counselors  Social Workers  and School Psychologists",="Certified",4.0
="Ashford School District",="Ashford School",="Counselors  Social Workers  and School Psychologists",="Certified",1.4
="Avon School District",="Avon High School",="Counselors  Social Workers  and School Psychologists",="Certified",9.0
,="Avon Middle School",="Counselors  Social Workers  and School Psychologists",="Certified",3.0
,="Roaring Brook School",="Counselors  Social Workers  and School Psychologists",="Certified",1.0
,="Thompson Brook School",="Counselors  Social Workers  and School Psychologists",="Certified",2.0
="Berlin School District",="Berlin High School",="Counselors  Social Workers  and School Psychologists",="Certified",8.0
,="Catherine M. McGee Middle School",="Counselors  Social Workers  and School Psychologists",="Certified",4.0
,="Emma Hart Willard School",="Counselors  Social Workers  and School Psychologists",="Certified",1.4
,="Mary E. Griswold School",="Counselors  Social Workers  and School Psychologists",="Certified",1.4
,="Richard D. Hubbard School",="Counselors  Social Workers  and School Psychologists",="Certified",1.2
="Bethany School District",="Bethany Community School",="Counselors  Social Workers  and School Psychologists",="Certified",2.5
="Bethel School District",="Anna H. Rockwell School",="Counselors  Social Workers  and School Psychologists",="Certified",1.8
,="Bethel High School",="Counselors  Social Workers  and School Psychologists",="Certified",6.0
,="Bethel Middle School",="Counselors  Social Workers  and School Psychologists",="Certified",3.0
,="Frank A. Berry School",="Counselors  Social Workers  and School Psychologists",="Certified",1.9
,="Ralph M. T. Johnson School",="Counselors  Social Workers  and School Psychologists",="Certified",2.3
="Bloomfield School District",="Bloomfield High School",="Counselors  Social Workers  and School Psychologists",="Certified",5.0
,="Carmen Arace Intermediate School",="Counselors  Social Workers  and School Psychologists",="Certified",2.5
,="Carmen Arace Middle School",="Counselors  Social Workers  and School Psychologists",="Certified",2.3
,="Global Experience Magnet School",="Counselors  Social Workers  and School Psychologists",="Certified",3.2
,="Laurel School",="Counselors  Social Workers  and School Psychologists",="Certified",2.3
,="Metacomet School",="Counselors  Social Workers  and School Psychologists",="Certified",1.5
,="Wintonbury Early Childhood Magnet School",="Counselors  Social Workers  and School Psychologists",="Certified",1.2
="Bolton School District",="Bolton Center School",="Counselors  Social Workers  and School Psychologists",="Certified",3.0
,="Bolton High School",="Counselors  Social Workers  and School Psychologists",="Certified",3.7
="Bozrah School District",="Fields Memorial School",="Counselors  Social Workers  and School Psychologists",="Certified",0.9
="Branford School District",="Branford High School",="Counselors  Social Workers  and School Psychologists",="Certified",5.4
,="Branford High School Horizons Program",="Counselors  Social Workers  and School Psychologists",="Certified",0.5
,="Francis Walsh Intermediate School",="Counselors  Social Workers  and School Psychologists",="Certified",5.0
,="John B. Sliney School",="Counselors  Social Workers  and School Psychologists",="Certified",2.0
,="Mary R. Tisko School",="Counselors  Social Workers  and School Psychologists",="Certified",1.5
,="Mary T. Murphy School",="Counselors  Social Workers  and School Psychologists",="Certified",1.0
="Bridgeport Achievement First District",="Achievement First Bridgeport Academy",="Counselors  Social Workers  and School Psychologists",="Certified",2.0
="Bridgeport School District",="Aerospace/Hydrospace, Engineering and Physical Sciences HS at the Fairchild-Wheeler Magnet Campus",="Counselors  Social Workers  and School Psychologists",="Certified",2.6
,="Barnum School",="Counselors  Social Workers  and School Psychologists",="Certified",3.4
,="Bassick High School",="Counselors  Social Workers  and School Psychologists",="Certified",7.0
,="Beardsley School",="Counselors  Social Workers  and School Psychologists",="Certified",1.4
,="Biotechnology, Research and Zoological Studies HS at the Fairchild-Wheeler Magnet Campus",="Counselors  Social Workers  and School Psychologists",="Certified",1.0
,="Black Rock School",="Counselors  Social Workers  and School Psychologists",="Certified",1.6
,="Blackham School",="Counselors  Social Workers  and School Psychologists",="Certified",3.0
,="Bridgeport Learning Center",="Counselors  Social Workers  and School Psychologists",="Certified",3.0
,="Bridgeport Military Academy",="Counselors  Social Workers  and School Psychologists",="Certified",1.8
,="Bridgeport Regional Vocational Aquaculture School",="Counselors  Social Workers  and School Psychologists",="Certified",0.4
,="Bryant School",="Counselors  Social Workers  and School Psychologists",="Certified",1.4
,="Central High School",="Counselors  Social Workers  and School Psychologists",="Certified",13.6
,="Cesar Batalla School",="Counselors  Social Workers  and School Psychologists",="Certified",3.6
,="Classical Studies Academy",="Counselors  Social Workers  and School Psychologists",="Certified",0.6
,="Columbus School",="Counselors  Social Workers  and School Psychologists",="Certified",3.4
,="Cross School",="Counselors  Social Workers  and School Psychologists",="Certified",2.1
,="Curiale School",="Counselors  Social Workers  and School Psychologists",="Certified",3.8
,="Dunbar School",="Counselors  Social Workers  and School Psychologists",="Certified",3.5
,="Edison School",="Counselors  Social Workers  and School Psychologists",="Certified",0.8
,="Geraldine Johnson School",="Counselors  Social Workers  and School Psychologists",="Certified",3.4
,="Hall School",="Counselors  Social Workers  and School Psychologists",="Certified",0.6
,="Hallen School",="Counselors  Social Workers  and School Psychologists",="Certified",1.6
,="Harding High School",="Counselors  Social Workers  and School Psychologists",="Certified",8.6
,="High Horizons Magnet School",="Counselors  Social Workers  and School Psychologists",="Certified",1.8
,="Hooker School",="Counselors  Social Workers  and School Psychologists",="Certified",2.2
,="Information Technology and Software Engineering High School at the Fairchild-Wheeler Magnet Campus",="Counselors  Social Workers  and School Psychologists",="Certified",3.0
,="Interdistrict Discovery Magnet School",="Counselors  Social Workers  and School Psychologists",="Certified",2.4
,="Jettie S. Tisdale School",="Counselors  Social Workers  and School Psychologists",="Certified",4.4
,="Luis Munoz Marin School",="Counselors  Social Workers  and School Psychologists",="Certified",5.4
,="Madison School",="Counselors  Social Workers  and School Psychologists",="Certified",2.2
,="Multicultural Magnet School",="Counselors  Social Workers  and School Psychologists",="Certified",1.8
,="Park City Magnet School",="Counselors  Social Workers  and School Psychologists",="Certified",1.8
,="Read School",="Counselors  Social Workers  and School Psychologists",="Certified",3.0
,="Roosevelt School",="Counselors  Social Workers  and School Psychologists",="Certified",2.4
,="Skane Center",="Counselors  Social Workers  and School Psychologists",="Certified",3.6
,="Waltersville School",="Counselors  Social Workers  and School Psychologists",="Certified",3.0
,="Winthrop School",="Counselors  Social Workers  and School Psychologists",="Certified",2.4
="Bristol School District",="Bristol Central High School",="Counselors  Social Workers  and School Psychologists",="Certified",8.0
,="Bristol Eastern High School",="Counselors  Social Workers  and School Psychologists",="Certified",8.2
,="Chippens Hill Middle School",="Counselors  Social Workers  and School Psychologists",="Certified",4.0
,="Edgewood School",="Counselors  Social Workers  and School Psychologists",="Certified",1.0
,="Ellen P. Hubbell School",="Counselors  Social Workers  and School Psychologists",="Certified",1.0
,="Greene-Hills School",="Counselors  Social Workers  and School Psychologists",="Certified",2.7
,="Ivy Drive School",="Counselors  Social Workers  and School Psychologists",="Certified",1.0
,="Mountain View School",="Counselors  Social Workers  and School Psychologists",="Certified",1.3
,="Northeast Middle School",="Counselors  Social Workers  and School Psychologists",="Certified",3.0
,="Stafford School",="Counselors  Social Workers  and School Psychologists",="Certified",1.0
,="West Bristol School",="Counselors  Social Workers  and School Psychologists",="Certified",3.0
="Brookfield School District",="Brookfield High School",="Counselors  Social Workers  and School Psychologists",="Certified",6.5
,="Center Elementary School",="Counselors  Social Workers  and School Psychologists",="Certified",1.5
,="Huckleberry Hill Elementary School",="Counselors  Social Workers  and School Psychologists",="Certified",2.0
,="Whisconier Middle School",="Counselors  Social Workers  and School Psychologists",="Certified",6.0
="Canaan School District",="Lee H. Kellogg School",="Counselors  Social Workers  and School Psychologists",="Certified",0.5
="Canterbury School District",="Canterbury Elementary School",="Counselors  Social Workers  and School Psychologists",="Certified",1.5
,="Dr. Helen Baldwin Middle School",="Counselors  Social Workers  and School Psychologists",="Certified",1.5
="Canton School District",="Canton Academy",="Counselors  Social Workers  and School Psychologists",="Certified",0.2
,="Canton High School",="Counselors  Social Workers  and School Psychologists",="Certified",4.0
,="Canton Intermediate School",="Counselors  Social Workers  and School Psychologists",="Certified",2.0
,="Canton Middle School",="Counselors  Social Workers  and School Psychologists",="Certified",2.0
,="Cherry Brook Primary School",="Counselors  Social Workers  and School Psychologists",="Certified",1.0
="Capitol Region Education Council",="Academy of Aerospace and Engineering",="Counselors  Social Workers  and School Psychologists",="Certified",5.0
,="Academy of Aerospace and Engineering Elementary",="Counselors  Social Workers  and School Psychologists",="Certified",2.0
,="Academy of Science and Innovation",="Counselors  Social Workers  and School Psychologists",="Certified",4.0
,="Ana Grace Academy of the Arts Elementary School",="Counselors  Social Workers  and School Psychologists",="Certified",1.0
,="Discovery Academy",="Counselors  Social Workers  and School Psychologists",="Certified",0.8
,="Farmington Valley Regional Diagnostic Center",="Counselors  Social Workers  and School Psychologists",="Certified",1.0
,="Glastonbury/East Hartford Magnet School",="Counselors  Social Workers  and School Psychologists",="Certified",1.5
,="Greater Hartford Academy of Math and Science",="Counselors  Social Workers  and School Psychologists",="Certified",1.0
,="Greater Hartford Academy of the Arts High School - Full Time",="Counselors  Social Workers  and School Psychologists",="Certified",3.0
,="Greater Hartford Academy of the Arts Magnet Middle",="Counselors  Social Workers  and School Psychologists",="Certified",2.0
,="International Magnet School for Global Citizenship",="Counselors  Social Workers  and School Psychologists",="Certified",1.0
,="John J. Allison Polaris Center",="Counselors  Social Workers  and School Psychologists",="Certified",5.6
,="Metropolitan Learning Center for Global and International Studies",="Counselors  Social Workers  and School Psychologists",="Certified",5.0
,="Montessori Magnet School",="Counselors  Social Workers  and School Psychologists",="Certified",1.0
,="Museum Academy",="Counselors  Social Workers  and School Psychologists",="Certified",1.0
,="Public Safety Academy",="Counselors  Social Workers  and School Psychologists",="Certified",7.0
,="Reggio Magnet School of the Arts",="Counselors  Social Workers  and School Psychologists",="Certified",2.0
,="River Street School",="Counselors  Social Workers  and School Psychologists",="Certified",8.0
,="Two Rivers Magnet High School",="Counselors  Social Workers  and School Psychologists",="Certified",3.0
,="Two Rivers Magnet Middle School",="Counselors  Social Workers  and School Psychologists",="Certified",4.0
,="University of Hartford Magnet School",="Counselors  Social Workers  and School Psychologists",="Certified",2.0
="Chaplin School District",="Chaplin Elementary School",="Counselors  Social Workers  and School Psychologists",="Certified",1.0
="Cheshire School District",="Chapman School",="Counselors  Social Workers  and School Psychologists",="Certified",0.8
,="Cheshire High School",="Counselors  Social Workers  and School Psychologists",="Certified",9.6
,="Dodd Middle School",="Counselors  Social Workers  and School Psychologists",="Certified",3.0
,="Doolittle School",="Counselors  Social Workers  and School Psychologists",="Certified",1.5
,="Highland School",="Counselors  Social Workers  and School Psychologists",="Certified",3.4
,="Humiston Alternative School",="Counselors  Social Workers  and School Psychologists",="Certified",0.2
,="Humiston School",="Counselors  Social Workers  and School Psychologists",="Certified",0.8
,="Norton School",="Counselors  Social Workers  and School Psychologists",="Certified",1.3
="Clinton School District",="Jared Eliot School",="Counselors  Social Workers  and School Psychologists",="Certified",4.0
,="Lewin G. Joel Jr. School",="Counselors  Social Workers  and School Psychologists",="Certified",2.0
,="The Morgan School",="Counselors  Social Workers  and School Psychologists",="Certified",6.0
="Colchester School District",="Bacon Academy",="Counselors  Social Workers  and School Psychologists",="Certified",7.0
,="Bacon Academy Alternative Education",="Counselors  Social Workers  and School Psychologists",="Certified",1.0
,="Colchester Elementary School",="Counselors  Social Workers  and School Psychologists",="Certified",2.0
,="Jack Jackter Intermediate School",="Counselors  Social Workers  and School Psychologists",="Certified",2.0
,="William J. Johnston Middle School",="Counselors  Social Workers  and School Psychologists",="Certified",4.0
="Columbia School District",="Horace W. Porter School",="Counselors  Social Workers  and School Psychologists",="Certified",3.0
="Common Ground High School District",="Common Ground High School",="Counselors  Social Workers  and School Psychologists",="Certified",0.8
="Connecticut Technical High School System",="A. I. Prince Technical High School",="Counselors  Social Workers  and School Psychologists",="Certified",6.7
,="Bristol Technical Education Center",="Counselors  Social Workers  and School Psychologists",="Certified",1.0
,="Bullard-Havens Technical High School",="Counselors  Social Workers  and School Psychologists",="Certified",7.6
,="E. C. Goodwin Technical High School",="Counselors  Social Workers  and School Psychologists",="Certified",5.7
,="Eli Whitney Technical High School",="Counselors  Social Workers  and School Psychologists",="Certified",5.7
,="Ella T. Grasso Southeastern Technical High School",="Counselors  Social Workers  and School Psychologists",="Certified",5.7
,="Emmett O'Brien Technical High School",="Counselors  Social Workers  and School Psychologists",="Certified",4.7
,="H. C. Wilcox Technical High School",="Counselors  Social Workers  and School Psychologists",="Certified",5.7
,="H. H. Ellis Technical High School",="Counselors  Social Workers  and School Psychologists",="Certified",4.7
,="Henry Abbott Technical High School",="Counselors  Social Workers  and School Psychologists",="Certified",5.7
,="Howell Cheney Technical High School",="Counselors  Social Workers  and School Psychologists",="Certified",5.7
,="J. M. Wright Technical High School",="Counselors  Social Workers  and School Psychologists",="Certified",2.7
,="Norwich Technical High School",="Counselors  Social Workers  and School Psychologists",="Certified",5.7
,="Oliver Wolcott Technical High School",="Counselors  Social Workers  and School Psychologists",="Certified",4.7
,="Platt Technical High School",="Counselors  Social Workers  and School Psychologists",="Certified",6.7
,="Vinal Technical High School",="Counselors  Social Workers  and School Psychologists",="Certified",5.7
,="W. F. Kaynor Technical High School",="Counselors  Social Workers  and School Psychologists",="Certified",5.7
,="Windham Technical High School",="Counselors  Social Workers  and School Psychologists",="Certified",4.7
