"FTE Staffing Report for 2002-03"

"District","Assignment Category","Educator Type","FTE Count"
"Amistad Academy District","General Education - Paraprofessional Instructional Assistants","Non-Certified",3.0
="Andover School District",="General Education - Paraprofessional Instructional Assistants",="Non-Certified",6.3
="Ansonia School District",="General Education - Paraprofessional Instructional Assistants",="Non-Certified",24.1
="Area Cooperative Educational Services",="General Education - Paraprofessional Instructional Assistants",="Non-Certified",8.8
="Ashford School District",="General Education - Paraprofessional Instructional Assistants",="Non-Certified",2.0
="Avon School District",="General Education - Paraprofessional Instructional Assistants",="Non-Certified",5.8
="Barkhamsted School District",="General Education - Paraprofessional Instructional Assistants",="Non-Certified",6.8
="Berlin School District",="General Education - Paraprofessional Instructional Assistants",="Non-Certified",21.6
="Bethany School District",="General Education - Paraprofessional Instructional Assistants",="Non-Certified",6.5
="Bethel School District",="General Education - Paraprofessional Instructional Assistants",="Non-Certified",13.0
="Bloomfield School District",="General Education - Paraprofessional Instructional Assistants",="Non-Certified",44.5
="Bolton School District",="General Education - Paraprofessional Instructional Assistants",="Non-Certified",9.5
="Bozrah School District",="General Education - Paraprofessional Instructional Assistants",="Non-Certified",4.1
="Branford School District",="General Education - Paraprofessional Instructional Assistants",="Non-Certified",20.4
="Bridgeport School District",="General Education - Paraprofessional Instructional Assistants",="Non-Certified",162.0
="Bristol School District",="General Education - Paraprofessional Instructional Assistants",="Non-Certified",7.3
="Brookfield School District",="General Education - Paraprofessional Instructional Assistants",="Non-Certified",13.8
="Brooklyn School District",="General Education - Paraprofessional Instructional Assistants",="Non-Certified",12.2
="Canaan School District",="General Education - Paraprofessional Instructional Assistants",="Non-Certified",2.0
="Canterbury School District",="General Education - Paraprofessional Instructional Assistants",="Non-Certified",4.5
="Canton School District",="General Education - Paraprofessional Instructional Assistants",="Non-Certified",23.6
="Capitol Region Education Council",="General Education - Paraprofessional Instructional Assistants",="Non-Certified",41.4
="Chaplin School District",="General Education - Paraprofessional Instructional Assistants",="Non-Certified",11.0
="Cheshire School District",="General Education - Paraprofessional Instructional Assistants",="Non-Certified",33.5
="Chester School District",="General Education - Paraprofessional Instructional Assistants",="Non-Certified",4.6
="Clinton School District",="General Education - Paraprofessional Instructional Assistants",="Non-Certified",11.9
="Colchester School District",="General Education - Paraprofessional Instructional Assistants",="Non-Certified",17.0
="Colebrook School District",="General Education - Paraprofessional Instructional Assistants",="Non-Certified",3.7
="Columbia School District",="General Education - Paraprofessional Instructional Assistants",="Non-Certified",6.0
="Common Ground High School District",="General Education - Paraprofessional Instructional Assistants",="Non-Certified",1.0
="Connecticut Technical High School System",="General Education - Paraprofessional Instructional Assistants",="Non-Certified",0.0
="Cooperative Educational Services",="General Education - Paraprofessional Instructional Assistants",="Non-Certified",29.2
="Cornwall School District",="General Education - Paraprofessional Instructional Assistants",="Non-Certified",2.5
="Coventry School District",="General Education - Paraprofessional Instructional Assistants",="Non-Certified",21.5
="Cromwell School District",="General Education - Paraprofessional Instructional Assistants",="Non-Certified",19.0
="Danbury School District",="General Education - Paraprofessional Instructional Assistants",="Non-Certified",70.0
="Darien School District",="General Education - Paraprofessional Instructional Assistants",="Non-Certified",37.1
="Deep River School District",="General Education - Paraprofessional Instructional Assistants",="Non-Certified",8.0
="Derby School District",="General Education - Paraprofessional Instructional Assistants",="Non-Certified",16.5
="East Granby School District",="General Education - Paraprofessional Instructional Assistants",="Non-Certified",4.5
="East Haddam School District",="General Education - Paraprofessional Instructional Assistants",="Non-Certified",8.5
="East Hampton School District",="General Education - Paraprofessional Instructional Assistants",="Non-Certified",8.5
="East Hartford School District",="General Education - Paraprofessional Instructional Assistants",="Non-Certified",62.0
="East Haven School District",="General Education - Paraprofessional Instructional Assistants",="Non-Certified",20.0
="East Lyme School District",="General Education - Paraprofessional Instructional Assistants",="Non-Certified",16.5
="East Windsor School District",="General Education - Paraprofessional Instructional Assistants",="Non-Certified",17.0
="Eastern Connecticut Regional Educational Service Center (EASTCONN)",="General Education - Paraprofessional Instructional Assistants",="Non-Certified",22.0
="Eastford School District",="General Education - Paraprofessional Instructional Assistants",="Non-Certified",0.5
="Easton School District",="General Education - Paraprofessional Instructional Assistants",="Non-Certified",6.0
="EdAdvance",="General Education - Paraprofessional Instructional Assistants",="Non-Certified",26.5
="Ellington School District",="General Education - Paraprofessional Instructional Assistants",="Non-Certified",13.9
="Enfield School District",="General Education - Paraprofessional Instructional Assistants",="Non-Certified",38.9
="Essex School District",="General Education - Paraprofessional Instructional Assistants",="Non-Certified",9.3
