"FTE Staffing Report for 2002-03"

"District","Assignment Category","Educator Type","FTE Count"
"Amistad Academy District","Administrators  Coordinators and Department Chairs - School Level","Certified",1.8
="Andover School District",="Administrators  Coordinators and Department Chairs - School Level",="Certified",1.4
="Ansonia School District",="Administrators  Coordinators and Department Chairs - School Level",="Certified",7.2
="Area Cooperative Educational Services",="Administrators  Coordinators and Department Chairs - School Level",="Certified",15.2
="Ashford School District",="Administrators  Coordinators and Department Chairs - School Level",="Certified",2.0
="Avon School District",="Administrators  Coordinators and Department Chairs - School Level",="Certified",12.4
="Barkhamsted School District",="Administrators  Coordinators and Department Chairs - School Level",="Certified",1.0
="Berlin School District",="Administrators  Coordinators and Department Chairs - School Level",="Certified",12.9
="Bethany School District",="Administrators  Coordinators and Department Chairs - School Level",="Certified",1.2
="Bethel School District",="Administrators  Coordinators and Department Chairs - School Level",="Certified",11.0
="Bloomfield School District",="Administrators  Coordinators and Department Chairs - School Level",="Certified",9.0
="Bolton School District",="Administrators  Coordinators and Department Chairs - School Level",="Certified",3.0
="Bozrah School District",="Administrators  Coordinators and Department Chairs - School Level",="Certified",1.5
="Branford School District",="Administrators  Coordinators and Department Chairs - School Level",="Certified",14.4
="Bridgeport School District",="Administrators  Coordinators and Department Chairs - School Level",="Certified",66.0
="Bristol School District",="Administrators  Coordinators and Department Chairs - School Level",="Certified",25.0
="Brookfield School District",="Administrators  Coordinators and Department Chairs - School Level",="Certified",12.6
="Brooklyn School District",="Administrators  Coordinators and Department Chairs - School Level",="Certified",3.7
="Canaan School District",="Administrators  Coordinators and Department Chairs - School Level",="Certified",1.0
="Canterbury School District",="Administrators  Coordinators and Department Chairs - School Level",="Certified",2.0
="Canton School District",="Administrators  Coordinators and Department Chairs - School Level",="Certified",7.4
="Capitol Region Education Council",="Administrators  Coordinators and Department Chairs - School Level",="Certified",13.0
="Chaplin School District",="Administrators  Coordinators and Department Chairs - School Level",="Certified",1.0
="Cheshire School District",="Administrators  Coordinators and Department Chairs - School Level",="Certified",17.5
="Chester School District",="Administrators  Coordinators and Department Chairs - School Level",="Certified",1.0
