"FTE Staffing Report for 2005-06"

"District","Assignment Category","Educator Type","FTE Count"
"Amistad Academy District","General Education - Paraprofessional Instructional Assistants","Non-Certified",0.5
,="Library/Media - Support Staff",="Non-Certified",0.0
,="School Nurses",="Non-Certified",0.0
,="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",0.5
="Andover School District",="General Education - Paraprofessional Instructional Assistants",="Non-Certified",2.7
,="Library/Media - Support Staff",="Non-Certified",0.0
,="School Nurses",="Non-Certified",1.0
,="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",5.0
="Ansonia School District",="General Education - Paraprofessional Instructional Assistants",="Non-Certified",40.0
,="Library/Media - Support Staff",="Non-Certified",3.4
,="School Nurses",="Non-Certified",4.6
,="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",27.0
="Area Cooperative Educational Services",="General Education - Paraprofessional Instructional Assistants",="Non-Certified",27.5
,="Library/Media - Support Staff",="Non-Certified",0.0
,="School Nurses",="Non-Certified",2.6
,="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",1.0
="Ashford School District",="General Education - Paraprofessional Instructional Assistants",="Non-Certified",4.0
,="Library/Media - Support Staff",="Non-Certified",0.5
,="School Nurses",="Non-Certified",1.2
,="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",13.0
="Avon School District",="General Education - Paraprofessional Instructional Assistants",="Non-Certified",0.8
,="Library/Media - Support Staff",="Non-Certified",2.5
,="School Nurses",="Non-Certified",5.0
,="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",6.0
="Barkhamsted School District",="General Education - Paraprofessional Instructional Assistants",="Non-Certified",5.8
,="Library/Media - Support Staff",="Non-Certified",1.0
,="School Nurses",="Non-Certified",1.0
,="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",5.6
="Berlin School District",="General Education - Paraprofessional Instructional Assistants",="Non-Certified",23.2
,="Library/Media - Support Staff",="Non-Certified",5.2
,="School Nurses",="Non-Certified",5.5
,="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",43.7
="Bethany School District",="General Education - Paraprofessional Instructional Assistants",="Non-Certified",7.4
,="Library/Media - Support Staff",="Non-Certified",2.0
,="School Nurses",="Non-Certified",1.0
,="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",11.2
="Bethel School District",="General Education - Paraprofessional Instructional Assistants",="Non-Certified",7.0
,="Library/Media - Support Staff",="Non-Certified",5.0
,="School Nurses",="Non-Certified",6.0
,="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",38.0
="Bloomfield School District",="General Education - Paraprofessional Instructional Assistants",="Non-Certified",25.0
,="Library/Media - Support Staff",="Non-Certified",5.0
,="School Nurses",="Non-Certified",5.5
,="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",36.0
="Bozrah School District",="General Education - Paraprofessional Instructional Assistants",="Non-Certified",3.8
,="Library/Media - Support Staff",="Non-Certified",0.0
,="School Nurses",="Non-Certified",1.0
,="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",5.0
="Branford School District",="General Education - Paraprofessional Instructional Assistants",="Non-Certified",17.3
,="Library/Media - Support Staff",="Non-Certified",4.1
,="School Nurses",="Non-Certified",7.0
,="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",65.2
="Bridgeport School District",="General Education - Paraprofessional Instructional Assistants",="Non-Certified",151.0
,="Library/Media - Support Staff",="Non-Certified",18.5
,="School Nurses",="Non-Certified",29.4
,="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",157.0
="Bristol School District",="General Education - Paraprofessional Instructional Assistants",="Non-Certified",7.9
,="Library/Media - Support Staff",="Non-Certified",14.0
,="School Nurses",="Non-Certified",15.0
,="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",108.0
="Brookfield School District",="General Education - Paraprofessional Instructional Assistants",="Non-Certified",17.8
,="Library/Media - Support Staff",="Non-Certified",4.0
,="School Nurses",="Non-Certified",7.2
,="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",58.0
="Brooklyn School District",="General Education - Paraprofessional Instructional Assistants",="Non-Certified",12.2
,="Library/Media - Support Staff",="Non-Certified",0.4
,="School Nurses",="Non-Certified",2.0
,="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",18.4
="Canaan School District",="General Education - Paraprofessional Instructional Assistants",="Non-Certified",1.0
,="Library/Media - Support Staff",="Non-Certified",0.0
,="School Nurses",="Non-Certified",1.0
,="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",1.5
="Canton School District",="General Education - Paraprofessional Instructional Assistants",="Non-Certified",30.5
,="Library/Media - Support Staff",="Non-Certified",4.6
,="School Nurses",="Non-Certified",3.0
,="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",40.7
="Capitol Region Education Council",="General Education - Paraprofessional Instructional Assistants",="Non-Certified",87.1
,="Library/Media - Support Staff",="Non-Certified",2.0
,="School Nurses",="Non-Certified",9.2
,="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",45.3
="Chaplin School District",="General Education - Paraprofessional Instructional Assistants",="Non-Certified",4.8
,="Library/Media - Support Staff",="Non-Certified",2.0
,="School Nurses",="Non-Certified",1.0
,="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",4.5
="Cheshire School District",="General Education - Paraprofessional Instructional Assistants",="Non-Certified",37.0
,="Library/Media - Support Staff",="Non-Certified",12.0
,="School Nurses",="Non-Certified",7.4
,="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",70.6
="Chester School District",="General Education - Paraprofessional Instructional Assistants",="Non-Certified",5.0
,="Library/Media - Support Staff",="Non-Certified",1.0
,="School Nurses",="Non-Certified",1.0
,="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",4.6
="Clinton School District",="General Education - Paraprofessional Instructional Assistants",="Non-Certified",10.7
,="Library/Media - Support Staff",="Non-Certified",1.7
,="School Nurses",="Non-Certified",3.8
,="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",31.9
="Colchester School District",="General Education - Paraprofessional Instructional Assistants",="Non-Certified",23.4
,="Library/Media - Support Staff",="Non-Certified",4.0
,="School Nurses",="Non-Certified",5.0
,="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",41.0
="Colebrook School District",="General Education - Paraprofessional Instructional Assistants",="Non-Certified",3.7
,="Library/Media - Support Staff",="Non-Certified",1.0
,="School Nurses",="Non-Certified",1.0
,="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",2.7
="Columbia School District",="General Education - Paraprofessional Instructional Assistants",="Non-Certified",10.5
,="Library/Media - Support Staff",="Non-Certified",1.0
,="School Nurses",="Non-Certified",2.0
,="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",10.5
="Connecticut Technical High School System",="General Education - Paraprofessional Instructional Assistants",="Non-Certified",0.0
,="Library/Media - Support Staff",="Non-Certified",0.0
,="School Nurses",="Non-Certified",17.0
,="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",46.8
="Cooperative Educational Services",="General Education - Paraprofessional Instructional Assistants",="Non-Certified",20.0
,="Library/Media - Support Staff",="Non-Certified",1.0
,="School Nurses",="Non-Certified",1.0
,="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",0.0
="Cornwall School District",="General Education - Paraprofessional Instructional Assistants",="Non-Certified",2.0
,="Library/Media - Support Staff",="Non-Certified",0.0
,="School Nurses",="Non-Certified",0.8
,="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",2.2
="Coventry School District",="General Education - Paraprofessional Instructional Assistants",="Non-Certified",19.5
,="Library/Media - Support Staff",="Non-Certified",3.0
,="School Nurses",="Non-Certified",4.0
,="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",31.2
="Cromwell School District",="General Education - Paraprofessional Instructional Assistants",="Non-Certified",7.2
,="Library/Media - Support Staff",="Non-Certified",2.0
,="School Nurses",="Non-Certified",4.0
,="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",28.5
="Danbury School District",="General Education - Paraprofessional Instructional Assistants",="Non-Certified",81.4
,="Library/Media - Support Staff",="Non-Certified",13.7
,="School Nurses",="Non-Certified",19.6
,="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",99.0
="Darien School District",="General Education - Paraprofessional Instructional Assistants",="Non-Certified",42.9
,="Library/Media - Support Staff",="Non-Certified",11.5
,="School Nurses",="Non-Certified",10.0
,="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",63.9
="Deep River School District",="General Education - Paraprofessional Instructional Assistants",="Non-Certified",11.6
,="Library/Media - Support Staff",="Non-Certified",1.0
,="School Nurses",="Non-Certified",1.0
,="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",8.6
="Derby School District",="General Education - Paraprofessional Instructional Assistants",="Non-Certified",13.0
,="Library/Media - Support Staff",="Non-Certified",1.0
,="School Nurses",="Non-Certified",3.0
,="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",24.5
="East Granby School District",="General Education - Paraprofessional Instructional Assistants",="Non-Certified",5.8
,="Library/Media - Support Staff",="Non-Certified",1.1
,="School Nurses",="Non-Certified",2.7
,="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",26.8
="East Haddam School District",="General Education - Paraprofessional Instructional Assistants",="Non-Certified",7.0
,="Library/Media - Support Staff",="Non-Certified",3.0
,="School Nurses",="Non-Certified",4.0
,="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",13.5
="East Hampton School District",="General Education - Paraprofessional Instructional Assistants",="Non-Certified",10.5
,="Library/Media - Support Staff",="Non-Certified",4.0
,="School Nurses",="Non-Certified",4.0
,="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",29.3
="East Hartford School District",="General Education - Paraprofessional Instructional Assistants",="Non-Certified",76.8
,="Library/Media - Support Staff",="Non-Certified",14.0
,="School Nurses",="Non-Certified",17.2
,="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",88.0
="East Haven School District",="General Education - Paraprofessional Instructional Assistants",="Non-Certified",21.0
,="Library/Media - Support Staff",="Non-Certified",7.8
,="School Nurses",="Non-Certified",10.0
,="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",31.8
="East Lyme School District",="General Education - Paraprofessional Instructional Assistants",="Non-Certified",16.3
,="Library/Media - Support Staff",="Non-Certified",4.1
,="School Nurses",="Non-Certified",5.5
,="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",108.8
="Eastern Connecticut Regional Educational Service Center (EASTCONN)",="General Education - Paraprofessional Instructional Assistants",="Non-Certified",22.0
,="Library/Media - Support Staff",="Non-Certified",0.0
,="School Nurses",="Non-Certified",0.0
,="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",0.0
="Eastford School District",="General Education - Paraprofessional Instructional Assistants",="Non-Certified",2.0
