"FTE Staffing Report for 2010-11"

"District","Assignment Category","Educator Type","FTE Count"
"Amistad Academy District","Instructional Specialists Who Support Teachers","Certified",3.5
="Andover School District",="Instructional Specialists Who Support Teachers",="Certified",1.2
="Ansonia School District",="Instructional Specialists Who Support Teachers",="Certified",9.0
="Area Cooperative Educational Services",="Instructional Specialists Who Support Teachers",="Certified",12.3
="Ashford School District",="Instructional Specialists Who Support Teachers",="Certified",1.1
="Avon School District",="Instructional Specialists Who Support Teachers",="Certified",12.9
="Barkhamsted School District",="Instructional Specialists Who Support Teachers",="Certified",0.9
="Berlin School District",="Instructional Specialists Who Support Teachers",="Certified",12.1
="Bethany School District",="Instructional Specialists Who Support Teachers",="Certified",3.0
="Bethel School District",="Instructional Specialists Who Support Teachers",="Certified",6.6
="Bloomfield School District",="Instructional Specialists Who Support Teachers",="Certified",9.7
="Bolton School District",="Instructional Specialists Who Support Teachers",="Certified",4.0
="Bozrah School District",="Instructional Specialists Who Support Teachers",="Certified",1.0
="Branford School District",="Instructional Specialists Who Support Teachers",="Certified",7.9
="Bridgeport School District",="Instructional Specialists Who Support Teachers",="Certified",96.3
="Bristol School District",="Instructional Specialists Who Support Teachers",="Certified",35.3
="Brookfield School District",="Instructional Specialists Who Support Teachers",="Certified",6.3
="Brooklyn School District",="Instructional Specialists Who Support Teachers",="Certified",3.0
="Canaan School District",="Instructional Specialists Who Support Teachers",="Certified",0.5
="Canterbury School District",="Instructional Specialists Who Support Teachers",="Certified",1.0
="Canton School District",="Instructional Specialists Who Support Teachers",="Certified",4.6
="Capitol Region Education Council",="Instructional Specialists Who Support Teachers",="Certified",30.7
="Chaplin School District",="Instructional Specialists Who Support Teachers",="Certified",2.0
="Charter School for Young Children on Asylum Hill District",="Instructional Specialists Who Support Teachers",="Certified",1.0
="Cheshire School District",="Instructional Specialists Who Support Teachers",="Certified",13.7
="Chester School District",="Instructional Specialists Who Support Teachers",="Certified",1.8
="Clinton School District",="Instructional Specialists Who Support Teachers",="Certified",6.0
="Colchester School District",="Instructional Specialists Who Support Teachers",="Certified",13.1
="Colebrook School District",="Instructional Specialists Who Support Teachers",="Certified",0.3
="Columbia School District",="Instructional Specialists Who Support Teachers",="Certified",2.6
="Connecticut Technical High School System",="Instructional Specialists Who Support Teachers",="Certified",1.0
="Cooperative Educational Services",="Instructional Specialists Who Support Teachers",="Certified",13.3
="Cornwall School District",="Instructional Specialists Who Support Teachers",="Certified",0.5
="Coventry School District",="Instructional Specialists Who Support Teachers",="Certified",5.4
="Cromwell School District",="Instructional Specialists Who Support Teachers",="Certified",6.0
="Danbury School District",="Instructional Specialists Who Support Teachers",="Certified",38.4
="Darien School District",="Instructional Specialists Who Support Teachers",="Certified",28.0
="Deep River School District",="Instructional Specialists Who Support Teachers",="Certified",2.0
="Derby School District",="Instructional Specialists Who Support Teachers",="Certified",2.0
="East Granby School District",="Instructional Specialists Who Support Teachers",="Certified",1.4
="East Haddam School District",="Instructional Specialists Who Support Teachers",="Certified",2.0
="East Hampton School District",="Instructional Specialists Who Support Teachers",="Certified",5.0
="East Hartford School District",="Instructional Specialists Who Support Teachers",="Certified",32.8
="East Haven School District",="Instructional Specialists Who Support Teachers",="Certified",9.6
="East Lyme School District",="Instructional Specialists Who Support Teachers",="Certified",5.0
="East Windsor School District",="Instructional Specialists Who Support Teachers",="Certified",4.4
="Eastern Connecticut Regional Educational Service Center (EASTCONN)",="Instructional Specialists Who Support Teachers",="Certified",2.3
="Easton School District",="Instructional Specialists Who Support Teachers",="Certified",6.6
="EdAdvance",="Instructional Specialists Who Support Teachers",="Certified",0.3
="Ellington School District",="Instructional Specialists Who Support Teachers",="Certified",10.3
="Enfield School District",="Instructional Specialists Who Support Teachers",="Certified",10.6
="Essex School District",="Instructional Specialists Who Support Teachers",="Certified",3.5
="Fairfield School District",="Instructional Specialists Who Support Teachers",="Certified",51.7
="Farmington School District",="Instructional Specialists Who Support Teachers",="Certified",11.0
="Franklin School District",="Instructional Specialists Who Support Teachers",="Certified",0.8
="Glastonbury School District",="Instructional Specialists Who Support Teachers",="Certified",12.8
="Granby School District",="Instructional Specialists Who Support Teachers",="Certified",7.4
="Greenwich School District",="Instructional Specialists Who Support Teachers",="Certified",44.5
="Griswold School District",="Instructional Specialists Who Support Teachers",="Certified",5.3
="Groton School District",="Instructional Specialists Who Support Teachers",="Certified",13.0
="Guilford School District",="Instructional Specialists Who Support Teachers",="Certified",11.0
="Hamden School District",="Instructional Specialists Who Support Teachers",="Certified",27.2
="Hampton School District",="Instructional Specialists Who Support Teachers",="Certified",0.7
="Hartford School District",="Instructional Specialists Who Support Teachers",="Certified",112.5
="Hartland School District",="Instructional Specialists Who Support Teachers",="Certified",0.2
="Hebron School District",="Instructional Specialists Who Support Teachers",="Certified",7.9
="Highville Charter School District",="Instructional Specialists Who Support Teachers",="Certified",1.0
="Kent School District",="Instructional Specialists Who Support Teachers",="Certified",1.0
="Killingly School District",="Instructional Specialists Who Support Teachers",="Certified",6.8
="Learn",="Instructional Specialists Who Support Teachers",="Certified",8.5
="Lebanon School District",="Instructional Specialists Who Support Teachers",="Certified",3.0
="Ledyard School District",="Instructional Specialists Who Support Teachers",="Certified",10.0
="Lisbon School District",="Instructional Specialists Who Support Teachers",="Certified",1.8
="Litchfield School District",="Instructional Specialists Who Support Teachers",="Certified",3.0
="Madison School District",="Instructional Specialists Who Support Teachers",="Certified",11.5
="Manchester School District",="Instructional Specialists Who Support Teachers",="Certified",30.4
="Mansfield School District",="Instructional Specialists Who Support Teachers",="Certified",7.0
="Marlborough School District",="Instructional Specialists Who Support Teachers",="Certified",3.0
="Meriden School District",="Instructional Specialists Who Support Teachers",="Certified",22.6
="Middletown School District",="Instructional Specialists Who Support Teachers",="Certified",22.0
="Milford School District",="Instructional Specialists Who Support Teachers",="Certified",36.4
="Monroe School District",="Instructional Specialists Who Support Teachers",="Certified",7.1
="Montville School District",="Instructional Specialists Who Support Teachers",="Certified",6.8
="Naugatuck School District",="Instructional Specialists Who Support Teachers",="Certified",14.5
="New Britain School District",="Instructional Specialists Who Support Teachers",="Certified",28.0
="New Canaan School District",="Instructional Specialists Who Support Teachers",="Certified",19.8
="New Fairfield School District",="Instructional Specialists Who Support Teachers",="Certified",6.0
="New Hartford School District",="Instructional Specialists Who Support Teachers",="Certified",2.8
="New Haven School District",="Instructional Specialists Who Support Teachers",="Certified",98.0
="New London School District",="Instructional Specialists Who Support Teachers",="Certified",10.3
="New Milford School District",="Instructional Specialists Who Support Teachers",="Certified",14.3
="Newington School District",="Instructional Specialists Who Support Teachers",="Certified",14.2
="Newtown School District",="Instructional Specialists Who Support Teachers",="Certified",24.1
="Norfolk School District",="Instructional Specialists Who Support Teachers",="Certified",1.2
="North Branford School District",="Instructional Specialists Who Support Teachers",="Certified",8.7
="North Canaan School District",="Instructional Specialists Who Support Teachers",="Certified",1.0
="North Haven School District",="Instructional Specialists Who Support Teachers",="Certified",9.5
="North Stonington School District",="Instructional Specialists Who Support Teachers",="Certified",2.0
="Norwalk School District",="Instructional Specialists Who Support Teachers",="Certified",29.0
="Norwich Free Academy District",="Instructional Specialists Who Support Teachers",="Certified",0.6
="Norwich School District",="Instructional Specialists Who Support Teachers",="Certified",11.0
="Office of Early Childhood (OEC)",="Instructional Specialists Who Support Teachers",="Certified",3.0
="Old Saybrook School District",="Instructional Specialists Who Support Teachers",="Certified",5.0
="Orange School District",="Instructional Specialists Who Support Teachers",="Certified",7.6
="Oxford School District",="Instructional Specialists Who Support Teachers",="Certified",3.0
="Plainfield School District",="Instructional Specialists Who Support Teachers",="Certified",5.0
="Plainville School District",="Instructional Specialists Who Support Teachers",="Certified",5.0
="Plymouth School District",="Instructional Specialists Who Support Teachers",="Certified",2.4
="Pomfret School District",="Instructional Specialists Who Support Teachers",="Certified",1.0
="Portland School District",="Instructional Specialists Who Support Teachers",="Certified",2.0
="Preston School District",="Instructional Specialists Who Support Teachers",="Certified",1.6
="Putnam School District",="Instructional Specialists Who Support Teachers",="Certified",4.8
="Redding School District",="Instructional Specialists Who Support Teachers",="Certified",9.4
="Regional School District 01",="Instructional Specialists Who Support Teachers",="Certified",0.2
="Regional School District 04",="Instructional Specialists Who Support Teachers",="Certified",0.5
="Regional School District 05",="Instructional Specialists Who Support Teachers",="Certified",9.6
="Regional School District 06",="Instructional Specialists Who Support Teachers",="Certified",6.5
="Regional School District 07",="Instructional Specialists Who Support Teachers",="Certified",1.6
="Regional School District 08",="Instructional Specialists Who Support Teachers",="Certified",1.0
="Regional School District 09",="Instructional Specialists Who Support Teachers",="Certified",6.3
="Regional School District 10",="Instructional Specialists Who Support Teachers",="Certified",9.5
="Regional School District 12",="Instructional Specialists Who Support Teachers",="Certified",2.0
="Regional School District 13",="Instructional Specialists Who Support Teachers",="Certified",6.1
="Regional School District 14",="Instructional Specialists Who Support Teachers",="Certified",8.5
="Regional School District 15",="Instructional Specialists Who Support Teachers",="Certified",16.3
="Regional School District 16",="Instructional Specialists Who Support Teachers",="Certified",7.5
="Regional School District 17",="Instructional Specialists Who Support Teachers",="Certified",3.5
="Regional School District 18",="Instructional Specialists Who Support Teachers",="Certified",4.2
="Regional School District 19",="Instructional Specialists Who Support Teachers",="Certified",1.0
="Ridgefield School District",="Instructional Specialists Who Support Teachers",="Certified",9.6
="Rocky Hill School District",="Instructional Specialists Who Support Teachers",="Certified",6.9
="Salem School District",="Instructional Specialists Who Support Teachers",="Certified",3.2
="Salisbury School District",="Instructional Specialists Who Support Teachers",="Certified",0.8
="Scotland School District",="Instructional Specialists Who Support Teachers",="Certified",1.0
="Seymour School District",="Instructional Specialists Who Support Teachers",="Certified",9.0
="Sharon School District",="Instructional Specialists Who Support Teachers",="Certified",1.0
="Shelton School District",="Instructional Specialists Who Support Teachers",="Certified",11.0
="Sherman School District",="Instructional Specialists Who Support Teachers",="Certified",1.3
="Simsbury School District",="Instructional Specialists Who Support Teachers",="Certified",21.5
="Somers School District",="Instructional Specialists Who Support Teachers",="Certified",4.5
="South Windsor School District",="Instructional Specialists Who Support Teachers",="Certified",13.6
="Southington School District",="Instructional Specialists Who Support Teachers",="Certified",12.5
="Stafford School District",="Instructional Specialists Who Support Teachers",="Certified",7.0
="Stamford School District",="Instructional Specialists Who Support Teachers",="Certified",69.0
="Sterling School District",="Instructional Specialists Who Support Teachers",="Certified",1.0
="Stonington School District",="Instructional Specialists Who Support Teachers",="Certified",4.6
="Stratford School District",="Instructional Specialists Who Support Teachers",="Certified",21.0
="Suffield School District",="Instructional Specialists Who Support Teachers",="Certified",6.1
="Thomaston School District",="Instructional Specialists Who Support Teachers",="Certified",2.0
="Thompson School District",="Instructional Specialists Who Support Teachers",="Certified",2.0
="Tolland School District",="Instructional Specialists Who Support Teachers",="Certified",7.0
="Torrington School District",="Instructional Specialists Who Support Teachers",="Certified",14.8
="Trumbull School District",="Instructional Specialists Who Support Teachers",="Certified",24.8
="Unified School District #2",="Instructional Specialists Who Support Teachers",="Certified",2.0
="Vernon School District",="Instructional Specialists Who Support Teachers",="Certified",12.5
="Voluntown School District",="Instructional Specialists Who Support Teachers",="Certified",1.8
="Wallingford School District",="Instructional Specialists Who Support Teachers",="Certified",18.2
="Waterbury School District",="Instructional Specialists Who Support Teachers",="Certified",73.2
="Waterford School District",="Instructional Specialists Who Support Teachers",="Certified",9.5
="Watertown School District",="Instructional Specialists Who Support Teachers",="Certified",6.4
="West Hartford School District",="Instructional Specialists Who Support Teachers",="Certified",37.2
="West Haven School District",="Instructional Specialists Who Support Teachers",="Certified",30.9
="Westbrook School District",="Instructional Specialists Who Support Teachers",="Certified",2.6
="Weston School District",="Instructional Specialists Who Support Teachers",="Certified",9.4
