"FTE Staffing Report for 2013-14"

"District","Assignment Category","Educator Type","FTE Count"
"Achievement First Hartford Academy Inc. District","Administrators  Coordinators and Department Chairs - School Level","Certified",15.0
,="Counselors  Social Workers  and School Psychologists",="Certified",2.0
,="General Education - Teachers and Instructors",="Certified",75.0
,="Special Education - Teachers and Instructors",="Certified",6.0
="Amistad Academy District",="Administrators  Coordinators and Department Chairs - School Level",="Certified",16.1
,="Counselors  Social Workers  and School Psychologists",="Certified",4.8
,="General Education - Teachers and Instructors",="Certified",89.3
,="Special Education - Teachers and Instructors",="Certified",11.0
,="Library/Media - Specialists (Certified)",="Certified",0.5
="Andover School District",="Administrators  Coordinators and Department Chairs - School Level",="Certified",2.0
,="General Education - Teachers and Instructors",="Certified",24.7
,="Special Education - Teachers and Instructors",="Certified",3.0
,="Library/Media - Specialists (Certified)",="Certified",1.0
,="Administrators  Coordinators and Department Chairs - District Central Office",="Certified",0.6
,="Instructional Specialists Who Support Teachers",="Certified",1.4
="Ansonia School District",="Administrators  Coordinators and Department Chairs - School Level",="Certified",8.0
,="Counselors  Social Workers  and School Psychologists",="Certified",13.0
,="General Education - Teachers and Instructors",="Certified",145.0
,="Special Education - Teachers and Instructors",="Certified",21.0
,="Library/Media - Specialists (Certified)",="Certified",1.0
,="Administrators  Coordinators and Department Chairs - District Central Office",="Certified",5.0
,="Instructional Specialists Who Support Teachers",="Certified",11.0
="Area Cooperative Educational Services",="Administrators  Coordinators and Department Chairs - School Level",="Certified",12.0
,="Counselors  Social Workers  and School Psychologists",="Certified",26.0
,="General Education - Teachers and Instructors",="Certified",114.8
,="Special Education - Teachers and Instructors",="Certified",87.0
,="Library/Media - Specialists (Certified)",="Certified",3.0
,="Administrators  Coordinators and Department Chairs - District Central Office",="Certified",8.0
,="Instructional Specialists Who Support Teachers",="Certified",13.5
="Ashford School District",="Administrators  Coordinators and Department Chairs - School Level",="Certified",3.0
,="Counselors  Social Workers  and School Psychologists",="Certified",2.0
,="General Education - Teachers and Instructors",="Certified",38.0
,="Special Education - Teachers and Instructors",="Certified",4.0
,="Instructional Specialists Who Support Teachers",="Certified",1.0
="Avon School District",="Administrators  Coordinators and Department Chairs - School Level",="Certified",12.0
,="Counselors  Social Workers  and School Psychologists",="Certified",19.5
,="General Education - Teachers and Instructors",="Certified",212.5
,="Special Education - Teachers and Instructors",="Certified",28.8
,="Library/Media - Specialists (Certified)",="Certified",5.0
,="Administrators  Coordinators and Department Chairs - District Central Office",="Certified",5.0
,="Instructional Specialists Who Support Teachers",="Certified",12.5
="Barkhamsted School District",="Administrators  Coordinators and Department Chairs - School Level",="Certified",1.0
,="Counselors  Social Workers  and School Psychologists",="Certified",1.4
,="General Education - Teachers and Instructors",="Certified",20.5
,="Special Education - Teachers and Instructors",="Certified",3.0
,="Library/Media - Specialists (Certified)",="Certified",1.0
,="Administrators  Coordinators and Department Chairs - District Central Office",="Certified",0.4
,="Instructional Specialists Who Support Teachers",="Certified",1.5
="Berlin School District",="Administrators  Coordinators and Department Chairs - School Level",="Certified",14.0
,="Counselors  Social Workers  and School Psychologists",="Certified",16.8
,="General Education - Teachers and Instructors",="Certified",208.5
,="Special Education - Teachers and Instructors",="Certified",35.1
,="Library/Media - Specialists (Certified)",="Certified",4.6
,="Administrators  Coordinators and Department Chairs - District Central Office",="Certified",7.0
,="Instructional Specialists Who Support Teachers",="Certified",10.1
="Bethany School District",="Administrators  Coordinators and Department Chairs - School Level",="Certified",2.0
,="Counselors  Social Workers  and School Psychologists",="Certified",2.4
,="General Education - Teachers and Instructors",="Certified",36.0
,="Special Education - Teachers and Instructors",="Certified",6.0
,="Administrators  Coordinators and Department Chairs - District Central Office",="Certified",1.0
,="Instructional Specialists Who Support Teachers",="Certified",2.8
="Bethel School District",="Administrators  Coordinators and Department Chairs - School Level",="Certified",10.6
,="Counselors  Social Workers  and School Psychologists",="Certified",18.9
,="General Education - Teachers and Instructors",="Certified",191.2
,="Special Education - Teachers and Instructors",="Certified",33.8
,="Library/Media - Specialists (Certified)",="Certified",4.0
,="Administrators  Coordinators and Department Chairs - District Central Office",="Certified",4.5
,="Instructional Specialists Who Support Teachers",="Certified",8.9
="Bloomfield School District",="Administrators  Coordinators and Department Chairs - School Level",="Certified",9.0
,="Counselors  Social Workers  and School Psychologists",="Certified",21.0
,="General Education - Teachers and Instructors",="Certified",181.4
,="Special Education - Teachers and Instructors",="Certified",22.0
,="Library/Media - Specialists (Certified)",="Certified",1.0
,="Administrators  Coordinators and Department Chairs - District Central Office",="Certified",6.0
,="Instructional Specialists Who Support Teachers",="Certified",16.6
="Bolton School District",="Administrators  Coordinators and Department Chairs - School Level",="Certified",3.0
,="Counselors  Social Workers  and School Psychologists",="Certified",6.5
,="General Education - Teachers and Instructors",="Certified",59.0
,="Special Education - Teachers and Instructors",="Certified",7.8
,="Library/Media - Specialists (Certified)",="Certified",2.0
,="Administrators  Coordinators and Department Chairs - District Central Office",="Certified",3.0
,="Instructional Specialists Who Support Teachers",="Certified",4.0
="Bozrah School District",="Administrators  Coordinators and Department Chairs - School Level",="Certified",1.0
,="Counselors  Social Workers  and School Psychologists",="Certified",0.8
,="General Education - Teachers and Instructors",="Certified",19.0
,="Special Education - Teachers and Instructors",="Certified",4.0
,="Administrators  Coordinators and Department Chairs - District Central Office",="Certified",0.7
,="Instructional Specialists Who Support Teachers",="Certified",1.0
="Branford School District",="Administrators  Coordinators and Department Chairs - School Level",="Certified",13.6
,="Counselors  Social Workers  and School Psychologists",="Certified",17.0
,="General Education - Teachers and Instructors",="Certified",236.5
,="Special Education - Teachers and Instructors",="Certified",33.0
,="Library/Media - Specialists (Certified)",="Certified",6.0
,="Administrators  Coordinators and Department Chairs - District Central Office",="Certified",6.0
,="Instructional Specialists Who Support Teachers",="Certified",8.5
="Brass City Charter School District",="Administrators  Coordinators and Department Chairs - School Level",="Certified",0.3
,="General Education - Teachers and Instructors",="Certified",6.3
="Bridgeport Achievement First District",="Administrators  Coordinators and Department Chairs - School Level",="Certified",10.0
,="Counselors  Social Workers  and School Psychologists",="Certified",1.5
,="General Education - Teachers and Instructors",="Certified",52.5
,="Special Education - Teachers and Instructors",="Certified",4.5
="Bridgeport School District",="Administrators  Coordinators and Department Chairs - School Level",="Certified",75.4
,="Counselors  Social Workers  and School Psychologists",="Certified",112.4
,="General Education - Teachers and Instructors",="Certified",1107.3
,="Special Education - Teachers and Instructors",="Certified",217.0
,="Library/Media - Specialists (Certified)",="Certified",15.0
,="Administrators  Coordinators and Department Chairs - District Central Office",="Certified",15.6
,="Instructional Specialists Who Support Teachers",="Certified",72.5
="Bristol School District",="Administrators  Coordinators and Department Chairs - School Level",="Certified",27.8
,="Counselors  Social Workers  and School Psychologists",="Certified",35.2
,="General Education - Teachers and Instructors",="Certified",456.4
,="Special Education - Teachers and Instructors",="Certified",78.7
,="Library/Media - Specialists (Certified)",="Certified",6.8
,="Administrators  Coordinators and Department Chairs - District Central Office",="Certified",17.4
,="Instructional Specialists Who Support Teachers",="Certified",34.1
="Brookfield School District",="Administrators  Coordinators and Department Chairs - School Level",="Certified",11.8
,="Counselors  Social Workers  and School Psychologists",="Certified",16.0
,="General Education - Teachers and Instructors",="Certified",179.2
,="Special Education - Teachers and Instructors",="Certified",22.6
,="Library/Media - Specialists (Certified)",="Certified",5.0
,="Administrators  Coordinators and Department Chairs - District Central Office",="Certified",4.0
,="Instructional Specialists Who Support Teachers",="Certified",7.4
="Brooklyn School District",="Administrators  Coordinators and Department Chairs - School Level",="Certified",3.1
,="Counselors  Social Workers  and School Psychologists",="Certified",2.0
,="General Education - Teachers and Instructors",="Certified",59.5
,="Special Education - Teachers and Instructors",="Certified",7.0
,="Library/Media - Specialists (Certified)",="Certified",1.4
,="Administrators  Coordinators and Department Chairs - District Central Office",="Certified",1.0
,="Instructional Specialists Who Support Teachers",="Certified",2.0
="Canaan School District",="Administrators  Coordinators and Department Chairs - School Level",="Certified",1.0
,="Counselors  Social Workers  and School Psychologists",="Certified",0.5
,="General Education - Teachers and Instructors",="Certified",10.9
,="Special Education - Teachers and Instructors",="Certified",1.0
,="Library/Media - Specialists (Certified)",="Certified",0.6
,="Administrators  Coordinators and Department Chairs - District Central Office",="Certified",0.5
,="Instructional Specialists Who Support Teachers",="Certified",0.5
="Canterbury School District",="Administrators  Coordinators and Department Chairs - School Level",="Certified",2.0
,="Counselors  Social Workers  and School Psychologists",="Certified",3.0
,="General Education - Teachers and Instructors",="Certified",37.1
,="Special Education - Teachers and Instructors",="Certified",4.0
,="Administrators  Coordinators and Department Chairs - District Central Office",="Certified",2.0
,="Instructional Specialists Who Support Teachers",="Certified",1.0
="Canton School District",="Administrators  Coordinators and Department Chairs - School Level",="Certified",8.0
,="Counselors  Social Workers  and School Psychologists",="Certified",9.7
,="General Education - Teachers and Instructors",="Certified",99.9
,="Special Education - Teachers and Instructors",="Certified",15.6
,="Library/Media - Specialists (Certified)",="Certified",2.0
,="Administrators  Coordinators and Department Chairs - District Central Office",="Certified",4.0
,="Instructional Specialists Who Support Teachers",="Certified",5.6
="Capitol Region Education Council",="Administrators  Coordinators and Department Chairs - School Level",="Certified",53.5
,="Counselors  Social Workers  and School Psychologists",="Certified",58.3
,="General Education - Teachers and Instructors",="Certified",522.8
,="Special Education - Teachers and Instructors",="Certified",146.6
,="Library/Media - Specialists (Certified)",="Certified",7.0
,="Administrators  Coordinators and Department Chairs - District Central Office",="Certified",16.5
,="Instructional Specialists Who Support Teachers",="Certified",50.9
="Chaplin School District",="Administrators  Coordinators and Department Chairs - School Level",="Certified",1.0
,="Counselors  Social Workers  and School Psychologists",="Certified",1.0
,="General Education - Teachers and Instructors",="Certified",15.4
,="Special Education - Teachers and Instructors",="Certified",2.0
,="Administrators  Coordinators and Department Chairs - District Central Office",="Certified",0.2
,="Instructional Specialists Who Support Teachers",="Certified",2.0
="Cheshire School District",="Administrators  Coordinators and Department Chairs - School Level",="Certified",18.7
,="Counselors  Social Workers  and School Psychologists",="Certified",22.1
,="General Education - Teachers and Instructors",="Certified",279.9
,="Special Education - Teachers and Instructors",="Certified",46.4
,="Library/Media - Specialists (Certified)",="Certified",5.8
,="Administrators  Coordinators and Department Chairs - District Central Office",="Certified",6.0
,="Instructional Specialists Who Support Teachers",="Certified",15.4
="Chester School District",="Administrators  Coordinators and Department Chairs - School Level",="Certified",1.0
,="Counselors  Social Workers  and School Psychologists",="Certified",1.3
,="General Education - Teachers and Instructors",="Certified",19.5
,="Special Education - Teachers and Instructors",="Certified",3.8
,="Library/Media - Specialists (Certified)",="Certified",1.0
,="Administrators  Coordinators and Department Chairs - District Central Office",="Certified",0.8
,="Instructional Specialists Who Support Teachers",="Certified",0.9
="Clinton School District",="Administrators  Coordinators and Department Chairs - School Level",="Certified",7.8
,="Counselors  Social Workers  and School Psychologists",="Certified",11.0
,="General Education - Teachers and Instructors",="Certified",142.9
,="Special Education - Teachers and Instructors",="Certified",26.0
,="Library/Media - Specialists (Certified)",="Certified",4.0
,="Administrators  Coordinators and Department Chairs - District Central Office",="Certified",4.5
,="Instructional Specialists Who Support Teachers",="Certified",5.4
="Colchester School District",="Administrators  Coordinators and Department Chairs - School Level",="Certified",9.0
,="Counselors  Social Workers  and School Psychologists",="Certified",17.8
,="General Education - Teachers and Instructors",="Certified",180.3
,="Special Education - Teachers and Instructors",="Certified",23.0
,="Library/Media - Specialists (Certified)",="Certified",3.0
,="Administrators  Coordinators and Department Chairs - District Central Office",="Certified",3.0
,="Instructional Specialists Who Support Teachers",="Certified",11.6
="Colebrook School District",="Administrators  Coordinators and Department Chairs - School Level",="Certified",1.0
,="Counselors  Social Workers  and School Psychologists",="Certified",0.7
,="General Education - Teachers and Instructors",="Certified",8.4
,="Special Education - Teachers and Instructors",="Certified",1.0
,="Administrators  Coordinators and Department Chairs - District Central Office",="Certified",0.4
,="Instructional Specialists Who Support Teachers",="Certified",1.3
="Columbia School District",="Administrators  Coordinators and Department Chairs - School Level",="Certified",4.5
,="Counselors  Social Workers  and School Psychologists",="Certified",3.0
,="General Education - Teachers and Instructors",="Certified",33.4
,="Special Education - Teachers and Instructors",="Certified",6.0
,="Library/Media - Specialists (Certified)",="Certified",1.0
