"FTE Staffing Report for 2003-04"

"District","Assignment Category","Educator Type","FTE Count"
"Andover School District","Instructional Specialists Who Support Teachers","Certified",2.0
="Ansonia School District",="Instructional Specialists Who Support Teachers",="Certified",4.0
="Area Cooperative Educational Services",="Instructional Specialists Who Support Teachers",="Certified",9.8
="Ashford School District",="Instructional Specialists Who Support Teachers",="Certified",2.4
="Avon School District",="Instructional Specialists Who Support Teachers",="Certified",9.1
="Barkhamsted School District",="Instructional Specialists Who Support Teachers",="Certified",1.1
="Berlin School District",="Instructional Specialists Who Support Teachers",="Certified",8.8
="Bethany School District",="Instructional Specialists Who Support Teachers",="Certified",1.0
="Bethel School District",="Instructional Specialists Who Support Teachers",="Certified",5.9
="Bloomfield School District",="Instructional Specialists Who Support Teachers",="Certified",9.7
="Bolton School District",="Instructional Specialists Who Support Teachers",="Certified",3.0
="Bozrah School District",="Instructional Specialists Who Support Teachers",="Certified",1.0
="Branford School District",="Instructional Specialists Who Support Teachers",="Certified",6.0
="Bridgeport School District",="Instructional Specialists Who Support Teachers",="Certified",29.1
="Bristol School District",="Instructional Specialists Who Support Teachers",="Certified",16.1
="Brookfield School District",="Instructional Specialists Who Support Teachers",="Certified",4.0
="Brooklyn School District",="Instructional Specialists Who Support Teachers",="Certified",1.8
="Canaan School District",="Instructional Specialists Who Support Teachers",="Certified",0.5
="Canterbury School District",="Instructional Specialists Who Support Teachers",="Certified",1.0
="Canton School District",="Instructional Specialists Who Support Teachers",="Certified",5.0
="Capitol Region Education Council",="Instructional Specialists Who Support Teachers",="Certified",13.7
="Chaplin School District",="Instructional Specialists Who Support Teachers",="Certified",2.0
="Cheshire School District",="Instructional Specialists Who Support Teachers",="Certified",6.6
="Chester School District",="Instructional Specialists Who Support Teachers",="Certified",1.3
="Clinton School District",="Instructional Specialists Who Support Teachers",="Certified",7.0
="Colchester School District",="Instructional Specialists Who Support Teachers",="Certified",13.4
="Colebrook School District",="Instructional Specialists Who Support Teachers",="Certified",1.3
="Columbia School District",="Instructional Specialists Who Support Teachers",="Certified",3.0
="Connecticut Technical High School System",="Instructional Specialists Who Support Teachers",="Certified",2.0
="Cooperative Educational Services",="Instructional Specialists Who Support Teachers",="Certified",8.1
="Cornwall School District",="Instructional Specialists Who Support Teachers",="Certified",0.5
="Coventry School District",="Instructional Specialists Who Support Teachers",="Certified",4.5
="Cromwell School District",="Instructional Specialists Who Support Teachers",="Certified",4.0
="Danbury School District",="Instructional Specialists Who Support Teachers",="Certified",23.4
="Darien School District",="Instructional Specialists Who Support Teachers",="Certified",13.5
="Deep River School District",="Instructional Specialists Who Support Teachers",="Certified",1.3
="Derby School District",="Instructional Specialists Who Support Teachers",="Certified",5.0
="East Granby School District",="Instructional Specialists Who Support Teachers",="Certified",0.9
="East Haddam School District",="Instructional Specialists Who Support Teachers",="Certified",6.0
="East Hampton School District",="Instructional Specialists Who Support Teachers",="Certified",4.2
="East Hartford School District",="Instructional Specialists Who Support Teachers",="Certified",16.0
="East Haven School District",="Instructional Specialists Who Support Teachers",="Certified",5.6
="East Lyme School District",="Instructional Specialists Who Support Teachers",="Certified",6.0
="East Windsor School District",="Instructional Specialists Who Support Teachers",="Certified",1.0
="Eastern Connecticut Regional Educational Service Center (EASTCONN)",="Instructional Specialists Who Support Teachers",="Certified",1.6
="Eastford School District",="Instructional Specialists Who Support Teachers",="Certified",0.6
="Easton School District",="Instructional Specialists Who Support Teachers",="Certified",2.9
="Ellington School District",="Instructional Specialists Who Support Teachers",="Certified",11.6
="Enfield School District",="Instructional Specialists Who Support Teachers",="Certified",10.0
="Essex School District",="Instructional Specialists Who Support Teachers",="Certified",1.4
="Fairfield School District",="Instructional Specialists Who Support Teachers",="Certified",33.5
="Farmington School District",="Instructional Specialists Who Support Teachers",="Certified",5.1
="Franklin School District",="Instructional Specialists Who Support Teachers",="Certified",0.8
="Glastonbury School District",="Instructional Specialists Who Support Teachers",="Certified",12.1
="Granby School District",="Instructional Specialists Who Support Teachers",="Certified",6.7
="Greenwich School District",="Instructional Specialists Who Support Teachers",="Certified",34.0
="Griswold School District",="Instructional Specialists Who Support Teachers",="Certified",3.8
="Groton School District",="Instructional Specialists Who Support Teachers",="Certified",11.0
="Guilford School District",="Instructional Specialists Who Support Teachers",="Certified",9.6
="Hamden School District",="Instructional Specialists Who Support Teachers",="Certified",14.9
="Hampton School District",="Instructional Specialists Who Support Teachers",="Certified",1.6
="Hartford School District",="Instructional Specialists Who Support Teachers",="Certified",52.4
="Hartland School District",="Instructional Specialists Who Support Teachers",="Certified",1.1
="Hebron School District",="Instructional Specialists Who Support Teachers",="Certified",4.3
="Integrated Day Charter School District",="Instructional Specialists Who Support Teachers",="Certified",0.2
="Kent School District",="Instructional Specialists Who Support Teachers",="Certified",1.5
="Killingly School District",="Instructional Specialists Who Support Teachers",="Certified",5.5
="Learn",="Instructional Specialists Who Support Teachers",="Certified",3.0
="Lebanon School District",="Instructional Specialists Who Support Teachers",="Certified",2.0
="Ledyard School District",="Instructional Specialists Who Support Teachers",="Certified",10.6
="Lisbon School District",="Instructional Specialists Who Support Teachers",="Certified",2.0
="Litchfield School District",="Instructional Specialists Who Support Teachers",="Certified",3.5
="Madison School District",="Instructional Specialists Who Support Teachers",="Certified",5.4
="Manchester School District",="Instructional Specialists Who Support Teachers",="Certified",22.2
="Mansfield School District",="Instructional Specialists Who Support Teachers",="Certified",6.0
="Marlborough School District",="Instructional Specialists Who Support Teachers",="Certified",4.0
="Meriden School District",="Instructional Specialists Who Support Teachers",="Certified",18.0
="Middletown School District",="Instructional Specialists Who Support Teachers",="Certified",12.5
="Milford School District",="Instructional Specialists Who Support Teachers",="Certified",24.1
="Monroe School District",="Instructional Specialists Who Support Teachers",="Certified",6.0
="Montville School District",="Instructional Specialists Who Support Teachers",="Certified",8.0
="Naugatuck School District",="Instructional Specialists Who Support Teachers",="Certified",9.0
="New Beginnings Inc Family Academy District",="Instructional Specialists Who Support Teachers",="Certified",1.0
="New Britain School District",="Instructional Specialists Who Support Teachers",="Certified",21.7
="New Canaan School District",="Instructional Specialists Who Support Teachers",="Certified",12.4
="New Fairfield School District",="Instructional Specialists Who Support Teachers",="Certified",6.0
="New Hartford School District",="Instructional Specialists Who Support Teachers",="Certified",1.6
="New Haven School District",="Instructional Specialists Who Support Teachers",="Certified",17.4
="New London School District",="Instructional Specialists Who Support Teachers",="Certified",4.9
="New Milford School District",="Instructional Specialists Who Support Teachers",="Certified",9.6
="Newington School District",="Instructional Specialists Who Support Teachers",="Certified",11.4
="Newtown School District",="Instructional Specialists Who Support Teachers",="Certified",12.0
="Norfolk School District",="Instructional Specialists Who Support Teachers",="Certified",1.2
="North Branford School District",="Instructional Specialists Who Support Teachers",="Certified",7.8
="North Canaan School District",="Instructional Specialists Who Support Teachers",="Certified",1.0
="North Haven School District",="Instructional Specialists Who Support Teachers",="Certified",8.0
="North Stonington School District",="Instructional Specialists Who Support Teachers",="Certified",1.0
="Norwalk School District",="Instructional Specialists Who Support Teachers",="Certified",14.0
="Norwich School District",="Instructional Specialists Who Support Teachers",="Certified",5.0
="Old Saybrook School District",="Instructional Specialists Who Support Teachers",="Certified",3.7
="Orange School District",="Instructional Specialists Who Support Teachers",="Certified",6.6
="Oxford School District",="Instructional Specialists Who Support Teachers",="Certified",3.5
="Plainfield School District",="Instructional Specialists Who Support Teachers",="Certified",6.0
="Plainville School District",="Instructional Specialists Who Support Teachers",="Certified",2.6
="Plymouth School District",="Instructional Specialists Who Support Teachers",="Certified",1.0
="Pomfret School District",="Instructional Specialists Who Support Teachers",="Certified",1.0
="Portland School District",="Instructional Specialists Who Support Teachers",="Certified",3.7
="Preston School District",="Instructional Specialists Who Support Teachers",="Certified",1.6
="Putnam School District",="Instructional Specialists Who Support Teachers",="Certified",3.5
