"FTE Staffing Report for 2013-14"

"District","Assignment Category","Educator Type","FTE Count"
"Achievement First Hartford Academy Inc. District","Library/Media - Support Staff","Non-Certified",0.0
="Amistad Academy District",="Library/Media - Support Staff",="Non-Certified",1.0
="Andover School District",="Library/Media - Support Staff",="Non-Certified",0.0
="Ansonia School District",="Library/Media - Support Staff",="Non-Certified",4.0
="Area Cooperative Educational Services",="Library/Media - Support Staff",="Non-Certified",0.0
="Ashford School District",="Library/Media - Support Staff",="Non-Certified",1.0
="Avon School District",="Library/Media - Support Staff",="Non-Certified",1.0
="Barkhamsted School District",="Library/Media - Support Staff",="Non-Certified",0.0
="Berlin School District",="Library/Media - Support Staff",="Non-Certified",4.9
="Bethany School District",="Library/Media - Support Staff",="Non-Certified",0.4
="Bethel School District",="Library/Media - Support Staff",="Non-Certified",5.0
="Bloomfield School District",="Library/Media - Support Staff",="Non-Certified",5.0
="Bolton School District",="Library/Media - Support Staff",="Non-Certified",2.2
="Bozrah School District",="Library/Media - Support Staff",="Non-Certified",1.0
="Branford School District",="Library/Media - Support Staff",="Non-Certified",5.0
="Brass City Charter School District",="Library/Media - Support Staff",="Non-Certified",0.0
="Bridgeport Achievement First District",="Library/Media - Support Staff",="Non-Certified",0.0
="Bridgeport School District",="Library/Media - Support Staff",="Non-Certified",0.0
="Bristol School District",="Library/Media - Support Staff",="Non-Certified",11.5
="Brookfield School District",="Library/Media - Support Staff",="Non-Certified",2.5
="Brooklyn School District",="Library/Media - Support Staff",="Non-Certified",0.0
="Canaan School District",="Library/Media - Support Staff",="Non-Certified",0.0
="Canterbury School District",="Library/Media - Support Staff",="Non-Certified",1.6
="Canton School District",="Library/Media - Support Staff",="Non-Certified",4.0
="Capitol Region Education Council",="Library/Media - Support Staff",="Non-Certified",0.0
="Chaplin School District",="Library/Media - Support Staff",="Non-Certified",2.0
="Cheshire School District",="Library/Media - Support Staff",="Non-Certified",11.0
="Chester School District",="Library/Media - Support Staff",="Non-Certified",0.0
="Clinton School District",="Library/Media - Support Staff",="Non-Certified",1.7
="Colchester School District",="Library/Media - Support Staff",="Non-Certified",4.5
="Colebrook School District",="Library/Media - Support Staff",="Non-Certified",0.0
="Columbia School District",="Library/Media - Support Staff",="Non-Certified",0.5
="Common Ground High School District",="Library/Media - Support Staff",="Non-Certified",0.0
="Connecticut Technical High School System",="Library/Media - Support Staff",="Non-Certified",0.0
="Cooperative Educational Services",="Library/Media - Support Staff",="Non-Certified",0.0
="Cornwall School District",="Library/Media - Support Staff",="Non-Certified",0.9
