"FTE Staffing Report for 2010-11"

"District","School","Assignment Category","Educator Type","FTE Count"
"Achievement First Hartford Academy Inc. District","Achievement First Hartford Academy Inc.","General Education - Teachers and Instructors","Certified",50.6
="Amistad Academy District",="Amistad Academy",="General Education - Teachers and Instructors",="Certified",72.1
="Andover School District",="Andover Elementary School",="General Education - Teachers and Instructors",="Certified",26.3
="Ansonia School District",="Ansonia High School",="General Education - Teachers and Instructors",="Certified",45.3
,="Ansonia Middle School",="General Education - Teachers and Instructors",="Certified",24.7
,="Mead School",="General Education - Teachers and Instructors",="Certified",35.0
,="Prendergast School",="General Education - Teachers and Instructors",="Certified",42.0
="Area Cooperative Educational Services",="Mill Road School",="General Education - Teachers and Instructors",="Certified",7.5
,="Thomas Edison Magnet Middle School",="General Education - Teachers and Instructors",="Certified",54.2
,="Village School",="General Education - Teachers and Instructors",="Certified",3.0
,="Whitney High School East",="General Education - Teachers and Instructors",="Certified",1.5
,="Whitney High School North",="General Education - Teachers and Instructors",="Certified",4.0
,="Whitney High School West",="General Education - Teachers and Instructors",="Certified",1.5
,="Wintergreen Interdistrict Magnet School",="General Education - Teachers and Instructors",="Certified",38.3
="Ashford School District",="Ashford School",="General Education - Teachers and Instructors",="Certified",39.5
="Avon School District",="Avon High School",="General Education - Teachers and Instructors",="Certified",69.6
,="Avon Middle School",="General Education - Teachers and Instructors",="Certified",39.5
,="Pine Grove School",="General Education - Teachers and Instructors",="Certified",30.0
,="Roaring Brook School",="General Education - Teachers and Instructors",="Certified",33.1
,="Thompson Brook School",="General Education - Teachers and Instructors",="Certified",32.3
="Barkhamsted School District",="Barkhamsted Elementary School",="General Education - Teachers and Instructors",="Certified",21.2
="Berlin School District",="Berlin High School",="General Education - Teachers and Instructors",="Certified",65.5
,="Catherine M. McGee Middle School",="General Education - Teachers and Instructors",="Certified",54.0
,="Emma Hart Willard School",="General Education - Teachers and Instructors",="Certified",29.9
,="Mary E. Griswold School",="General Education - Teachers and Instructors",="Certified",34.4
,="Richard D. Hubbard School",="General Education - Teachers and Instructors",="Certified",15.8
