"FTE Staffing Report for 2013-14"

"District","School","Assignment Category","Educator Type","FTE Count"
"Achievement First Hartford Academy Inc. District","Achievement First Hartford Academy Inc.","Special Education - Teachers and Instructors","Certified",6.0
="Amistad Academy District",="Amistad Academy",="Special Education - Teachers and Instructors",="Certified",11.0
="Andover School District",="Andover Elementary School",="Special Education - Teachers and Instructors",="Certified",3.0
="Ansonia School District",="Ansonia High School",="Special Education - Teachers and Instructors",="Certified",5.0
,="Ansonia Middle School",="Special Education - Teachers and Instructors",="Certified",6.0
,="Mead School",="Special Education - Teachers and Instructors",="Certified",5.0
,="Prendergast School",="Special Education - Teachers and Instructors",="Certified",5.0
="Area Cooperative Educational Services",="Center for Autism Spectrum and Development Disorders",="Special Education - Teachers and Instructors",="Certified",4.0
,="Mill Road School",="Special Education - Teachers and Instructors",="Certified",17.5
,="Thomas Edison Magnet Middle School",="Special Education - Teachers and Instructors",="Certified",5.5
,="Village School",="Special Education - Teachers and Instructors",="Certified",19.0
,="Whitney High School East",="Special Education - Teachers and Instructors",="Certified",15.0
,="Whitney High School North",="Special Education - Teachers and Instructors",="Certified",10.0
,="Whitney High School West",="Special Education - Teachers and Instructors",="Certified",5.0
,="Wintergreen Interdistrict Magnet School",="Special Education - Teachers and Instructors",="Certified",4.0
="Ashford School District",="Ashford School",="Special Education - Teachers and Instructors",="Certified",4.0
="Avon School District",="Avon High School",="Special Education - Teachers and Instructors",="Certified",8.4
,="Avon Middle School",="Special Education - Teachers and Instructors",="Certified",5.0
,="Pine Grove School",="Special Education - Teachers and Instructors",="Certified",6.4
,="Roaring Brook School",="Special Education - Teachers and Instructors",="Certified",3.6
,="Thompson Brook School",="Special Education - Teachers and Instructors",="Certified",5.4
="Barkhamsted School District",="Barkhamsted Elementary School",="Special Education - Teachers and Instructors",="Certified",2.0
,="Shared Services Integrated Preschool",="Special Education - Teachers and Instructors",="Certified",1.0
="Berlin School District",="Berlin High School",="Special Education - Teachers and Instructors",="Certified",10.8
