"FTE Staffing Report for Trend"

"",,,,"Year",,,,
"District","School","Assignment Category","Educator Type","2010-11","2011-12","2012-13","2013-14","2014-15"
"Achievement First Hartford Academy Inc. District","Achievement First Hartford Academy Inc.","Special Education - Teachers and Instructors","Certified",1.5,2.0,8.0,6.0,.
"Amistad Academy District","Amistad Academy","Special Education - Teachers and Instructors","Certified",3.0,4.0,4.0,11.0,5.8
="Andover School District",="Andover Elementary School",="Special Education - Teachers and Instructors",="Certified",3.0,3.0,3.0,3.0,3.0
="Ansonia School District",="Ansonia High School",="Special Education - Teachers and Instructors",="Certified",5.0,5.4,5.0,5.0,5.0
,="Ansonia Middle School",="Special Education - Teachers and Instructors",="Certified",6.0,5.2,6.0,6.0,6.0
,="Mead School",="Special Education - Teachers and Instructors",="Certified",5.0,5.2,5.0,5.0,4.0
,="Prendergast School",="Special Education - Teachers and Instructors",="Certified",6.0,6.2,5.0,5.0,6.0
="Area Cooperative Educational Services",="Center for Autism Spectrum and Development Disorders",="Special Education - Teachers and Instructors",="Certified",2.0,3.0,4.0,4.0,3.0
,="Mill Road School",="Special Education - Teachers and Instructors",="Certified",18.5,17.0,18.0,17.5,18.5
,="Thomas Edison Magnet Middle School",="Special Education - Teachers and Instructors",="Certified",5.5,5.5,5.5,5.5,6.0
,="Village School",="Special Education - Teachers and Instructors",="Certified",19.0,19.0,19.0,19.0,19.0
,="Whitney High School East",="Special Education - Teachers and Instructors",="Certified",16.0,15.0,16.0,15.0,14.0
,="Whitney High School North",="Special Education - Teachers and Instructors",="Certified",10.0,10.0,10.0,10.0,9.0
,="Whitney High School West",="Special Education - Teachers and Instructors",="Certified",7.0,7.0,6.0,5.0,6.0
,="Wintergreen Interdistrict Magnet School",="Special Education - Teachers and Instructors",="Certified",4.0,4.0,4.0,4.0,5.0
="Ashford School District",="Ashford School",="Special Education - Teachers and Instructors",="Certified",6.0,6.0,5.0,4.0,4.0
="Avon School District",="Avon High School",="Special Education - Teachers and Instructors",="Certified",8.2,8.4,8.3,8.4,10.0
,="Avon Middle School",="Special Education - Teachers and Instructors",="Certified",4.0,6.0,6.0,5.0,4.0
,="Pine Grove School",="Special Education - Teachers and Instructors",="Certified",6.3,7.4,7.8,6.4,4.0
