"FTE Staffing Report for Trend"

"",,,,"Year",,,,
"District","School","Assignment Category","Educator Type","2010-11","2011-12","2012-13","2013-14","2014-15"
"Achievement First Hartford Academy Inc. District","Achievement First Hartford Academy Inc.","General Education - Paraprofessional Instructional Assistants","Non-Certified",0.0,0.0,0.0,0.0,0.0
,,="Library/Media - Support Staff",="Non-Certified",0.0,0.0,0.0,0.0,0.0
,,="School Nurses",="Non-Certified",1.5,1.0,1.0,1.0,1.0
,,="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",0.0,0.0,0.0,0.0,0.0
="Amistad Academy District",="Amistad Academy",="General Education - Paraprofessional Instructional Assistants",="Non-Certified",1.0,5.0,7.0,13.0,10.5
,,="Library/Media - Support Staff",="Non-Certified",0.0,1.0,1.0,1.0,0.5
,,="School Nurses",="Non-Certified",3.0,2.0,3.0,3.0,4.5
,,="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",4.0,7.0,0.0,0.0,0.0
="Andover School District",="Andover Elementary School",="General Education - Paraprofessional Instructional Assistants",="Non-Certified",2.5,0.5,3.5,3.0,2.0
,,="Library/Media - Support Staff",="Non-Certified",0.0,0.0,0.0,0.0,0.0
,,="School Nurses",="Non-Certified",1.0,1.0,1.0,1.0,1.0
,,="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",7.0,7.5,4.0,4.5,6.0
="Ansonia School District",="Ansonia High School",="General Education - Paraprofessional Instructional Assistants",="Non-Certified",6.0,5.0,4.0,4.0,3.0
,,="Library/Media - Support Staff",="Non-Certified",1.0,1.0,1.0,1.0,1.0
,,="School Nurses",="Non-Certified",1.0,1.0,1.0,1.0,1.0
,,="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",9.0,8.5,7.5,7.0,5.0
,="Ansonia Middle School",="General Education - Paraprofessional Instructional Assistants",="Non-Certified",28.0,22.5,18.0,22.0,9.0
,,="Library/Media - Support Staff",="Non-Certified",1.0,1.0,1.0,1.0,1.0
,,="School Nurses",="Non-Certified",1.0,1.0,1.0,1.0,1.0
,,="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",4.0,14.0,11.5,13.5,4.0
,="Mead School",="General Education - Paraprofessional Instructional Assistants",="Non-Certified",5.5,6.5,2.0,4.0,9.5
,,="Library/Media - Support Staff",="Non-Certified",1.0,1.0,1.0,1.0,0.5
,,="School Nurses",="Non-Certified",1.0,1.0,1.0,1.0,1.0
,,="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",11.0,10.0,14.0,15.5,5.0
,="Prendergast School",="General Education - Paraprofessional Instructional Assistants",="Non-Certified",6.0,8.0,3.0,6.0,7.0
,,="Library/Media - Support Staff",="Non-Certified",1.0,1.0,1.0,1.0,0.5
,,="School Nurses",="Non-Certified",1.5,1.5,1.5,1.5,1.5
,,="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",22.5,14.5,20.0,16.0,3.0
="Area Cooperative Educational Services",="Thomas Edison Magnet Middle School",="General Education - Paraprofessional Instructional Assistants",="Non-Certified",4.0,5.0,5.0,5.0,5.0
,,="Library/Media - Support Staff",="Non-Certified",0.0,0.0,0.0,0.0,0.0
,,="School Nurses",="Non-Certified",1.6,1.6,1.6,1.0,2.0
,,="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",1.4,1.4,0.7,0.7,2.0
,="Wintergreen Interdistrict Magnet School",="General Education - Paraprofessional Instructional Assistants",="Non-Certified",6.9,6.3,6.0,7.0,5.5
,,="Library/Media - Support Staff",="Non-Certified",0.0,0.0,0.0,0.0,0.0
,,="School Nurses",="Non-Certified",1.0,1.0,1.0,1.0,1.0
,,="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",1.5,1.5,3.5,5.2,6.2
="Ashford School District",="Ashford School",="General Education - Paraprofessional Instructional Assistants",="Non-Certified",8.0,6.5,9.0,6.5,7.0
,,="Library/Media - Support Staff",="Non-Certified",0.8,0.8,0.5,1.0,1.0
,,="School Nurses",="Non-Certified",1.0,1.0,1.0,1.0,1.0
,,="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",11.0,12.5,11.0,11.0,11.5
="Avon School District",="Avon High School",="General Education - Paraprofessional Instructional Assistants",="Non-Certified",5.5,4.9,3.7,4.0,7.0
,,="Library/Media - Support Staff",="Non-Certified",1.2,1.2,1.0,1.0,1.0
,,="School Nurses",="Non-Certified",1.0,1.2,1.2,2.2,2.2
,,="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",11.5,10.5,13.5,13.5,13.0
,="Avon Middle School",="General Education - Paraprofessional Instructional Assistants",="Non-Certified",1.0,2.2,1.1,2.0,2.0
,,="Library/Media - Support Staff",="Non-Certified",0.0,0.0,0.0,0.0,0.0
,,="School Nurses",="Non-Certified",1.0,1.0,1.0,1.0,1.0
,,="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",12.0,14.0,11.0,10.0,12.0
,="Pine Grove School",="General Education - Paraprofessional Instructional Assistants",="Non-Certified",2.0,4.2,2.0,4.3,5.8
,,="Library/Media - Support Staff",="Non-Certified",0.0,0.0,0.0,0.0,0.0
