"FTE Staffing Report for 2014-15"

"District","School","Assignment Category","Educator Type","FTE Count"
"Andover School District","Andover Elementary School","Instructional Specialists Who Support Teachers","Certified",1.4
="Ansonia School District",="Ansonia High School",="Instructional Specialists Who Support Teachers",="Certified",3.0
,="Ansonia Middle School",="Instructional Specialists Who Support Teachers",="Certified",1.0
,="Prendergast School",="Instructional Specialists Who Support Teachers",="Certified",1.0
="Area Cooperative Educational Services",="Center for Autism Spectrum and Development Disorders",="Instructional Specialists Who Support Teachers",="Certified",1.0
,="Mill Road School",="Instructional Specialists Who Support Teachers",="Certified",1.0
,="Thomas Edison Magnet Middle School",="Instructional Specialists Who Support Teachers",="Certified",0.5
,="Village School",="Instructional Specialists Who Support Teachers",="Certified",5.6
,="Whitney High School East",="Instructional Specialists Who Support Teachers",="Certified",2.2
,="Whitney High School North",="Instructional Specialists Who Support Teachers",="Certified",0.4
,="Whitney High School West",="Instructional Specialists Who Support Teachers",="Certified",0.8
,="Wintergreen Interdistrict Magnet School",="Instructional Specialists Who Support Teachers",="Certified",2.8
="Ashford School District",="Ashford School",="Instructional Specialists Who Support Teachers",="Certified",1.0
="Avon School District",="Avon High School",="Instructional Specialists Who Support Teachers",="Certified",1.3
,="Avon Middle School",="Instructional Specialists Who Support Teachers",="Certified",1.2
,="Pine Grove School",="Instructional Specialists Who Support Teachers",="Certified",2.3
,="Roaring Brook School",="Instructional Specialists Who Support Teachers",="Certified",2.1
,="Thompson Brook School",="Instructional Specialists Who Support Teachers",="Certified",1.6
="Barkhamsted School District",="Barkhamsted Elementary School",="Instructional Specialists Who Support Teachers",="Certified",0.5
="Berlin School District",="Berlin High School",="Instructional Specialists Who Support Teachers",="Certified",2.0
,="Catherine M. McGee Middle School",="Instructional Specialists Who Support Teachers",="Certified",1.0
,="Emma Hart Willard School",="Instructional Specialists Who Support Teachers",="Certified",3.0
,="Mary E. Griswold School",="Instructional Specialists Who Support Teachers",="Certified",2.0
,="Richard D. Hubbard School",="Instructional Specialists Who Support Teachers",="Certified",2.2
="Bethany School District",="Bethany Community School",="Instructional Specialists Who Support Teachers",="Certified",1.6
="Bethel School District",="Anna H. Rockwell School",="Instructional Specialists Who Support Teachers",="Certified",2.0
,="Bethel Middle School",="Instructional Specialists Who Support Teachers",="Certified",1.0
,="Frank A. Berry School",="Instructional Specialists Who Support Teachers",="Certified",4.0
,="Ralph M. T. Johnson School",="Instructional Specialists Who Support Teachers",="Certified",1.8
="Bloomfield School District",="Bloomfield High School",="Instructional Specialists Who Support Teachers",="Certified",2.7
,="Carmen Arace Intermediate School",="Instructional Specialists Who Support Teachers",="Certified",3.4
,="Carmen Arace Middle School",="Instructional Specialists Who Support Teachers",="Certified",1.4
,="Global Experience Magnet School",="Instructional Specialists Who Support Teachers",="Certified",1.2
,="Laurel School",="Instructional Specialists Who Support Teachers",="Certified",1.5
,="Metacomet School",="Instructional Specialists Who Support Teachers",="Certified",2.8
,="Wintonbury Early Childhood Magnet School",="Instructional Specialists Who Support Teachers",="Certified",2.0
="Bolton School District",="Bolton Center School",="Instructional Specialists Who Support Teachers",="Certified",3.0
="Bozrah School District",="Fields Memorial School",="Instructional Specialists Who Support Teachers",="Certified",1.0
="Branford School District",="Branford High School",="Instructional Specialists Who Support Teachers",="Certified",1.0
,="Francis Walsh Intermediate School",="Instructional Specialists Who Support Teachers",="Certified",1.0
,="Indian Neck School",="Instructional Specialists Who Support Teachers",="Certified",1.0
,="John B. Sliney School",="Instructional Specialists Who Support Teachers",="Certified",1.0
,="Mary R. Tisko School",="Instructional Specialists Who Support Teachers",="Certified",1.0
,="Mary T. Murphy School",="Instructional Specialists Who Support Teachers",="Certified",1.0
="Bridgeport School District",="Aerospace/Hydrospace, Engineering and Physical Sciences HS at the Fairchild-Wheeler Magnet Campus",="Instructional Specialists Who Support Teachers",="Certified",0.3
,="Barnum School",="Instructional Specialists Who Support Teachers",="Certified",2.7
,="Bassick High School",="Instructional Specialists Who Support Teachers",="Certified",1.0
,="Beardsley School",="Instructional Specialists Who Support Teachers",="Certified",2.1
,="Biotechnology, Research and Zoological Studies HS at the Fairchild-Wheeler Magnet Campus",="Instructional Specialists Who Support Teachers",="Certified",0.3
,="Black Rock School",="Instructional Specialists Who Support Teachers",="Certified",1.5
,="Blackham School",="Instructional Specialists Who Support Teachers",="Certified",4.4
,="Bryant School",="Instructional Specialists Who Support Teachers",="Certified",2.4
,="Central High School",="Instructional Specialists Who Support Teachers",="Certified",1.0
,="Cesar Batalla School",="Instructional Specialists Who Support Teachers",="Certified",2.8
,="Classical Studies Academy",="Instructional Specialists Who Support Teachers",="Certified",2.2
,="Columbus School",="Instructional Specialists Who Support Teachers",="Certified",2.9
,="Cross School",="Instructional Specialists Who Support Teachers",="Certified",1.9
,="Curiale School",="Instructional Specialists Who Support Teachers",="Certified",2.8
,="Dunbar School",="Instructional Specialists Who Support Teachers",="Certified",1.4
,="Edison School",="Instructional Specialists Who Support Teachers",="Certified",1.2
,="Geraldine Johnson School",="Instructional Specialists Who Support Teachers",="Certified",2.6
,="Hall School",="Instructional Specialists Who Support Teachers",="Certified",1.4
,="Hallen School",="Instructional Specialists Who Support Teachers",="Certified",2.0
,="Harding High School",="Instructional Specialists Who Support Teachers",="Certified",0.4
,="High Horizons Magnet School",="Instructional Specialists Who Support Teachers",="Certified",1.4
,="Hooker School",="Instructional Specialists Who Support Teachers",="Certified",2.0
,="Information Technology and Software Engineering High School at the Fairchild-Wheeler Magnet Campus",="Instructional Specialists Who Support Teachers",="Certified",0.3
,="Interdistrict Discovery Magnet School",="Instructional Specialists Who Support Teachers",="Certified",2.0
,="Jettie S. Tisdale School",="Instructional Specialists Who Support Teachers",="Certified",4.0
,="Luis Munoz Marin School",="Instructional Specialists Who Support Teachers",="Certified",3.0
,="Madison School",="Instructional Specialists Who Support Teachers",="Certified",1.9
,="Multicultural Magnet School",="Instructional Specialists Who Support Teachers",="Certified",1.4
,="Park City Magnet School",="Instructional Specialists Who Support Teachers",="Certified",1.0
,="Read School",="Instructional Specialists Who Support Teachers",="Certified",2.5
,="Roosevelt School",="Instructional Specialists Who Support Teachers",="Certified",2.5
,="Skane Center",="Instructional Specialists Who Support Teachers",="Certified",4.4
,="Waltersville School",="Instructional Specialists Who Support Teachers",="Certified",2.6
,="Winthrop School",="Instructional Specialists Who Support Teachers",="Certified",2.0
="Bristol School District",="Bristol Central High School",="Instructional Specialists Who Support Teachers",="Certified",2.8
,="Bristol Eastern High School",="Instructional Specialists Who Support Teachers",="Certified",2.4
,="Chippens Hill Middle School",="Instructional Specialists Who Support Teachers",="Certified",2.2
,="Edgewood School",="Instructional Specialists Who Support Teachers",="Certified",0.6
,="Ellen P. Hubbell School",="Instructional Specialists Who Support Teachers",="Certified",6.0
,="Greene-Hills School",="Instructional Specialists Who Support Teachers",="Certified",2.7
,="Ivy Drive School",="Instructional Specialists Who Support Teachers",="Certified",1.1
,="Mountain View School",="Instructional Specialists Who Support Teachers",="Certified",1.0
,="Northeast Middle School",="Instructional Specialists Who Support Teachers",="Certified",1.4
,="South Side School",="Instructional Specialists Who Support Teachers",="Certified",2.0
,="Stafford School",="Instructional Specialists Who Support Teachers",="Certified",2.6
,="West Bristol School",="Instructional Specialists Who Support Teachers",="Certified",4.2
="Brookfield School District",="Brookfield High School",="Instructional Specialists Who Support Teachers",="Certified",1.0
,="Center Elementary School",="Instructional Specialists Who Support Teachers",="Certified",1.8
,="Huckleberry Hill Elementary School",="Instructional Specialists Who Support Teachers",="Certified",1.3
,="Whisconier Middle School",="Instructional Specialists Who Support Teachers",="Certified",1.0
="Canaan School District",="Lee H. Kellogg School",="Instructional Specialists Who Support Teachers",="Certified",0.5
="Canterbury School District",="Canterbury Elementary School",="Instructional Specialists Who Support Teachers",="Certified",1.0
="Canton School District",="Canton High School",="Instructional Specialists Who Support Teachers",="Certified",0.4
,="Canton Intermediate School",="Instructional Specialists Who Support Teachers",="Certified",2.4
,="Canton Middle School",="Instructional Specialists Who Support Teachers",="Certified",1.4
,="Cherry Brook Primary School",="Instructional Specialists Who Support Teachers",="Certified",2.9
="Capitol Region Education Council",="Academy of Aerospace and Engineering",="Instructional Specialists Who Support Teachers",="Certified",1.0
,="Academy of Aerospace and Engineering Elementary",="Instructional Specialists Who Support Teachers",="Certified",2.8
,="Ana Grace Academy of the Arts Elementary School",="Instructional Specialists Who Support Teachers",="Certified",1.0
,="Discovery Academy",="Instructional Specialists Who Support Teachers",="Certified",1.0
,="Glastonbury/East Hartford Magnet School",="Instructional Specialists Who Support Teachers",="Certified",1.0
,="Greater Hartford Academy of the Arts High School - Full Time",="Instructional Specialists Who Support Teachers",="Certified",0.6
,="International Magnet School for Global Citizenship",="Instructional Specialists Who Support Teachers",="Certified",4.0
,="Medical Professions and Teacher Preparation Academy",="Instructional Specialists Who Support Teachers",="Certified",2.0
,="Metropolitan Learning Center for Global and International Studies",="Instructional Specialists Who Support Teachers",="Certified",1.0
,="Montessori Magnet School",="Instructional Specialists Who Support Teachers",="Certified",3.0
,="Museum Academy",="Instructional Specialists Who Support Teachers",="Certified",2.0
,="Public Safety Academy",="Instructional Specialists Who Support Teachers",="Certified",2.0
,="Reggio Magnet School of the Arts",="Instructional Specialists Who Support Teachers",="Certified",1.0
,="River Street School",="Instructional Specialists Who Support Teachers",="Certified",13.0
,="Two Rivers Magnet Middle School",="Instructional Specialists Who Support Teachers",="Certified",1.0
,="University of Hartford Magnet School",="Instructional Specialists Who Support Teachers",="Certified",3.0
="Chaplin School District",="Chaplin Elementary School",="Instructional Specialists Who Support Teachers",="Certified",2.0
="Cheshire School District",="Chapman School",="Instructional Specialists Who Support Teachers",="Certified",1.3
,="Cheshire High School",="Instructional Specialists Who Support Teachers",="Certified",1.4
,="Darcey School",="Instructional Specialists Who Support Teachers",="Certified",1.9
,="Dodd Middle School",="Instructional Specialists Who Support Teachers",="Certified",3.0
,="Doolittle School",="Instructional Specialists Who Support Teachers",="Certified",2.2
,="Highland School",="Instructional Specialists Who Support Teachers",="Certified",3.2
,="Norton School",="Instructional Specialists Who Support Teachers",="Certified",1.9
="Chester School District",="Chester Elementary School",="Instructional Specialists Who Support Teachers",="Certified",0.9
="Clinton School District",="Abraham Pierson School",="Instructional Specialists Who Support Teachers",="Certified",1.8
,="Jared Eliot School",="Instructional Specialists Who Support Teachers",="Certified",1.5
,="Lewin G. Joel Jr. School",="Instructional Specialists Who Support Teachers",="Certified",3.8
,="The Morgan School",="Instructional Specialists Who Support Teachers",="Certified",0.5
="Colchester School District",="Bacon Academy",="Instructional Specialists Who Support Teachers",="Certified",1.4
,="Colchester Elementary School",="Instructional Specialists Who Support Teachers",="Certified",5.6
,="Jack Jackter Intermediate School",="Instructional Specialists Who Support Teachers",="Certified",2.0
,="William J. Johnston Middle School",="Instructional Specialists Who Support Teachers",="Certified",3.0
="Colebrook School District",="Colebrook Consolidated School",="Instructional Specialists Who Support Teachers",="Certified",1.0
="Columbia School District",="Horace W. Porter School",="Instructional Specialists Who Support Teachers",="Certified",4.4
="Cooperative Educational Services",="C. E. S. Special Education",="Instructional Specialists Who Support Teachers",="Certified",1.8
,="Developmental Learning Center (DLC)",="Instructional Specialists Who Support Teachers",="Certified",3.0
,="Preschool-Primary Learning Center (PLC)",="Instructional Specialists Who Support Teachers",="Certified",4.5
,="Six-Six Magnet School",="Instructional Specialists Who Support Teachers",="Certified",1.0
="Cornwall School District",="Cornwall Consolidated School",="Instructional Specialists Who Support Teachers",="Certified",0.5
="Coventry School District",="Capt. Nathan Hale School",="Instructional Specialists Who Support Teachers",="Certified",1.5
,="Coventry Early Intervention Services",="Instructional Specialists Who Support Teachers",="Certified",1.0
,="Coventry Grammar School",="Instructional Specialists Who Support Teachers",="Certified",2.8
,="Coventry High School",="Instructional Specialists Who Support Teachers",="Certified",0.5
,="George Hersey Robertson School",="Instructional Specialists Who Support Teachers",="Certified",1.6
="Cromwell School District",="Cromwell High School",="Instructional Specialists Who Support Teachers",="Certified",0.5
,="Cromwell Middle School",="Instructional Specialists Who Support Teachers",="Certified",0.9
,="Edna C. Stevens School",="Instructional Specialists Who Support Teachers",="Certified",2.3
,="Woodside Intermediate School",="Instructional Specialists Who Support Teachers",="Certified",2.3
="Danbury School District",="Broadview Middle School",="Instructional Specialists Who Support Teachers",="Certified",4.6
,="DPS Early Childhood Center",="Instructional Specialists Who Support Teachers",="Certified",3.6
,="Danbury High School",="Instructional Specialists Who Support Teachers",="Certified",3.6
,="Ellsworth Avenue School",="Instructional Specialists Who Support Teachers",="Certified",1.8
,="Great Plain School",="Instructional Specialists Who Support Teachers",="Certified",2.1
,="Hayestown Avenue School",="Instructional Specialists Who Support Teachers",="Certified",3.1
,="King Street Intermediate School",="Instructional Specialists Who Support Teachers",="Certified",0.9
,="King Street Primary School",="Instructional Specialists Who Support Teachers",="Certified",2.5
,="Mill Ridge Primary School",="Instructional Specialists Who Support Teachers",="Certified",2.0
,="Morris Street School",="Instructional Specialists Who Support Teachers",="Certified",2.0
,="Other",="Instructional Specialists Who Support Teachers",="Certified",3.9
,="Park Avenue School",="Instructional Specialists Who Support Teachers",="Certified",1.5
,="Pembroke School",="Instructional Specialists Who Support Teachers",="Certified",3.0
,="Rogers Park Middle School",="Instructional Specialists Who Support Teachers",="Certified",1.7
,="Shelter Rock School",="Instructional Specialists Who Support Teachers",="Certified",2.0
,="South Street School",="Instructional Specialists Who Support Teachers",="Certified",2.0
,="Stadley Rough School",="Instructional Specialists Who Support Teachers",="Certified",1.0
,="Western CT Academy of International Studies Elementary Magnet School",="Instructional Specialists Who Support Teachers",="Certified",2.0
,="Westside Middle School Academy",="Instructional Specialists Who Support Teachers",="Certified",2.5
="Darien School District",="Darien High School",="Instructional Specialists Who Support Teachers",="Certified",3.5
,="Hindley Elementary School",="Instructional Specialists Who Support Teachers",="Certified",3.0
,="Holmes Elementary School",="Instructional Specialists Who Support Teachers",="Certified",5.0
,="Middlesex Middle School",="Instructional Specialists Who Support Teachers",="Certified",4.9
,="Ox Ridge Elementary School",="Instructional Specialists Who Support Teachers",="Certified",4.0
,="Royle Elementary School",="Instructional Specialists Who Support Teachers",="Certified",3.2
,="Tokeneke Elementary School",="Instructional Specialists Who Support Teachers",="Certified",4.0
="Deep River School District",="Deep River Elementary School",="Instructional Specialists Who Support Teachers",="Certified",1.0
="Derby School District",="Bradley School",="Instructional Specialists Who Support Teachers",="Certified",2.0
,="Derby High School",="Instructional Specialists Who Support Teachers",="Certified",0.2
,="Derby Middle School",="Instructional Specialists Who Support Teachers",="Certified",0.8
="East Granby School District",="Allgrove School",="Instructional Specialists Who Support Teachers",="Certified",0.4
,="East Granby High School",="Instructional Specialists Who Support Teachers",="Certified",0.3
,="East Granby Middle School",="Instructional Specialists Who Support Teachers",="Certified",0.4
,="R. Dudley Seymour School",="Instructional Specialists Who Support Teachers",="Certified",0.3
="East Haddam School District",="East Haddam Elementary School",="Instructional Specialists Who Support Teachers",="Certified",2.0
,="Nathan Hale-Ray Middle School",="Instructional Specialists Who Support Teachers",="Certified",2.0
="East Hampton School District",="Center School",="Instructional Specialists Who Support Teachers",="Certified",0.5
,="East Hampton High School",="Instructional Specialists Who Support Teachers",="Certified",0.4
,="East Hampton Middle School",="Instructional Specialists Who Support Teachers",="Certified",1.0
,="Memorial School",="Instructional Specialists Who Support Teachers",="Certified",2.5
="East Hartford School District",="Anna E. Norris School",="Instructional Specialists Who Support Teachers",="Certified",3.4
,="Dr. Franklin H. Mayberry School",="Instructional Specialists Who Support Teachers",="Certified",4.4
,="Dr. John A. Langford School",="Instructional Specialists Who Support Teachers",="Certified",3.4
,="Dr. Thomas S. O'Connell School",="Instructional Specialists Who Support Teachers",="Certified",2.5
,="East Hartford High School",="Instructional Specialists Who Support Teachers",="Certified",1.2
,="East Hartford Middle School",="Instructional Specialists Who Support Teachers",="Certified",3.1
,="Governor William Pitkin School",="Instructional Specialists Who Support Teachers",="Certified",2.8
,="Hockanum School",="Instructional Specialists Who Support Teachers",="Certified",3.2
,="Joseph O. Goodwin School",="Instructional Specialists Who Support Teachers",="Certified",4.2
,="Robert J. O'Brien School",="Instructional Specialists Who Support Teachers",="Certified",6.0
,="Saint Christopher School",="Instructional Specialists Who Support Teachers",="Certified",0.2
,="Silver Lane School",="Instructional Specialists Who Support Teachers",="Certified",3.3
,="Sunset Ridge School Elementary Academy for Arts and World Languages",="Instructional Specialists Who Support Teachers",="Certified",1.5
,="Willowbrook Early Childhood",="Instructional Specialists Who Support Teachers",="Certified",3.0
,="Woodland School",="Instructional Specialists Who Support Teachers",="Certified",2.0
="East Haven School District",="D. C. Moore School",="Instructional Specialists Who Support Teachers",="Certified",2.7
,="Deer Run School",="Instructional Specialists Who Support Teachers",="Certified",3.4
,="Dominick H. Ferrara School",="Instructional Specialists Who Support Teachers",="Certified",1.0
,="East Haven High School",="Instructional Specialists Who Support Teachers",="Certified",0.4
,="Grove J. Tuttle School",="Instructional Specialists Who Support Teachers",="Certified",2.0
,="Joseph Melillo Middle School",="Instructional Specialists Who Support Teachers",="Certified",0.6
,="Momauguin School",="Instructional Specialists Who Support Teachers",="Certified",2.2
,="Overbrook Elementary School",="Instructional Specialists Who Support Teachers",="Certified",2.5
="East Lyme School District",="East Lyme High School",="Instructional Specialists Who Support Teachers",="Certified",0.5
,="East Lyme Middle School",="Instructional Specialists Who Support Teachers",="Certified",1.0
,="Integrated Preschool",="Instructional Specialists Who Support Teachers",="Certified",1.0
,="Lillie B. Haynes School",="Instructional Specialists Who Support Teachers",="Certified",1.0
="East Windsor School District",="Broad Brook Elementary School",="Instructional Specialists Who Support Teachers",="Certified",3.0
,="East Windsor Middle School",="Instructional Specialists Who Support Teachers",="Certified",2.0
="Eastern Connecticut Regional Educational Service Center (EASTCONN)",="EastConn Special Education",="Instructional Specialists Who Support Teachers",="Certified",3.1
="Easton School District",="Helen Keller Middle School",="Instructional Specialists Who Support Teachers",="Certified",2.6
,="Samuel Staples Elementary School",="Instructional Specialists Who Support Teachers",="Certified",4.0
="Ellington School District",="Center School",="Instructional Specialists Who Support Teachers",="Certified",3.1
,="Crystal Lake School",="Instructional Specialists Who Support Teachers",="Certified",2.0
,="Ellington High School",="Instructional Specialists Who Support Teachers",="Certified",0.7
,="Ellington Middle School",="Instructional Specialists Who Support Teachers",="Certified",0.8
,="Windermere Intermediate School",="Instructional Specialists Who Support Teachers",="Certified",2.3
,="Windermere School",="Instructional Specialists Who Support Teachers",="Certified",3.5
="Enfield School District",="Edgar H. Parkman School",="Instructional Specialists Who Support Teachers",="Certified",1.5
,="Eli Whitney School",="Instructional Specialists Who Support Teachers",="Certified",2.0
,="Enfield High School",="Instructional Specialists Who Support Teachers",="Certified",0.3
,="Enfield Street School",="Instructional Specialists Who Support Teachers",="Certified",0.7
,="Hazardville Memorial School",="Instructional Specialists Who Support Teachers",="Certified",3.4
,="Head Start Program",="Instructional Specialists Who Support Teachers",="Certified",0.3
,="Henry Barnard School",="Instructional Specialists Who Support Teachers",="Certified",2.0
,="John F. Kennedy Middle School",="Instructional Specialists Who Support Teachers",="Certified",1.7
,="Nathan Hale School",="Instructional Specialists Who Support Teachers",="Certified",1.0
,="Prudence Crandall School",="Instructional Specialists Who Support Teachers",="Certified",1.8
="Essex School District",="Essex Elementary School",="Instructional Specialists Who Support Teachers",="Certified",5.1
="Fairfield School District",="Burr Elementary School",="Instructional Specialists Who Support Teachers",="Certified",3.5
,="Dwight Elementary School",="Instructional Specialists Who Support Teachers",="Certified",4.3
,="Early Childhood Center",="Instructional Specialists Who Support Teachers",="Certified",6.0
,="Fairfield Ludlowe High School",="Instructional Specialists Who Support Teachers",="Certified",2.5
,="Fairfield Warde High School",="Instructional Specialists Who Support Teachers",="Certified",4.0
,="Fairfield Woods Middle School",="Instructional Specialists Who Support Teachers",="Certified",3.5
,="Holland Hill School",="Instructional Specialists Who Support Teachers",="Certified",4.0
,="Jennings School",="Instructional Specialists Who Support Teachers",="Certified",4.3
,="McKinley School",="Instructional Specialists Who Support Teachers",="Certified",4.5
,="Mill Hill School",="Instructional Specialists Who Support Teachers",="Certified",3.5
,="North Stratfield School",="Instructional Specialists Who Support Teachers",="Certified",3.5
,="Osborn Hill School",="Instructional Specialists Who Support Teachers",="Certified",3.9
,="Riverfield School",="Instructional Specialists Who Support Teachers",="Certified",3.5
,="Roger Ludlowe Middle School",="Instructional Specialists Who Support Teachers",="Certified",3.2
,="Sherman School",="Instructional Specialists Who Support Teachers",="Certified",3.5
,="Stratfield School",="Instructional Specialists Who Support Teachers",="Certified",3.5
,="Tomlinson Middle School",="Instructional Specialists Who Support Teachers",="Certified",2.5
="Farmington School District",="East Farms School",="Instructional Specialists Who Support Teachers",="Certified",3.0
,="Farmington Collaborative PK",="Instructional Specialists Who Support Teachers",="Certified",0.9
,="Farmington High School",="Instructional Specialists Who Support Teachers",="Certified",0.6
,="Irving A. Robbins Middle School",="Instructional Specialists Who Support Teachers",="Certified",1.2
,="Noah Wallace School",="Instructional Specialists Who Support Teachers",="Certified",4.0
,="Union School",="Instructional Specialists Who Support Teachers",="Certified",3.2
,="West District School",="Instructional Specialists Who Support Teachers",="Certified",3.5
,="West Woods Upper Elementary School",="Instructional Specialists Who Support Teachers",="Certified",3.5
="Franklin School District",="Franklin Elementary School",="Instructional Specialists Who Support Teachers",="Certified",0.8
="Glastonbury School District",="Buttonball Lane School",="Instructional Specialists Who Support Teachers",="Certified",2.1
,="Eastbury School",="Instructional Specialists Who Support Teachers",="Certified",1.4
,="Gideon Welles School",="Instructional Specialists Who Support Teachers",="Certified",0.3
,="Glastonbury High School",="Instructional Specialists Who Support Teachers",="Certified",1.1
,="Hebron Avenue School",="Instructional Specialists Who Support Teachers",="Certified",0.8
,="Hopewell School",="Instructional Specialists Who Support Teachers",="Certified",2.0
,="Naubuc School",="Instructional Specialists Who Support Teachers",="Certified",2.0
,="Nayaug Elementary School",="Instructional Specialists Who Support Teachers",="Certified",1.4
,="Smith Middle School",="Instructional Specialists Who Support Teachers",="Certified",0.6
="Granby School District",="Frank M. Kearns Primary School",="Instructional Specialists Who Support Teachers",="Certified",3.7
,="Granby Memorial High School",="Instructional Specialists Who Support Teachers",="Certified",1.5
,="Granby Memorial Middle School",="Instructional Specialists Who Support Teachers",="Certified",0.5
,="Kelly Lane Primary School",="Instructional Specialists Who Support Teachers",="Certified",2.5
,="Wells Road Intermediate School",="Instructional Specialists Who Support Teachers",="Certified",2.5
="Greenwich School District",="Central Middle School",="Instructional Specialists Who Support Teachers",="Certified",1.0
,="Cos Cob School",="Instructional Specialists Who Support Teachers",="Certified",1.0
,="Eastern Middle School",="Instructional Specialists Who Support Teachers",="Certified",1.0
,="Glenville School",="Instructional Specialists Who Support Teachers",="Certified",1.0
,="Greenwich High School",="Instructional Specialists Who Support Teachers",="Certified",6.0
,="Hamilton Avenue School",="Instructional Specialists Who Support Teachers",="Certified",3.8
,="International School At Dundee",="Instructional Specialists Who Support Teachers",="Certified",1.5
,="Julian Curtiss School",="Instructional Specialists Who Support Teachers",="Certified",3.0
,="New Lebanon School",="Instructional Specialists Who Support Teachers",="Certified",3.0
,="North Mianus School",="Instructional Specialists Who Support Teachers",="Certified",2.0
,="North Street School",="Instructional Specialists Who Support Teachers",="Certified",2.5
,="Old Greenwich School",="Instructional Specialists Who Support Teachers",="Certified",3.3
,="Parkway School",="Instructional Specialists Who Support Teachers",="Certified",1.5
,="Riverside School",="Instructional Specialists Who Support Teachers",="Certified",1.3
,="Western Middle School",="Instructional Specialists Who Support Teachers",="Certified",1.4
