"Students with Disabilities Spending 79.1-100% of Time with Nondisabled Peers (Ages 6-21), 2014-15"
"All Districts, Speech Language Impairment"
"Notes:"
"Data included in this report represent students ages 6-21 only."
"At this time, the only data included in this report are for students spending 79.1-100% of Time with Nondisabled Peers. In the future this report will be updated to include all Time with Nondisabled Peer categories (i.e., 0-40% and 40.1-79%)."
"At the district-level, this report includes only students with disabilities for whom the district is fiscally responsible, regardless of where the student is educated. At the school-level, a student is included as long as they are attending the selected school, regardless of the district with fiscal responsibility."

"",,"2014-15",
"District","District Code","Count","Rate (%)"
"Andover School District","=""0010011""",0,"*"
"Ansonia School District","=""0020011""",48,94.1
"Ashford School District","=""0030011""",6,"*"
"Avon School District","=""0040011""",43,86.0
"Barkhamsted School District","=""0050011""",8,"*"
"Berlin School District","=""0070011""",57,86.4
"Bethany School District","=""0080011""",13,"*"
"Bethel School District","=""0090011""",35,92.1
"Bloomfield School District","=""0110011""",32,80.0
"Bolton School District","=""0120011""",14,"*"
"Bozrah School District","=""0130011""","*","*"
"Branford School District","=""0140011""",43,69.4
"Bridgeport School District","=""0150011""",296,80.9
"Bristol School District","=""0170011""",97,80.8
"Brookfield School District","=""0180011""",36,92.3
"Brooklyn School District","=""0190011""",11,"*"
"Canaan School District","=""0210011""",0,"*"
"Canterbury School District","=""0220011""","*","*"
"Canton School District","=""0230011""",7,"*"
"Chaplin School District","=""0240011""","*","*"
"Cheshire School District","=""0250011""",50,87.7
"Chester School District","=""0260011""",9,"*"
"Clinton School District","=""0270011""",29,96.7
"Colchester School District","=""0280011""",76,100.0
"Colebrook School District","=""0290011""","*","*"
"Columbia School District","=""0300011""","*","*"
"Connecticut Technical High School System","=""9000016""",47,100.0
"Cornwall School District","=""0310011""","*","*"
"Coventry School District","=""0320011""",16,"*"
"Cromwell School District","=""0330011""",41,95.3
"Danbury School District","=""0340011""",90,73.8
"Darien School District","=""0350011""",87,87.0
"Deep River School District","=""0360011""","*","*"
"Derby School District","=""0370011""",31,81.6
"East Granby School District","=""0400011""",21,100.0
"East Haddam School District","=""0410011""",38,86.4
"East Hampton School District","=""0420011""",30,93.8
"East Hartford School District","=""0430011""",176,92.6
"East Haven School District","=""0440011""",63,79.7
"East Lyme School District","=""0450011""",30,83.3
"East Windsor School District","=""0470011""",21,95.5
"Eastford School District","=""0390011""",7,"*"
"Easton School District","=""0460011""",19,"*"
"Ellington School District","=""0480011""",20,83.3
"Enfield School District","=""0490011""",115,89.8
"Essex School District","=""0500011""",20,95.2
"Fairfield School District","=""0510011""",167,86.1
"Farmington School District","=""0520011""",49,81.7
"Franklin School District","=""0530011""",7,"*"
"Glastonbury School District","=""0540011""",72,96.0
"Granby School District","=""0560011""",17,"*"
"Greenwich School District","=""0570011""",123,84.8
"Griswold School District","=""0580011""",22,73.3
"Groton School District","=""0590011""",81,95.3
"Guilford School District","=""0600011""",41,82.0
"Hamden School District","=""0620011""",119,81.5
"Hampton School District","=""0630011""","*","*"
"Hartford School District","=""0640011""",409,96.7
"Hartland School District","=""0650011""",9,"*"
"Hebron School District","=""0670011""",27,100.0
"Kent School District","=""0680011""","*","*"
"Killingly School District","=""0690011""",39,88.6
"Lebanon School District","=""0710011""",15,75.0
"Ledyard School District","=""0720011""",37,88.1
"Lisbon School District","=""0730011""",19,"*"
"Litchfield School District","=""0740011""",14,"*"
"Madison School District","=""0760011""",18,90.0
"Manchester School District","=""0770011""",131,92.3
"Mansfield School District","=""0780011""",20,87.0
"Marlborough School District","=""0790011""",6,"*"
"Meriden School District","=""0800011""",109,96.5
"Middletown School District","=""0830011""",92,92.9
"Milford School District","=""0840011""",139,86.9
"Monroe School District","=""0850011""",42,80.8
"Montville School District","=""0860011""",44,91.7
"Naugatuck School District","=""0880011""",59,88.1
"New Britain School District","=""0890011""",162,90.0
"New Canaan School District","=""0900011""",91,89.2
"New Fairfield School District","=""0910011""",35,92.1
"New Hartford School District","=""0920011""",9,"*"
"New Haven School District","=""0930011""",195,92.9
"New London School District","=""0950011""",67,82.7
"New Milford School District","=""0960011""",39,70.9
"Newington School District","=""0940011""",48,92.3
"Newtown School District","=""0970011""",64,94.1
"Norfolk School District","=""0980011""",8,"*"
"North Branford School District","=""0990011""",45,90.0
"North Canaan School District","=""1000011""",7,"*"
"North Haven School District","=""1010011""",36,90.0
"North Stonington School District","=""1020011""",7,"*"
"Norwalk School District","=""1030011""",181,93.8
"Norwich School District","=""1040011""",92,72.4
"Old Saybrook School District","=""1060011""",24,96.0
"Orange School District","=""1070011""",18,72.0
"Oxford School District","=""1080011""",25,69.4
"Plainfield School District","=""1090011""",26,74.3
"Plainville School District","=""1100011""",37,97.4
"Plymouth School District","=""1110011""",24,100.0
"Pomfret School District","=""1120011""",9,"*"
"Portland School District","=""1130011""",18,"*"
"Preston School District","=""1140011""",23,76.7
"Putnam School District","=""1160011""",10,"*"
"Redding School District","=""1170011""",42,100.0
"Regional School District 01","=""2010012""","*","*"
"Regional School District 04","=""2040012""","*","*"
"Regional School District 05","=""2050012""",22,66.7
"Regional School District 06","=""2060012""","*","*"
"Regional School District 07","=""2070012""",6,"*"
"Regional School District 08","=""2080012""",7,"*"
"Regional School District 09","=""2090012""",10,"*"
"Regional School District 10","=""2100012""",22,95.7
"Regional School District 11","=""2110012""","*","*"
"Regional School District 12","=""2120012""",10,"*"
"Regional School District 13","=""2130012""",37,82.2
"Regional School District 14","=""2140012""",17,"*"
"Regional School District 15","=""2150012""",52,77.6
"Regional School District 16","=""2160012""",50,90.9
"Regional School District 17","=""2170012""",21,95.5
"Regional School District 18","=""2180012""",23,85.2
"Regional School District 19","=""2190012""","*","*"
"Ridgefield School District","=""1180011""",50,90.9
"Rocky Hill School District","=""1190011""",22,91.7
"Salem School District","=""1210011""","*","*"
"Salisbury School District","=""1220011""",8,"*"
"Scotland School District","=""1230011""","*","*"
"Seymour School District","=""1240011""",32,97.0
"Sharon School District","=""1250011""","*","*"
"Shelton School District","=""1260011""",55,59.8
"Sherman School District","=""1270011""",10,"*"
"Simsbury School District","=""1280011""",43,89.6
"Somers School District","=""1290011""",21,77.8
"South Windsor School District","=""1320011""",54,90.0
"Southington School District","=""1310011""",88,73.9
"Sprague School District","=""1330011""",8,"*"
"Stafford School District","=""1340011""",9,"*"
"Stamford School District","=""1350011""",170,71.7
"Sterling School District","=""1360011""",8,"*"
"Stonington School District","=""1370011""",23,95.8
"Stratford School District","=""1380011""",59,90.8
"Suffield School District","=""1390011""",20,95.2
"Thomaston School District","=""1400011""",16,80.0
"Thompson School District","=""1410011""",25,80.6
"Tolland School District","=""1420011""",15,"*"
"Torrington School District","=""1430011""",61,78.2
"Trumbull School District","=""1440011""",41,87.2
"Unified School District #1","=""3360015""",6,"*"
"Unified School District #2","=""3470015""",0,0
"Union School District","=""1450011""","*","*"
"Vernon School District","=""1460011""",67,91.8
"Voluntown School District","=""1470011""",6,"*"
"Wallingford School District","=""1480011""",100,96.2
"Waterbury School District","=""1510011""",476,81.8
"Waterford School District","=""1520011""",30,85.7
"Watertown School District","=""1530011""",26,83.9
"West Hartford School District","=""1550011""",146,85.9
"West Haven School District","=""1560011""",151,86.3
"Westbrook School District","=""1540011""",9,"*"
"Weston School District","=""1570011""",23,74.2
"Westport School District","=""1580011""",64,84.2
"Wethersfield School District","=""1590011""",88,97.8
"Willington School District","=""1600011""",11,"*"
"Wilton School District","=""1610011""",46,80.7
"Winchester School District","=""1620011""",27,77.1
"Windham School District","=""1630011""",64,83.1
"Windsor Locks School District","=""1650011""",9,"*"
"Windsor School District","=""1640011""",41,91.1
"Wolcott School District","=""1660011""",22,100.0
"Woodbridge School District","=""1670011""",13,"*"
"Woodstock School District","=""1690011""",7,"*"

